"Student Counts by School and Year"
"All Districts, All Schools"
"Trend"

"District","District Code","School","School Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",261
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",440
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",610
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",762
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",824
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",870
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",954
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",1063
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",1066
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",547
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",641
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",744
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",812
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",857
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",904
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",937
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",984
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",1036
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",1057
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",347
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",334
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",336
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",334
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",314
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",314
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",298
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",275
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",250
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",225
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",760
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",717
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",777
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",727
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",695
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",631
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",602
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",584
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",597
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",616
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",596
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",582
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",477
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",458
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",472
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",463
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",493
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",498
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",446
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",441
"Ansonia School District","=""0020011""","Mead School","=""0020311""",599
"Ansonia School District","=""0020011""","Mead School","=""0020311""",616
"Ansonia School District","=""0020011""","Mead School","=""0020311""",660
"Ansonia School District","=""0020011""","Mead School","=""0020311""",642
"Ansonia School District","=""0020011""","Mead School","=""0020311""",610
"Ansonia School District","=""0020011""","Mead School","=""0020311""",619
"Ansonia School District","=""0020011""","Mead School","=""0020311""",566
"Ansonia School District","=""0020011""","Mead School","=""0020311""",597
"Ansonia School District","=""0020011""","Mead School","=""0020311""",595
"Ansonia School District","=""0020011""","Mead School","=""0020311""",580
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",40
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",35
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",31
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",7
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",39
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",776
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",759
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",811
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",787
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",738
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",699
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",661
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",680
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",688
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",665
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",19
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",12
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",19
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",31
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",36
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",36
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",39
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",38
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",40
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",99
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",110
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",110
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",176
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",170
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",148
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",170
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",160
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",147
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",151
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",160
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",167
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",168
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",752
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",748
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",733
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",720
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",721
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",722
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",711
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",713
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",726
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",732
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",174
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",176
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",176
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",153
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",148
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",149
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",151
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",151
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",135
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",118
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",125
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",128
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",123
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",128
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",114
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",114
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",114
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",113
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",113
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",115
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",92
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",93
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",100
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",102
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",94
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",89
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",100
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",90
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",95
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",102
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",56
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",56
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",56
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",53
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",47
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",45
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",39
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",42
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",42
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",41
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",605
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",605
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",630
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",646
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",640
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",630
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",631
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",631
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",632
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",631
"Ashford School District","=""0030011""","Ashford School","=""0030111""",500
"Ashford School District","=""0030011""","Ashford School","=""0030111""",485
"Ashford School District","=""0030011""","Ashford School","=""0030111""",475
"Ashford School District","=""0030011""","Ashford School","=""0030111""",476
"Ashford School District","=""0030011""","Ashford School","=""0030111""",481
"Ashford School District","=""0030011""","Ashford School","=""0030111""",439
"Ashford School District","=""0030011""","Ashford School","=""0030111""",423
"Ashford School District","=""0030011""","Ashford School","=""0030111""",415
"Ashford School District","=""0030011""","Ashford School","=""0030111""",397
"Ashford School District","=""0030011""","Ashford School","=""0030111""",406
"Avon School District","=""0040011""","Avon High School","=""0046111""",1036
"Avon School District","=""0040011""","Avon High School","=""0046111""",1052
"Avon School District","=""0040011""","Avon High School","=""0046111""",1079
"Avon School District","=""0040011""","Avon High School","=""0046111""",1088
"Avon School District","=""0040011""","Avon High School","=""0046111""",1112
"Avon School District","=""0040011""","Avon High School","=""0046111""",1083
"Avon School District","=""0040011""","Avon High School","=""0046111""",1057
"Avon School District","=""0040011""","Avon High School","=""0046111""",1051
"Avon School District","=""0040011""","Avon High School","=""0046111""",1038
"Avon School District","=""0040011""","Avon High School","=""0046111""",1024
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",582
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",589
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",601
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",584
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",572
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",611
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",584
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",548
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",545
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",558
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",48
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",45
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",56
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",618
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",610
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",655
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",631
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",631
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",595
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",594
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",576
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",599
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",624
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",776
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",750
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",682
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",651
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",590
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",569
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",573
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",546
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",497
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",516
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",590
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",557
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",568
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",594
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",594
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",548
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",563
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",552
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",550
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",497
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",328
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",341
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",345
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",343
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",338
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",328
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",288
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",295
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",255
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",228
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","*"
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",30
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",21
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",22
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",30
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",19
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",21
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",18
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",22
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",28
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",23
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",1063
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",1027
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",1022
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",1017
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",976
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",962
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",933
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",918
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",953
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",891
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",778
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",742
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",733
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",719
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",730
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",712
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",691
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",702
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",672
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",714
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",577
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",601
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",588
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",535
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",492
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",501
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",514
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",504
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",503
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",482
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",589
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",584
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",564
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",585
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",577
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",567
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",562
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",547
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",497
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",491
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",263
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",264
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",252
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",261
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",241
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",232
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",251
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",225
