"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2016-17"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",955,111,1066
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",998,59,1057
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",215,10,225
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",501,115,616
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",344,97,441
"Ansonia School District","=""0020011""","Mead School","=""0020311""",472,108,580
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",25,6,31
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","*","*",7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",557,108,665
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,40,40
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",7,161,168
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",662,70,732
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",0,118,118
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,115,115
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,102,102
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,41,41
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",559,72,631
"Ashford School District","=""0030011""","Ashford School","=""0030111""",357,49,406
"Avon School District","=""0040011""","Avon High School","=""0046111""",913,111,1024
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",508,50,558
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",35,21,56
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",568,56,624
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",480,36,516
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",463,34,497
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",188,40,228
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""",0,"*","*"
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",13,10,23
