"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, Gender"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",30,29,96.7,29,"*","*","*","*","*","*",10,34.5,0,0.0,10,34.5,232
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","M",35,35,100.0,35,"*","*","*","*","*","*",10,28.6,6,17.1,16,45.7,232
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",39,39,100.0,39,6,15.4,"*","*",17,43.6,12,30.8,"*","*","*","*",234
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","M",43,43,100.0,43,9,20.9,"*","*",11,25.6,15,34.9,"*","*","*","*",235
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","F",99,99,100.0,99,31,31.3,"*","*",29,29.3,21,21.2,"*","*","*","*",221
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","M",86,86,100.0,86,23,26.7,"*","*",22,25.6,25,29.1,"*","*","*","*",224
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","M","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","F",105,105,100.0,105,27,25.7,15,14.3,24,22.9,33,31.4,6,5.7,39,37.1,232
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","M",117,117,100.0,117,28,23.9,17,14.5,22,18.8,44,37.6,6,5.1,50,42.7,233
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","F",30,30,100.0,30,8,26.7,"*","*",7,23.3,8,26.7,"*","*","*","*",234
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","M",37,37,100.0,37,9,24.3,"*","*",10,27.0,11,29.7,"*","*","*","*",232
"Ashford School District","=""0030011""","Ashford School","=""0030111""","F",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","M",22,22,100.0,22,"*","*","*","*","*","*","*","*",0,0.0,"*","*",255
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","F",142,140,98.6,140,"*","*","*","*",9,6.4,77,55.0,42,30.0,119,85.0,279
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","M",133,132,99.2,132,"*","*","*","*",15,11.4,56,42.4,48,36.4,104,78.8,278
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","F",87,87,100.0,87,"*","*","*","*",11,12.6,47,54.0,20,23.0,67,77.0,267
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","M",128,128,100.0,128,"*","*","*","*",16,12.5,64,50.0,35,27.3,99,77.3,272
