"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, English Learner Status (EL)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","English Learner Status (EL)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","N",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",44,43,97.7,43,0,0.0,"*","*","*","*",20,46.5,19,44.2,39,90.7,296
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N",25,23,92.0,23,12,52.2,6,26.1,"*","*","*","*",0,0.0,"*","*",187
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",73,72,98.6,72,"*","*",17,23.6,21,29.2,24,33.3,"*","*","*","*",232
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",38,38,100.0,38,0,0.0,0,0.0,"*","*",19,50.0,"*","*","*","*",289
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","N",265,265,100.0,265,"*","*","*","*","*","*","*","*","*","*","*","*",283
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","N",47,45,95.7,45,"*","*","*","*",7,15.6,25,55.6,8,17.8,33,73.3,270
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","N",204,203,99.5,203,"*","*","*","*","*","*","*","*","*","*","*","*",285
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","N",68,66,97.1,66,"*","*","*","*",6,9.1,30,45.5,23,34.8,53,80.3,277
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","N",29,29,100.0,29,0,0.0,0,0.0,"*","*",20,69.0,"*","*","*","*",279
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","N",215,214,99.5,214,"*","*","*","*","*","*","*","*","*","*","*","*",263
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",79,79,100.0,79,"*","*","*","*","*","*","*","*","*","*","*","*",217
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","N",55,54,98.2,54,"*","*","*","*","*","*","*","*","*","*","*","*",203
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","N",35,35,100.0,35,"*","*","*","*","*","*","*","*","*","*","*","*",251
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","N",87,87,100.0,87,13,14.9,"*","*","*","*","*","*",0,0.0,"*","*",218
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Y",20,20,100.0,20,11,55.0,"*","*","*","*","*","*",0,0.0,"*","*",186
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","N",43,42,97.7,42,"*","*","*","*","*","*","*","*",0,0.0,"*","*",210
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","N",77,77,100.0,77,23,29.9,20,26.0,19,24.7,"*","*","*","*","*","*",209
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Y",52,52,100.0,52,37,71.2,7,13.5,"*","*","*","*",0,0.0,"*","*",172
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","N",69,69,100.0,69,"*","*","*","*","*","*","*","*","*","*","*","*",197
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","N",59,58,98.3,58,"*","*","*","*","*","*","*","*","*","*","*","*",203
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","N",34,33,97.1,33,16,48.5,"*","*",9,27.3,"*","*",0,0.0,"*","*",194
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","N",34,33,97.1,33,10,30.3,"*","*",10,30.3,"*","*",0,0.0,"*","*",207
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","N",65,65,100.0,65,"*","*","*","*","*","*","*","*",0,0.0,"*","*",212
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","N",28,28,100.0,28,"*","*",7,25.0,11,39.3,"*","*","*","*","*","*",223
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","N",42,42,100.0,42,"*","*",11,26.2,13,31.0,10,23.8,"*","*","*","*",232
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","N",45,45,100.0,45,6,13.3,6,13.3,11,24.4,15,33.3,7,15.6,22,48.9,242
