"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Gender"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",133,131,98.5,131,34,26.0,33,25.2,37,28.2,"*","*","*","*",27,20.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","M",120,117,97.5,117,34,29.1,"*","*",29,24.8,25,21.4,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",120,120,100.0,120,"*","*",29,24.2,44,36.7,30,25.0,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","M",115,115,100.0,115,28,24.3,"*","*",34,29.6,25,21.7,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","M",29,28,96.6,28,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","F",73,72,98.6,72,17,23.6,12,16.7,30,41.7,"*","*","*","*",13,18.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","M",75,74,98.7,74,22,29.7,16,21.6,25,33.8,"*","*","*","*",11,14.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","F",99,99,100.0,99,31,31.3,"*","*",29,29.3,21,21.2,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","M",86,86,100.0,86,23,26.7,"*","*",22,25.6,25,29.1,"*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","F",45,45,100.0,45,"*","*",13,28.9,14,31.1,10,22.2,"*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","M",45,45,100.0,45,11,24.4,"*","*",12,26.7,15,33.3,"*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","F",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","M",8,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","F",53,53,100.0,53,"*","*",11,20.8,21,39.6,12,22.6,"*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","M",42,41,97.6,41,7,17.1,"*","*",13,31.7,12,29.3,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
