"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, High Needs (F/R, EL or SWD)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",48,48,100.0,48,"*","*","*","*","*","*","*","*","*","*","*","*",212
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",110,109,99.1,109,"*","*","*","*",40,36.7,7,6.4,"*","*","*","*",210
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",38,37,97.4,37,"*","*","*","*",15,40.5,7,18.9,"*","*","*","*",255
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
