"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, Special Education Status (SWD)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Special Education Status (SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",117,115,98.3,115,16,13.9,"*","*","*","*",14,12.2,10,8.7,24,20.9,234
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",31,31,100.0,31,23,74.2,"*","*","*","*",0,0.0,0,0.0,0,0.0,177
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",261,260,99.6,259,"*","*","*","*",49,18.9,"*","*","*","*","*","*",295
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",25,24,96.0,24,"*","*","*","*",9,37.5,"*","*","*","*","*","*",232
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",186,185,99.5,185,"*","*",6,3.2,61,33.0,"*","*","*","*","*","*",279
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",28,26,92.9,26,"*","*",12,46.2,6,23.1,"*","*","*","*","*","*",215
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",177,175,98.9,175,"*","*","*","*","*","*","*","*","*","*","*","*",285
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",96,95,99.0,94,"*","*","*","*","*","*","*","*","*","*","*","*",239
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",71,71,100.0,71,"*","*","*","*","*","*","*","*","*","*","*","*",278
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",174,170,97.7,170,"*","*",6,3.5,57,33.5,"*","*","*","*","*","*",278
"Branford School District","=""0140011""","Branford High School","=""0146111""","Y",30,29,96.7,29,"*","*",9,31.0,12,41.4,"*","*","*","*","*","*",214
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",36,36,100.0,35,"*","*","*","*","*","*","*","*","*","*","*","*",202
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","N",123,118,95.9,117,"*","*","*","*","*","*","*","*","*","*","*","*",266
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","N",185,167,90.3,162,85,52.5,"*","*",26,16.0,"*","*",0,0.0,"*","*",190
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Y",63,58,92.1,55,49,89.1,"*","*",0,0.0,0,0.0,"*","*","*","*",171
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","N",116,115,99.1,108,"*","*","*","*","*","*","*","*","*","*","*","*",230
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","N",75,75,100.0,70,31,44.3,"*","*","*","*","*","*","*","*","*","*",198
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Y",22,20,90.9,20,14,70.0,"*","*","*","*",0,0.0,0,0.0,0,0.0,179
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","N",367,328,89.4,325,85,26.2,72,22.2,96,29.5,46,14.2,26,8.0,72,22.2,224
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Y",60,54,90.0,51,36,70.6,9,17.6,6,11.8,0,0.0,0,0.0,0,0.0,183
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","N",216,141,65.3,117,56,47.9,"*","*","*","*","*","*","*","*","*","*",197
