"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",81,81,100.0,81,"*","*","*","*","*","*","*","*","*","*","*","*",218
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",69,69,100.0,69,"*","*","*","*","*","*",17,24.6,"*","*","*","*",220
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",21,21,100.0,21,"*","*","*","*","*","*",8,38.1,"*","*","*","*",227
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",57,56,98.2,56,7,12.5,"*","*",25,44.6,6,10.7,"*","*","*","*",222
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",38,38,100.0,38,7,18.4,"*","*",9,23.7,18,47.4,"*","*","*","*",240
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y",25,23,92.0,23,12,52.2,6,26.1,"*","*","*","*",0,0.0,"*","*",187
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",41,41,100.0,41,"*","*",11,26.8,13,31.7,10,24.4,"*","*","*","*",225
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",32,31,96.9,31,"*","*",6,19.4,8,25.8,14,45.2,"*","*","*","*",242
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",286
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","N",254,254,100.0,254,0,0.0,"*","*","*","*","*","*","*","*","*","*",285
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","N",74,74,100.0,74,"*","*","*","*","*","*","*","*","*","*","*","*",279
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","N",94,94,100.0,94,"*","*","*","*","*","*","*","*","*","*","*","*",268
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","N",47,46,97.9,46,0,0.0,"*","*","*","*","*","*","*","*","*","*",274
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","N",53,50,94.3,50,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",291
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Y",51,51,100.0,51,"*","*","*","*",11,21.6,21,41.2,13,25.5,34,66.7,264
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","N",162,161,99.4,161,"*","*","*","*",18,11.2,70,43.5,66,41.0,136,84.5,289
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Y",65,65,100.0,65,"*","*","*","*",23,35.4,17,26.2,0,0.0,17,26.2,222
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","N",59,59,100.0,59,"*","*",9,15.3,21,35.6,20,33.9,"*","*","*","*",237
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","N",59,57,96.6,57,"*","*","*","*","*","*","*","*","*","*","*","*",278
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","N",23,23,100.0,23,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",281
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Y",60,60,100.0,60,"*","*",8,13.3,19,31.7,24,40.0,"*","*","*","*",243
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","N",163,162,99.4,162,"*","*",13,8.0,30,18.5,82,50.6,"*","*","*","*",268
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",73,72,98.6,72,"*","*","*","*","*","*","*","*","*","*","*","*",210
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Y",63,62,98.4,62,27,43.5,15,24.2,11,17.7,"*","*","*","*",9,14.5,200
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Y",42,42,100.0,42,"*","*",16,38.1,13,31.0,"*","*",0,0.0,"*","*",211
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Y",42,42,100.0,42,"*","*",11,26.2,7,16.7,15,35.7,"*","*","*","*",242
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Y",107,107,100.0,107,24,22.4,36,33.6,24,22.4,23,21.5,0,0.0,23,21.5,212
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Y",50,49,98.0,49,13,26.5,12,24.5,18,36.7,6,12.2,0,0.0,6,12.2,208
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Y",129,129,100.0,129,60,46.5,27,20.9,25,19.4,"*","*","*","*",17,13.2,194
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Y",42,42,100.0,42,"*","*",15,35.7,11,26.2,12,28.6,"*","*","*","*",227
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Y",80,80,100.0,80,34,42.5,24,30.0,18,22.5,"*","*","*","*","*","*",194
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Y",40,40,100.0,40,13,32.5,12,30.0,"*","*","*","*",0,0.0,"*","*",198
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Y",66,65,98.5,65,22,33.8,18,27.7,17,26.2,"*","*","*","*",8,12.3,202
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Y",34,33,97.1,33,16,48.5,"*","*",9,27.3,"*","*",0,0.0,"*","*",194
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Y",34,33,97.1,33,10,30.3,"*","*",10,30.3,"*","*",0,0.0,"*","*",207
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Y",77,77,100.0,77,17,22.1,26,33.8,25,32.5,9,11.7,0,0.0,9,11.7,207
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Y",28,28,100.0,28,"*","*",7,25.0,11,39.3,"*","*","*","*","*","*",223
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Y",28,28,100.0,28,"*","*",9,32.1,8,28.6,"*","*",0,0.0,"*","*",211
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Y",42,42,100.0,42,"*","*",11,26.2,13,31.0,10,23.8,"*","*","*","*",232
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Y",40,40,100.0,40,"*","*",10,25.0,10,25.0,13,32.5,"*","*","*","*",228
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Y",45,45,100.0,45,6,13.3,6,13.3,11,24.4,15,33.3,7,15.6,22,48.9,242
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Y",50,50,100.0,50,18,36.0,15,30.0,12,24.0,"*","*","*","*","*","*",202
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Y",89,88,98.9,88,59,67.0,14,15.9,9,10.2,6,6.8,0,0.0,6,6.8,177
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Y",74,73,98.6,73,14,19.2,24,32.9,20,27.4,15,20.5,0,0.0,15,20.5,217
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Y",48,48,100.0,48,"*","*","*","*",15,31.3,24,50.0,"*","*","*","*",249
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Y",42,42,100.0,42,"*","*","*","*",14,33.3,18,42.9,"*","*","*","*",253
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Y",78,77,98.7,77,27,35.1,20,26.0,20,26.0,"*","*","*","*",10,13.0,203
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Y",59,59,100.0,59,29,49.2,20,33.9,"*","*","*","*",0,0.0,"*","*",185
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Y",48,48,100.0,48,11,22.9,17,35.4,13,27.1,7,14.6,0,0.0,7,14.6,210
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Y",73,73,100.0,73,"*","*",17,23.3,26,35.6,23,31.5,"*","*","*","*",235
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","N",52,52,100.0,52,"*","*","*","*","*","*","*","*","*","*","*","*",267
