"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",253,248,98.0,248,68,27.4,54,21.8,66,26.6,51,20.6,9,3.6,60,24.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",191,191,100.0,191,"*","*","*","*",63,33.0,38,19.9,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",44,44,100.0,44,"*","*","*","*",15,34.1,17,38.6,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",104,103,99.0,103,33,32.0,20,19.4,40,38.8,"*","*","*","*",10,9.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",44,43,97.7,43,"*","*",8,18.6,15,34.9,7,16.3,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",138,138,100.0,138,45,32.6,"*","*",37,26.8,"*","*",0,0.0,"*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",47,47,100.0,47,9,19.1,"*","*",14,29.8,18,38.3,"*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",69,69,100.0,69,"*","*","*","*","*","*",17,24.6,"*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",21,21,100.0,21,"*","*","*","*","*","*",8,38.1,"*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
