"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, Special Education Status (SWD)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Special Education Status (SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","N",58,58,100.0,58,"*","*","*","*","*","*","*","*","*","*","*","*",239
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",159,159,100.0,159,40,25.2,26,16.4,"*","*","*","*","*","*","*","*",226
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",26,26,100.0,26,14,53.8,6,23.1,"*","*","*","*",0,0.0,"*","*",201
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y",26,24,92.3,24,17,70.8,"*","*","*","*","*","*",0,0.0,"*","*",191
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",192,192,100.0,192,30,15.6,"*","*","*","*","*","*",12,6.3,"*","*",241
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",30,30,100.0,30,25,83.3,"*","*","*","*","*","*",0,0.0,"*","*",183
