"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",70,70,100.0,70,"*","*",22,31.4,18,25.7,15,21.4,"*","*","*","*",216
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","F",61,61,100.0,61,"*","*",14,23.0,22,36.1,12,19.7,"*","*","*","*",217
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*","*","*",227
"Ansonia School District","=""0020011""","Mead School","=""0020311""","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","F",45,45,100.0,45,"*","*",12,26.7,19,42.2,"*","*","*","*","*","*",223
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",38,38,100.0,38,7,18.4,"*","*","*","*",18,47.4,"*","*","*","*",240
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","R",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","F",25,23,92.0,23,12,52.2,6,26.1,"*","*","*","*",0,0.0,"*","*",187
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","F",34,34,100.0,34,"*","*",10,29.4,9,26.5,"*","*","*","*","*","*",227
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",32,31,96.9,31,"*","*","*","*","*","*",14,45.2,"*","*","*","*",242
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","F",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",286
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","N",254,254,100.0,254,0,0.0,14,5.5,25,9.8,116,45.7,99,39.0,215,84.6,285
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","N",44,42,95.5,42,"*","*","*","*",6,14.3,24,57.1,8,19.0,32,76.2,273
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","N",74,74,100.0,74,"*","*","*","*",12,16.2,32,43.2,25,33.8,57,77.0,279
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","N",94,94,100.0,94,"*","*","*","*",18,19.1,53,56.4,17,18.1,70,74.5,268
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","N",47,46,97.9,46,0,0.0,"*","*","*","*",21,45.7,13,28.3,34,73.9,274
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","F",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","N",53,50,94.3,50,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",291
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","F",33,33,100.0,33,"*","*","*","*","*","*","*","*","*","*","*","*",260
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","N",162,161,99.4,161,"*","*","*","*",18,11.2,70,43.5,66,41.0,136,84.5,289
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","R",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
