"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, Gender"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",22,21,95.5,21,"*","*","*","*","*","*","*","*",0,0.0,"*","*",210
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","M",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",33,33,100.0,33,6,18.2,"*","*",14,42.4,"*","*",0,0.0,"*","*",213
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","M",25,25,100.0,25,7,28.0,"*","*",10,40.0,"*","*","*","*","*","*",218
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","F",73,72,98.6,72,17,23.6,12,16.7,30,41.7,"*","*","*","*",13,18.1,225
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","M",75,74,98.7,74,22,29.7,16,21.6,25,33.8,"*","*","*","*",11,14.9,219
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","F",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","M",8,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","F",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","M",18,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","F",138,137,99.3,137,"*","*","*","*",26,19.0,38,27.7,66,48.2,104,75.9,290
"Avon School District","=""0040011""","Avon High School","=""0046111""","M",148,147,99.3,146,"*","*","*","*",32,21.9,33,22.6,70,47.9,103,70.5,289
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","F",103,101,98.1,101,"*","*","*","*",33,32.7,22,21.8,34,33.7,56,55.4,269
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","M",111,110,99.1,110,"*","*","*","*",34,30.9,28,25.5,36,32.7,64,58.2,272
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","F",94,93,98.9,93,"*","*","*","*",23,24.7,24,25.8,37,39.8,61,65.6,279
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","M",101,100,99.0,100,"*","*","*","*",29,29.0,23,23.0,39,39.0,62,62.0,279
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","F",50,49,98.0,49,"*","*",8,16.3,20,40.8,10,20.4,"*","*","*","*",240
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","M",62,62,100.0,61,"*","*",18,29.5,14,23.0,13,21.3,"*","*","*","*",228
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","F",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","M",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","F",43,43,100.0,43,"*","*","*","*",15,34.9,16,37.2,9,20.9,25,58.1,271
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","M",35,35,100.0,35,"*","*","*","*",12,34.3,13,37.1,8,22.9,21,60.0,272
"Branford School District","=""0140011""","Branford High School","=""0146111""","F",113,111,98.2,111,"*","*","*","*",44,39.6,20,18.0,37,33.3,57,51.4,272
"Branford School District","=""0140011""","Branford High School","=""0146111""","M",91,88,96.7,88,"*","*","*","*",25,28.4,28,31.8,23,26.1,51,58.0,265
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","M",24,24,100.0,23,"*","*","*","*","*","*","*","*",0,0.0,"*","*",198
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","F",39,38,97.4,38,"*","*",8,21.1,14,36.8,7,18.4,"*","*","*","*",248
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","M",94,89,94.7,88,"*","*",9,10.2,24,27.3,19,21.6,"*","*","*","*",270
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","F",123,112,91.1,108,63,58.3,27,25.0,"*","*","*","*",0,0.0,"*","*",187
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","M",125,113,90.4,109,71,65.1,25,22.9,11,10.1,"*","*","*","*","*","*",184
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","F",87,87,100.0,82,15,18.3,16,19.5,40,48.8,"*","*","*","*",11,13.4,226
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","M",42,41,97.6,39,9,23.1,10,25.6,14,35.9,"*","*","*","*",6,15.4,221
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","F",39,38,97.4,36,21,58.3,"*","*","*","*",0,0.0,0,0.0,0,0.0,190
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","M",58,57,98.3,54,24,44.4,17,31.5,"*","*","*","*","*","*","*","*",197
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","F",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","M",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","F",204,186,91.2,183,52,28.4,38,20.8,58,31.7,23,12.6,12,6.6,35,19.1,220
