"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",253,248,98.0,248,68,27.4,54,21.8,66,26.6,51,20.6,9,3.6,60,24.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",160,160,100.0,160,37,23.1,43,26.9,49,30.6,"*","*","*","*",31,19.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",44,44,100.0,44,"*","*","*","*",15,34.1,17,38.6,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","R",31,31,100.0,31,"*","*","*","*",14,45.2,10,32.3,0,0.0,10,32.3
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","F",87,86,98.9,86,30,34.9,18,20.9,29,33.7,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",44,43,97.7,43,"*","*","*","*","*","*",7,16.3,7,16.3,14,32.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","R",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","F",115,115,100.0,115,40,34.8,22,19.1,33,28.7,20,17.4,0,0.0,20,17.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",47,47,100.0,47,"*","*","*","*","*","*",18,38.3,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","R",23,23,100.0,23,"*","*","*","*","*","*",8,34.8,0,0.0,8,34.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","F",61,61,100.0,61,"*","*",14,23.0,22,36.1,12,19.7,"*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","F",45,45,100.0,45,"*","*",12,26.7,19,42.2,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",38,38,100.0,38,7,18.4,"*","*","*","*",18,47.4,"*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","R",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","F","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","F",111,111,100.0,111,39,35.1,24,21.6,25,22.5,"*","*","*","*",23,20.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",90,90,100.0,90,10,11.1,"*","*","*","*",47,52.2,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","R",21,21,100.0,21,6,28.6,"*","*","*","*",11,52.4,0,0.0,11,52.4
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","F",67,67,100.0,67,14,20.9,15,22.4,16,23.9,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",61,60,98.4,60,"*","*","*","*","*","*",23,38.3,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","R",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",46,46,100.0,46,0,0.0,0,0.0,"*","*",29,63.0,"*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",271,269,99.3,268,"*","*","*","*",53,19.8,69,25.7,133,49.6,202,75.4
"Avon School District","=""0040011""","Avon High School","=""0046111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","N",261,258,98.9,258,12,4.7,9,3.5,24,9.3,126,48.8,87,33.7,213,82.6
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","N",254,254,100.0,254,0,0.0,14,5.5,25,9.8,116,45.7,99,39.0,215,84.6
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","N",44,42,95.5,42,"*","*","*","*",6,14.3,24,57.1,8,19.0,32,76.2
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","F",28,27,96.4,27,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",180,178,98.9,178,"*","*","*","*",54,30.3,43,24.2,65,36.5,108,60.7
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","F",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","N",183,183,100.0,183,"*","*","*","*",19,10.4,97,53.0,54,29.5,151,82.5
