"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",95,95,100.0,95,"*","*",27,28.4,26,27.4,25,26.3,"*","*","*","*",221
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",44,43,97.7,43,0,0.0,"*","*","*","*",20,46.5,19,44.2,39,90.7,296
"Ansonia School District","=""0020011""","Mead School","=""0020311""",90,90,100.0,90,"*","*",19,21.1,26,28.9,25,27.8,"*","*","*","*",222
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",95,94,98.9,94,"*","*",17,18.1,34,36.2,24,25.5,"*","*","*","*",230
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",25,23,92.0,23,12,52.2,6,26.1,"*","*","*","*",0,0.0,"*","*",187
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",73,72,98.6,72,8,11.1,17,23.6,"*","*","*","*","*","*","*","*",232
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*","*","*","*",0,0.0,0,0.0,"*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",273,273,100.0,273,"*","*","*","*",30,11.0,123,45.1,101,37.0,224,82.1,281
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",47,45,95.7,45,"*","*","*","*",7,15.6,25,55.6,8,17.8,33,73.3,270
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",83,83,100.0,83,"*","*","*","*",12,14.5,39,47.0,25,30.1,64,77.1,276
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",109,109,100.0,109,"*","*","*","*",23,21.1,59,54.1,19,17.4,78,71.6,266
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",57,56,98.2,56,0,0.0,"*","*",14,25.0,22,39.3,"*","*","*","*",264
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",60,57,95.0,57,0,0.0,"*","*","*","*",30,52.6,19,33.3,49,86.0,286
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",213,212,99.5,212,"*","*","*","*",29,13.7,91,42.9,79,37.3,170,80.2,283
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",124,124,100.0,124,"*","*",25,20.2,44,35.5,37,29.8,"*","*","*","*",229
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",29,29,100.0,29,0,0.0,0,0.0,"*","*",20,69.0,"*","*","*","*",279
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",91,90,98.9,90,19,21.1,29,32.2,23,25.6,"*","*","*","*",19,21.1,214
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",63,62,98.4,62,27,43.5,15,24.2,11,17.7,"*","*","*","*",9,14.5,200
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",42,42,100.0,42,"*","*",16,38.1,13,31.0,"*","*",0,0.0,"*","*",211
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",42,42,100.0,42,"*","*",11,26.2,7,16.7,15,35.7,"*","*","*","*",242
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",107,107,100.0,107,24,22.4,36,33.6,24,22.4,23,21.5,0,0.0,23,21.5,212
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",50,49,98.0,49,13,26.5,12,24.5,18,36.7,6,12.2,0,0.0,6,12.2,208
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",129,129,100.0,129,60,46.5,27,20.9,25,19.4,"*","*","*","*",17,13.2,194
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",42,42,100.0,42,"*","*",15,35.7,11,26.2,12,28.6,"*","*","*","*",227
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",80,80,100.0,80,34,42.5,24,30.0,18,22.5,"*","*","*","*","*","*",194
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",40,40,100.0,40,13,32.5,12,30.0,"*","*","*","*",0,0.0,"*","*",198
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",66,65,98.5,65,22,33.8,18,27.7,17,26.2,"*","*","*","*",8,12.3,202
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",34,33,97.1,33,16,48.5,"*","*",9,27.3,"*","*",0,0.0,"*","*",194
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",34,33,97.1,33,10,30.3,"*","*",10,30.3,"*","*",0,0.0,"*","*",207
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",77,77,100.0,77,17,22.1,26,33.8,25,32.5,9,11.7,0,0.0,9,11.7,207
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",28,28,100.0,28,"*","*",7,25.0,11,39.3,"*","*","*","*","*","*",223
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",28,28,100.0,28,"*","*",9,32.1,8,28.6,"*","*",0,0.0,"*","*",211
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",42,42,100.0,42,"*","*",11,26.2,13,31.0,10,23.8,"*","*","*","*",232
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",40,40,100.0,40,"*","*",10,25.0,10,25.0,13,32.5,"*","*","*","*",228
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",45,45,100.0,45,6,13.3,6,13.3,11,24.4,15,33.3,7,15.6,22,48.9,242
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",50,50,100.0,50,18,36.0,15,30.0,12,24.0,"*","*","*","*","*","*",202
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",89,88,98.9,88,59,67.0,14,15.9,9,10.2,6,6.8,0,0.0,6,6.8,177
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",74,73,98.6,73,14,19.2,24,32.9,20,27.4,15,20.5,0,0.0,15,20.5,217
