"Six-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Gender"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Gender","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",98,86,87.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",101,81,80.2
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",140,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",143,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",142,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",113,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",127,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",108,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",84,78,92.9
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",80,75,93.8
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Female",11,"*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Male",6,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",37,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",33,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",129,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",124,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",144,83,57.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",163,87,53.4
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",290,254,87.6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",275,221,80.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female",186,140,75.3
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male",171,101,59.1
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",165,148,89.7
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",167,151,90.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Female",149,138,92.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Male",140,121,86.4
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Female",139,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Male",113,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Female",61,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Male",56,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Female",49,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Male",25,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Female",57,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Male",40,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Female",35,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Male",43,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Female",193,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Male",202,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Female",60,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Male",60,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Female",138,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Male",102,"*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Female",12,"*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Male",18,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Female",98,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Male",72,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Female",113,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Male",90,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Female",46,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Male",83,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Female",63,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Male",62,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Female",61,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Male",93,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Female",37,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Male",97,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Female",74,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Male",131,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Female",34,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Male",97,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Female",55,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Male",106,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Female",38,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Male",105,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Female",46,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Male",106,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Female",60,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Male",103,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Female",78,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Male",139,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Female",27,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Male",102,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Female",71,"*","*"
