"Six-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Special Education Status"

"",,,,"Non-Graduates",,,
"District","School","Special Education Status","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education",26,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education",164,"*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",18,"*","*","*","*"
"Avon School District","Avon High School","Non-Special Education",230,"*","*","*","*"
"Avon School District","Avon High School","Special Education",24,"*","*","*","*"
"Berlin School District","Berlin High School","Non-Special Education",232,"*","*","*","*"
"Berlin School District","Berlin High School","Special Education",29,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Special Education",222,"*","*","*","*"
"Bethel School District","Bethel High School","Special Education",24,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-Special Education",141,"*","*",19,13.5
"Bloomfield School District","Bloomfield High School","Special Education",24,"*","*","*","*"
"Bloomfield School District","The Big Picture High School","Non-Special Education","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Special Education","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education","*","*","*","*","*"
"Bolton School District","Bolton High School","Special Education","*","*","*","*","*"
"Branford School District","Branford High School","Non-Special Education",246,"*","*","*","*"
"Branford School District","Branford High School","Special Education",28,"*","*","*","*"
"Bridgeport School District","Bassick High School","Non-Special Education",284,"*","*",87,30.6
"Bridgeport School District","Bassick High School","Special Education",50,"*","*",20,40.0
"Bridgeport School District","Central High School","Non-Special Education",558,"*","*",104,18.6
"Bridgeport School District","Central High School","Special Education",33,"*","*",9,27.3
"Bridgeport School District","Harding High School","Non-Special Education",369,"*","*",168,45.5
"Bridgeport School District","Harding High School","Special Education",57,"*","*",40,70.2
"Bristol School District","Bristol Central High School","Non-Special Education",296,"*","*",53,17.9
"Bristol School District","Bristol Central High School","Special Education",33,"*","*","*","*"
