"Six-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Gender"

"",,,,"Non-Graduates",,,
"District","School","Gender","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Female",12,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",11,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",105,"*","*",10,9.5
"Ansonia School District","Ansonia High School","Male",100,"*","*",16,16.0
"Avon School District","Avon High School","Female",120,"*","*","*","*"
"Avon School District","Avon High School","Male",139,"*","*","*","*"
"Berlin School District","Berlin High School","Female",140,"*","*","*","*"
"Berlin School District","Berlin High School","Male",123,"*","*","*","*"
"Bethel School District","Bethel High School","Female",117,"*","*","*","*"
"Bethel School District","Bethel High School","Male",116,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Female",58,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Male",62,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Female",18,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Male",12,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Female","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Male","*","*","*","*","*"
"Bolton School District","Bolton High School","Female",44,"*","*","*","*"
"Bolton School District","Bolton High School","Male",38,"*","*","*","*"
"Branford School District","Branford High School","Female",153,"*","*","*","*"
"Branford School District","Branford High School","Male",116,"*","*","*","*"
"Bridgeport School District","Bassick High School","Female",158,"*","*",49,31.0
"Bridgeport School District","Bassick High School","Male",153,"*","*",48,31.4
"Bridgeport School District","Central High School","Female",276,"*","*",41,14.9
"Bridgeport School District","Central High School","Male",260,"*","*",46,17.7
"Bridgeport School District","Harding High School","Female",165,"*","*",46,27.9
"Bridgeport School District","Harding High School","Male",167,"*","*",70,41.9
"Bristol School District","Bristol Central High School","Female",148,"*","*",14,9.5
"Bristol School District","Bristol Central High School","Male",163,"*","*",24,14.7
"Bristol School District","Bristol Eastern High School","Female",137,"*","*",15,10.9
"Bristol School District","Bristol Eastern High School","Male",166,"*","*",20,12.0
"Brookfield School District","Brookfield High School","Female",122,"*","*","*","*"
"Brookfield School District","Brookfield High School","Male",116,"*","*","*","*"
"Canton School District","Canton High School","Female",60,"*","*","*","*"
"Canton School District","Canton High School","Male",61,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Female",20,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Male",18,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Female",56,"*","*",10,17.9
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Male",30,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Female",45,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Male",45,"*","*","*","*"
"Cheshire School District","Cheshire High School","Female",179,"*","*","*","*"
"Cheshire School District","Cheshire High School","Male",176,"*","*","*","*"
"Clinton School District","The Morgan School","Female",68,"*","*","*","*"
"Clinton School District","The Morgan School","Male",73,"*","*","*","*"
"Colchester School District","Bacon Academy","Female",126,"*","*","*","*"
"Colchester School District","Bacon Academy","Male",121,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Female",16,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Male",22,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Female",92,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Male",74,"*","*",9,12.2
"Connecticut Technical High School System","Bullard-Havens Technical High School","Female",107,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Male",89,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Female",44,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Male",86,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Female",61,"*","*",11,18.0
"Connecticut Technical High School System","Eli Whitney Technical High School","Male",58,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Female",61,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Male",86,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Female",30,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Male",86,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Female",67,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Male",111,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Female",22,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Male",91,"*","*","*","*"
