"Six-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"District","District Code","School","School Code","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",23,20,87.0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",205,172,83.9
"Avon School District","=""0040011""","Avon High School","=""0046111""",259,257,99.2
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",263,253,96.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",233,225,96.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",120,116,96.7
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",30,30,100.0
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",8,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",82,78,95.1
"Branford School District","=""0140011""","Branford High School","=""0146111""",269,255,94.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",311,212,68.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",536,448,83.6
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",332,213,64.2
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",311,271,87.1
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",303,261,86.1
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",238,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",121,121,100.0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",38,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",86,73,84.9
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",90,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",355,348,98.0
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",141,131,92.9
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",247,239,96.8
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",38,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",166,152,91.6
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",196,189,96.4
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",130,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",119,103,86.6
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",147,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",116,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",178,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",113,113,100.0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",148,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",168,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",154,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",166,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",207,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",141,134,95.0
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",192,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",132,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",135,123,91.1
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",139,133,95.7
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",34,18,52.9
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",733,642,87.6
"Darien School District","=""0350011""","Darien High School","=""0356111""",311,306,98.4
"Derby School District","=""0370011""","Derby High School","=""0376111""",82,71,86.6
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",68,"*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",95,"*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",129,"*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",38,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",367,330,89.9
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",116,78,67.2
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",237,184,77.6
