"Six-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Special Education Status"

"",,,,"Graduates",
"District","School","Special Education Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education",26,18,69.2
"Ansonia School District","Ansonia High School","Non-Special Education",164,133,81.1
"Ansonia School District","Ansonia High School","Special Education",18,12,66.7
"Avon School District","Avon High School","Non-Special Education",230,225,97.8
"Avon School District","Avon High School","Special Education",24,24,100.0
"Berlin School District","Berlin High School","Non-Special Education",232,222,95.7
"Berlin School District","Berlin High School","Special Education",29,26,89.7
"Bethel School District","Bethel High School","Non-Special Education",222,216,97.3
"Bethel School District","Bethel High School","Special Education",24,20,83.3
"Bloomfield School District","Bloomfield High School","Non-Special Education",141,122,86.5
"Bloomfield School District","Bloomfield High School","Special Education",24,18,75.0
"Bloomfield School District","The Big Picture High School","Non-Special Education","*","*","*"
"Bloomfield School District","The Big Picture High School","Special Education","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education","*","*","*"
"Bolton School District","Bolton High School","Special Education","*","*","*"
"Branford School District","Branford High School","Non-Special Education",246,240,97.6
"Branford School District","Branford High School","Special Education",28,24,85.7
"Bridgeport School District","Bassick High School","Non-Special Education",284,196,69.0
"Bridgeport School District","Bassick High School","Special Education",50,28,56.0
"Bridgeport School District","Central High School","Non-Special Education",558,450,80.6
"Bridgeport School District","Central High School","Special Education",33,21,63.6
"Bridgeport School District","Harding High School","Non-Special Education",369,197,53.4
"Bridgeport School District","Harding High School","Special Education",57,15,26.3
"Bristol School District","Bristol Central High School","Non-Special Education",296,241,81.4
"Bristol School District","Bristol Central High School","Special Education",33,22,66.7
"Bristol School District","Bristol Eastern High School","Non-Special Education",331,287,86.7
"Bristol School District","Bristol Eastern High School","Special Education",34,33,97.1
"Brookfield School District","Brookfield High School","Non-Special Education",253,244,96.4
"Brookfield School District","Brookfield High School","Special Education",10,10,100.0
"Canton School District","Canton High School","Non-Special Education",102,98,96.1
"Canton School District","Canton High School","Special Education",15,15,100.0
"Capitol Region Education Council","Great Path Academy at MCC","Non-Special Education",102,95,93.1
"Capitol Region Education Council","Great Path Academy at MCC","Special Education",14,10,71.4
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-Special Education",59,49,83.1
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Special Education","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-Special Education",100,92,92.0
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Special Education","*","*","*"
"Cheshire School District","Cheshire High School","Non-Special Education",329,325,98.8
"Cheshire School District","Cheshire High School","Special Education",35,32,91.4
"Clinton School District","The Morgan School","Non-Special Education",125,119,95.2
"Clinton School District","The Morgan School","Special Education",19,18,94.7
"Colchester School District","Bacon Academy","Non-Special Education",223,216,96.9
"Colchester School District","Bacon Academy","Special Education",26,23,88.5
"Common Ground High School District","Common Ground High School","Non-Special Education",30,27,90.0
"Common Ground High School District","Common Ground High School","Special Education",8,7,87.5
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-Special Education",144,133,92.4
"Connecticut Technical High School System","A. I. Prince Technical High School","Special Education",7,7,100.0
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-Special Education",185,177,95.7
"Connecticut Technical High School System","Bullard-Havens Technical High School","Special Education","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-Special Education",93,89,95.7
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Special Education",8,8,100.0
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-Special Education",117,96,82.1
"Connecticut Technical High School System","Eli Whitney Technical High School","Special Education","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-Special Education",113,108,95.6
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Special Education",12,12,100.0
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-Special Education",112,106,94.6
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Special Education",7,7,100.0
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-Special Education",165,162,98.2
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Special Education",17,15,88.2
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-Special Education",118,105,89.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","Special Education",11,10,90.9
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-Special Education",131,122,93.1
"Connecticut Technical High School System","Henry Abbott Technical High School","Special Education",26,25,96.2
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-Special Education",127,125,98.4
"Connecticut Technical High School System","Howell Cheney Technical High School","Special Education",8,8,100.0
"Connecticut Technical High School System","Norwich Technical High School","Non-Special Education",101,99,98.0
"Connecticut Technical High School System","Norwich Technical High School","Special Education",10,10,100.0
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-Special Education",173,162,93.6
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Special Education",19,17,89.5
"Connecticut Technical High School System","Platt Technical High School","Non-Special Education",182,176,96.7
"Connecticut Technical High School System","Platt Technical High School","Special Education",17,17,100.0
"Connecticut Technical High School System","Vinal Technical High School","Non-Special Education",113,105,92.9
"Connecticut Technical High School System","Vinal Technical High School","Special Education",21,20,95.2
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-Special Education",149,144,96.6
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Special Education","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Non-Special Education",118,114,96.6
"Connecticut Technical High School System","Windham Technical High School","Special Education",8,7,87.5
"Coventry School District","Coventry High School","Non-Special Education",133,127,95.5
"Coventry School District","Coventry High School","Special Education",19,12,63.2
"Cromwell School District","Cromwell High School","Non-Special Education",147,145,98.6
"Cromwell School District","Cromwell High School","Special Education",19,14,73.7
"Danbury School District","Danbury High School","Non-Special Education",643,554,86.2
"Danbury School District","Danbury High School","Special Education",67,51,76.1
"Darien School District","Darien High School","Non-Special Education",291,283,97.3
"Darien School District","Darien High School","Special Education",35,34,97.1
"Derby School District","Derby High School","Non-Special Education",114,"*","*"
"Derby School District","Derby High School","Special Education",6,"*","*"
"East Granby School District","East Granby High School","Non-Special Education",69,68,98.6
"East Granby School District","East Granby High School","Special Education",7,6,85.7
"East Haddam School District","Nathan Hale-Ray High School","Non-Special Education","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Special Education","*","*","*"
"East Hampton School District","East Hampton High School","Non-Special Education",125,118,94.4
"East Hampton School District","East Hampton High School","Special Education",11,9,81.8
"East Hartford School District","Connecticut IB Academy","Non-Special Education",33,33,100.0
"East Hartford School District","East Hartford High School","Non-Special Education",448,392,87.5
"East Hartford School District","East Hartford High School","Special Education",49,42,85.7
"East Haven School District","East Haven High School","Non-Special Education",269,240,89.2
"East Haven School District","East Haven High School","Special Education",23,17,73.9
"East Lyme School District","East Lyme High School","Non-Special Education",289,282,97.6
"East Lyme School District","East Lyme High School","Special Education",35,35,100.0
"East Windsor School District","East Windsor High School","Non-Special Education",77,69,89.6
"East Windsor School District","East Windsor High School","Special Education",12,12,100.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Non-Special Education","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Non-Special Education",39,31,79.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Special Education","*","*","*"
"Ellington School District","Ellington High School","Non-Special Education",164,157,95.7
"Ellington School District","Ellington High School","Special Education",16,16,100.0
"Enfield School District","Enfield High School","Non-Special Education",210,183,87.1
"Enfield School District","Enfield High School","Special Education",27,20,74.1
"Enfield School District","Enrico Fermi High School","Non-Special Education",253,229,90.5
