"Six-Year Graduation Rates, Trend"
"State of Connecticut, Race/Ethnicity"

"",,"Graduates",,
"",,"Six-Year Graduation Rate by Year",,
"District","Race/Ethnicity","2010-11","2011-12","2012-13"
"State of Connecticut","Asian",94.3,95.0,96.1
"State of Connecticut","Black",76.9,78.7,80.8
"State of Connecticut","Hispanic",69.5,74.3,75.8
"State of Connecticut","Indian or Alaska Native",75.8,85.4,84.8
"State of Connecticut","White",91.9,93.4,93.5
"State of Connecticut","Hawaiian or Pacific Islander","N/A",95.0,91.8
"State of Connecticut","Two or More Races","N/A",87.1,87.6

