"Six-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Gender"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Gender","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",98,0,0.0,12,12.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",101,0,0.0,20,19.8
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",140,0,0.0,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",143,0,0.0,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",142,0,0.0,0,0.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",113,0,0.0,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",127,0,0.0,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",108,0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",84,0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",80,"*","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Female",11,0,"*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Male",6,0,"*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",37,0,0.0,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",33,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",129,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",124,0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",144,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",163,"*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",290,"*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",275,"*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female",186,"*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male",171,0,0.0,"*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",165,0,0.0,17,10.3
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",167,0,0.0,16,9.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Female",149,0,0.0,11,7.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Male",140,0,0.0,19,13.6
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Female",139,0,0.0,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Male",113,0,0.0,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Female",61,0,0.0,0,0.0
"Canton School District","=""0230011""","Canton High School","=""0236111""","Male",56,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Female",49,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Male",25,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Female",57,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Male",40,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Female",35,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Male",43,0,0.0,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Female",193,0,0.0,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Male",202,0,0.0,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Female",60,0,0.0,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Male",60,0,0.0,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Female",138,0,0.0,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Male",102,0,0.0,"*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Female",12,0,"*",0,"*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Male",18,0,"*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Female",98,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Male",72,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Female",113,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Male",90,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Female",46,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Male",83,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Female",63,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Male",62,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Female",61,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Male",93,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Female",37,0,0.0,0,0.0
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Male",97,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Female",74,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Male",131,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Female",34,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Male",97,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Female",55,0,0.0,0,0.0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Male",106,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Female",38,0,0.0,0,0.0
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Male",105,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Female",46,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Male",106,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Female",60,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Male",103,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Female",78,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Male",139,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Female",27,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Male",102,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Female",71,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Male",103,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Female",53,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Male",85,0,0.0,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Female",69,"*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Male",79,0,0.0,"*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Female",72,0,0.0,"*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Male",74,0,0.0,"*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Female",364,"*","*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Male",340,"*","*","*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Female",161,0,0.0,"*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Male",146,0,0.0,"*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""","Female",51,0,0.0,9,17.6
"Derby School District","=""0370011""","Derby High School","=""0376111""","Male",58,0,0.0,10,17.2
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Female",31,0,0.0,"*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Male",29,"*","*",0,0.0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Female",56,0,0.0,"*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Male",43,0,0.0,"*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Female",75,0,0.0,"*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Male",84,0,0.0,"*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Female",26,0,0.0,"*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Male",11,0,"*","*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Female",220,"*","*","*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Male",190,"*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Female",116,0,0.0,18,15.5
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Male",99,0,0.0,28,28.3
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Female",160,0,0.0,"*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Male",136,0,0.0,"*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Female",44,0,0.0,"*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Male",41,0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Female",26,0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Male",8,0,"*",0,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Female",21,0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Male",23,0,0.0,"*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Female",95,0,0.0,"*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Male",104,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Female",10,0,"*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Male",9,0,"*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Female",97,0,0.0,8,8.2
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Male",96,0,0.0,14,14.6
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Female",149,0,0.0,8,5.4
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Male",154,0,0.0,22,14.3
"Explorations District","=""2720013""","Explorations","=""2726113""","Female",19,0,"*","*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Male",9,0,"*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Female",200,"*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Male",152,0,0.0,"*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Female",184,0,0.0,"*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Male",154,"*","*","*","*"
