"Six-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,"Non-Graduates",,,
"District","School","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy",18,"*","*","*","*"
"Ansonia School District","Ansonia High School",199,"*","*","*","*"
"Avon School District","Avon High School",283,"*","*","*","*"
"Berlin School District","Berlin High School",255,"*","*","*","*"
"Bethel School District","Bethel High School",235,"*","*","*","*"
"Bloomfield School District","Bloomfield High School",164,"*","*","*","*"
"Bloomfield School District","The Big Picture High School",17,"*","*","*","*"
"Bolton School District","Bolton High School",70,"*","*","*","*"
"Branford School District","Branford High School",253,"*","*","*","*"
"Bridgeport School District","Bassick High School",307,"*","*",134,43.6
"Bridgeport School District","Central High School",565,"*","*",88,15.6
"Bridgeport School District","Harding High School",357,"*","*",114,31.9
"Bristol School District","Bristol Central High School",332,"*","*",33,9.9
"Bristol School District","Bristol Eastern High School",289,"*","*",30,10.4
"Brookfield School District","Brookfield High School",252,"*","*","*","*"
"Canton School District","Canton High School",117,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC",74,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",97,"*","*",10,10.3
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",78,"*","*","*","*"
"Cheshire School District","Cheshire High School",395,"*","*","*","*"
"Clinton School District","The Morgan School",120,"*","*","*","*"
"Colchester School District","Bacon Academy",240,"*","*","*","*"
"Common Ground High School District","Common Ground High School",30,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School",170,"*","*",10,5.9
"Connecticut Technical High School System","Bullard-Havens Technical High School",203,"*","*",10,4.9
"Connecticut Technical High School System","E. C. Goodwin Technical High School",129,"*","*",7,5.4
"Connecticut Technical High School System","Eli Whitney Technical High School",125,"*","*",10,8.0
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",154,"*","*",6,3.9
