"Six-Year Graduation Rates, 2012-13"
"All Districts, All Schools, English Learner Status"

"",,,,"Non-Graduates",,,
"District","School","English Learner Status","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","ELL","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL","*","*","*","*","*"
"Ansonia School District","Ansonia High School","ELL",13,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-ELL",192,"*","*","*","*"
"Avon School District","Avon High School","ELL","*","*","*","*","*"
"Avon School District","Avon High School","Non-ELL","*","*","*","*","*"
"Berlin School District","Berlin High School","ELL","*","*","*","*","*"
"Berlin School District","Berlin High School","Non-ELL","*","*","*","*","*"
"Bethel School District","Bethel High School","ELL","*","*","*","*","*"
"Bethel School District","Bethel High School","Non-ELL","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","ELL","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-ELL",119,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-ELL",30,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","ELL","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-ELL",6,"*","*","*","*"
"Bolton School District","Bolton High School","Non-ELL",82,"*","*","*","*"
"Branford School District","Branford High School","ELL","*","*","*","*","*"
"Branford School District","Branford High School","Non-ELL","*","*","*","*","*"
"Bridgeport School District","Bassick High School","ELL",55,"*","*",20,36.4
"Bridgeport School District","Bassick High School","Non-ELL",256,"*","*",77,30.1
"Bridgeport School District","Central High School","ELL",49,"*","*",11,22.4
"Bridgeport School District","Central High School","Non-ELL",487,"*","*",76,15.6
"Bridgeport School District","Harding High School","ELL",65,"*","*",28,43.1
"Bridgeport School District","Harding High School","Non-ELL",267,"*","*",88,33.0
"Bristol School District","Bristol Central High School","ELL",13,"*","*","*","*"
"Bristol School District","Bristol Central High School","Non-ELL",298,"*","*",35,11.7
"Bristol School District","Bristol Eastern High School","ELL",10,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Non-ELL",293,6,2.0,32,10.9
"Brookfield School District","Brookfield High School","ELL","*","*","*","*","*"
"Brookfield School District","Brookfield High School","Non-ELL","*","*","*","*","*"
"Canton School District","Canton High School","Non-ELL",121,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","ELL","*","*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-ELL",33,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELL","*","*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-ELL",84,"*","*",13,15.5
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-ELL",90,"*","*","*","*"
"Cheshire School District","Cheshire High School","ELL","*","*","*","*","*"
"Cheshire School District","Cheshire High School","Non-ELL","*","*","*","*","*"
"Clinton School District","The Morgan School","ELL","*","*","*","*","*"
"Clinton School District","The Morgan School","Non-ELL","*","*","*","*","*"
"Colchester School District","Bacon Academy","ELL","*","*","*","*","*"
"Colchester School District","Bacon Academy","Non-ELL","*","*","*","*","*"
"Common Ground High School District","Common Ground High School","ELL","*","*","*","*","*"
"Common Ground High School District","Common Ground High School","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","ELL",13,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-ELL",153,"*","*",13,8.5
"Connecticut Technical High School System","Bullard-Havens Technical High School","ELL",15,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-ELL",181,"*","*",6,3.3
"Connecticut Technical High School System","E. C. Goodwin Technical High School","ELL",14,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-ELL",116,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","ELL",24,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-ELL",95,"*","*",11,11.6
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","ELL",9,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-ELL",138,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-ELL",114,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-ELL",176,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-ELL",113,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-ELL",143,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-ELL",164,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Non-ELL",154,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-ELL",166,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-ELL",206,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Non-ELL",140,"*","*",7,5.0
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-ELL",192,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","ELL",6,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Non-ELL",126,"*","*","*","*"
"Coventry School District","Coventry High School","ELL","*","*","*","*","*"
"Coventry School District","Coventry High School","Non-ELL","*","*","*","*","*"
"Cromwell School District","Cromwell High School","ELL","*","*","*","*","*"
"Cromwell School District","Cromwell High School","Non-ELL","*","*","*","*","*"
"Danbury School District","Alternative Center For Excellence","ELL","*","*","*","*","*"
"Danbury School District","Alternative Center For Excellence","Non-ELL","*","*","*","*","*"
"Danbury School District","Danbury High School","ELL",132,"*","*",36,27.3
"Danbury School District","Danbury High School","Non-ELL",601,"*","*",52,8.7
"Darien School District","Darien High School","Non-ELL",311,"*","*","*","*"
"Derby School District","Derby High School","ELL","*","*","*","*","*"
"Derby School District","Derby High School","Non-ELL","*","*","*","*","*"
"East Granby School District","East Granby High School","Non-ELL",68,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Non-ELL",95,"*","*","*","*"
"East Hampton School District","East Hampton High School","ELL","*","*","*","*","*"
"East Hampton School District","East Hampton High School","Non-ELL","*","*","*","*","*"
"East Hartford School District","Connecticut IB Academy","ELL","*","*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Non-ELL",37,"*","*","*","*"
"East Hartford School District","East Hartford High School","ELL",22,"*","*","*","*"
"East Hartford School District","East Hartford High School","Non-ELL",345,"*","*",31,9.0
"East Hartford School District","Stevens Alternate High school","ELL","*","*","*","*","*"
"East Hartford School District","Stevens Alternate High school","Non-ELL",107,"*","*",35,32.7
"East Haven School District","East Haven High School","ELL","*","*","*","*","*"
"East Haven School District","East Haven High School","Non-ELL","*","*","*","*","*"
"East Lyme School District","East Lyme High School","ELL","*","*","*","*","*"
"East Lyme School District","East Lyme High School","Non-ELL","*","*","*","*","*"
"East Windsor School District","East Windsor High School","ELL","*","*","*","*","*"
"East Windsor School District","East Windsor High School","Non-ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Non-ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Non-ELL",39,"*","*",7,17.9
"Ellington School District","Ellington High School","ELL","*","*","*","*","*"
"Ellington School District","Ellington High School","Non-ELL","*","*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","Non-ELL",13,"*","*","*","*"
"Enfield School District","Enfield High School","ELL","*","*","*","*","*"
"Enfield School District","Enfield High School","Non-ELL",181,"*","*",25,13.8
"Enfield School District","Enrico Fermi High School","ELL","*","*","*","*","*"
"Enfield School District","Enrico Fermi High School","Non-ELL",254,"*","*",13,5.1
"Explorations District","Explorations","ELL","*","*","*","*","*"
"Explorations District","Explorations","Non-ELL","*","*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","ELL","*","*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","Non-ELL",375,"*","*",10,2.7
"Fairfield School District","Fairfield Warde High School","ELL","*","*","*","*","*"
"Fairfield School District","Fairfield Warde High School","Non-ELL",302,"*","*",12,4.0
"Farmington School District","Farmington High School","ELL","*","*","*","*","*"
"Farmington School District","Farmington High School","Non-ELL","*","*","*","*","*"
"Glastonbury School District","Glastonbury High School","ELL","*","*","*","*","*"
"Glastonbury School District","Glastonbury High School","Non-ELL","*","*","*","*","*"
"Granby School District","Granby Memorial High School","Non-ELL",193,"*","*","*","*"
"Greenwich School District","Greenwich High School","ELL",23,"*","*","*","*"
"Greenwich School District","Greenwich High School","Non-ELL",655,"*","*","*","*"
"Griswold School District","Griswold High School","Non-ELL",166,"*","*","*","*"
"Groton School District","Robert E. Fitch High School","ELL",10,"*","*","*","*"
"Groton School District","Robert E. Fitch High School","Non-ELL",308,"*","*","*","*"
"Guilford School District","Guilford High School","ELL","*","*","*","*","*"
"Guilford School District","Guilford High School","Non-ELL","*","*","*","*","*"
"Hamden School District","Hamden High School","ELL",10,"*","*","*","*"
"Hamden School District","Hamden High School","Non-ELL",430,"*","*","*","*"
"Hartford School District","Bulkeley High School Upper School","ELL",39,"*","*",8,20.5
"Hartford School District","Bulkeley High School Upper School","Non-ELL",136,"*","*",27,19.9
"Hartford School District","Capital Preparatory Magnet School","Non-ELL",33,"*","*","*","*"
"Hartford School District","Classical Magnet School","ELL","*","*","*","*","*"
"Hartford School District","Classical Magnet School","Non-ELL",86,"*","*","*","*"
"Hartford School District","Culinary Arts Academy","ELL",11,"*","*","*","*"
"Hartford School District","Culinary Arts Academy","Non-ELL",64,"*","*",15,23.4
"Hartford School District","Great Path Academy High School at MCC","ELL","*","*","*","*","*"
"Hartford School District","Great Path Academy High School at MCC","Non-ELL",67,"*","*","*","*"
"Hartford School District","HPHS Academy of Engineering and Green Technology","ELL",37,"*","*",12,32.4
"Hartford School District","HPHS Academy of Engineering and Green Technology","Non-ELL",79,"*","*",24,30.4
"Hartford School District","HPHS Academy of Nursing and Health Science","ELL",45,"*","*",16,35.6
"Hartford School District","HPHS Academy of Nursing and Health Science","Non-ELL",96,"*","*",22,22.9
"Hartford School District","HPHS Law and Government Academy","ELL",22,"*","*","*","*"
"Hartford School District","HPHS Law and Government Academy","Non-ELL",102,"*","*",15,14.7
"Hartford School District","High School Inc.","ELL",16,"*","*","*","*"
"Hartford School District","High School Inc.","Non-ELL",87,"*","*",20,23.0
"Hartford School District","Journalism and Media Academy Magnet School","ELL","*","*","*","*","*"
"Hartford School District","Journalism and Media Academy Magnet School","Non-ELL",56,"*","*",17,30.4
"Hartford School District","OPPortunity High School","ELL",12,"*","*","*","*"
"Hartford School District","OPPortunity High School","Non-ELL",73,"*","*",18,24.7
"Hartford School District","Pathways Academy of Technology and Design","ELL",8,"*","*","*","*"
"Hartford School District","Pathways Academy of Technology and Design","Non-ELL",63,"*","*","*","*"
"Hartford School District","Sports and Medical Sciences Academy","ELL","*","*","*","*","*"
"Hartford School District","Sports and Medical Sciences Academy","Non-ELL",84,"*","*","*","*"
"Hartford School District","University High of Science and Engineering","ELL","*","*","*","*","*"
"Hartford School District","University High of Science and Engineering","Non-ELL",93,"*","*","*","*"
"Killingly School District","Killingly High School","ELL","*","*","*","*","*"
"Killingly School District","Killingly High School","Non-ELL","*","*","*","*","*"
"Learn","Connecticut River Academy","ELL","*","*","*","*","*"
"Learn","Connecticut River Academy","Non-ELL",28,"*","*","*","*"
"Learn","Marine Science Magnet High School of Southeastern Connecticut","Non-ELL","*","*","*","*","*"
"Learn","Three Rivers Middle College Magnet School","ELL","*","*","*","*","*"
"Learn","Three Rivers Middle College Magnet School","Non-ELL",11,"*","*","*","*"
"Lebanon School District","Lyman Memorial High School","ELL","*","*","*","*","*"
"Lebanon School District","Lyman Memorial High School","Non-ELL","*","*","*","*","*"
"Ledyard School District","Ledyard High School","Non-ELL",223,"*","*","*","*"
"Lisbon School District","Community Connection - The Big Picture High School","Non-ELL",6,"*","*","*","*"
"Litchfield School District","Litchfield High School","ELL","*","*","*","*","*"
"Litchfield School District","Litchfield High School","Non-ELL","*","*","*","*","*"
"Madison School District","Daniel Hand High School","Non-ELL",314,"*","*","*","*"
"Manchester School District","Manchester High School","ELL",24,"*","*","*","*"
"Manchester School District","Manchester High School","Non-ELL",416,"*","*","*","*"
"Meriden School District","Francis T. Maloney High School","ELL",39,"*","*",13,33.3
"Meriden School District","Francis T. Maloney High School","Non-ELL",282,"*","*",47,16.7
"Meriden School District","Orville H. Platt High School","ELL",22,"*","*",10,45.5
"Meriden School District","Orville H. Platt High School","Non-ELL",261,"*","*",62,23.8
"Middletown School District","Middletown High School","ELL",10,"*","*","*","*"
"Middletown School District","Middletown High School","Non-ELL",346,"*","*","*","*"
"Milford School District","Jonathan Law High School","ELL","*","*","*","*","*"
"Milford School District","Jonathan Law High School","Non-ELL",246,13,5.3,16,6.5
"Milford School District","Joseph A. Foran High School","ELL","*","*","*","*","*"
"Milford School District","Joseph A. Foran High School","Non-ELL",260,"*","*",9,3.5
"Monroe School District","Masuk High School","Non-ELL",306,"*","*","*","*"
"Montville School District","Montville High School","ELL",8,"*","*","*","*"
"Montville School District","Montville High School","Non-ELL",168,"*","*","*","*"
"Naugatuck School District","Naugatuck High School","ELL",14,"*","*","*","*"
"Naugatuck School District","Naugatuck High School","Non-ELL",318,"*","*","*","*"
"New Britain School District","New Britain High School","ELL",112,"*","*",41,36.6
"New Britain School District","New Britain High School","Non-ELL",495,"*","*",136,27.5
"New Canaan School District","New Canaan High School","ELL","*","*","*","*","*"
"New Canaan School District","New Canaan High School","Non-ELL","*","*","*","*","*"
"New Fairfield School District","New Fairfield High School","ELL","*","*","*","*","*"
"New Fairfield School District","New Fairfield High School","Non-ELL","*","*","*","*","*"
"New Haven School District","Cooperative High School","ELL","*","*","*","*","*"
"New Haven School District","Cooperative High School","Non-ELL",170,"*","*",13,7.6
"New Haven School District","High School In The Community","ELL",6,"*","*","*","*"
"New Haven School District","High School In The Community","Non-ELL",65,"*","*",21,32.3
"New Haven School District","Hill Regional Career High School","ELL",13,"*","*","*","*"
"New Haven School District","Hill Regional Career High School","Non-ELL",140,"*","*",9,6.4
"New Haven School District","Hyde School of Health, Science and Sports Medicine","ELL","*","*","*","*","*"
"New Haven School District","Hyde School of Health, Science and Sports Medicine","Non-ELL",34,"*","*",6,17.6
"New Haven School District","James Hillhouse High School","ELL",25,"*","*",11,44.0
