"Six-Year Graduation Rates, Trend"
"All Districts, All Schools, All Students"

"",,"Non-Graduates",,,,,
"",,"Six-Year Still Enrolled Rate by Year",,,"Six-Year Other Rate by Year",,
"District","School","2010-11","2011-12","2012-13","2010-11","2011-12","2012-13"
"Amistad Academy District","Amistad Academy","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","*","*",12.7,"*","*",3.4
"Avon School District","Avon High School","*","*","*","*","*","*"
"Berlin School District","Berlin High School","*","*","*","*","*","*"
"Bethel School District","Bethel High School","*","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","*","*","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","N/A","N/A","*","N/A","N/A","*"
"Bloomfield School District","Learning Academy at Bloomfield","N/A","N/A","*","N/A","N/A","*"
"Bloomfield School District","The Big Picture High School","*","*","N/A","*","*","N/A"
"Bolton School District","Bolton High School","*","*","*","*","*","*"
"Branford School District","Branford High School","*","*","*","*","*","*"
"Bridgeport School District","Bassick High School",32.0,43.6,31.2,"*","*","*"
"Bridgeport School District","Central High School",19.1,15.6,16.2,1.2,"*","*"
"Bridgeport School District","Harding High School",48.8,31.9,34.9,"*","*","*"
"Bristol School District","Bristol Central High School",18.8,9.9,12.2,"*","*","*"
"Bristol School District","Bristol Eastern High School",11.8,10.4,11.6,"*","*","*"
"Brookfield School District","Brookfield High School","*","*","*","*","*","*"
"Canton School District","Canton High School","*","*","*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","N/A","N/A","*","N/A","N/A","*"
"Capitol Region Education Council","Great Path Academy at MCC",9.5,"*","N/A","*","*","N/A"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",16.4,10.3,15.1,"*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",7.8,"*","*","*","*","*"
"Cheshire School District","Cheshire High School","*","*","*","*","*","*"
"Clinton School District","The Morgan School","*","*","*","*","*","*"
"Colchester School District","Bacon Academy","*","*","*","*","*","*"
"Common Ground High School District","Common Ground High School","*","*","*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School",7.3,5.9,8.4,"*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School",4.2,4.9,3.6,"*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","*",5.4,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School",18.0,8.0,13.4,"*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","*",3.9,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School",5.0,"*","*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","*","*","*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School",10.9,"*","*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School",6.4,"*","*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","*","*","*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","*","*","*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School",6.8,"*","*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School",3.0,"*","*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School",6.7,"*",5.0,"*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","*","*","*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","*","*","*","*","*","*"
"Coventry School District","Coventry High School","*","*","*","*","*","*"
"Cromwell School District","Cromwell High School","*","*","*","*","*","*"
"Danbury School District","Alternative Center For Excellence","N/A","N/A",47.1,"N/A","N/A","*"
"Danbury School District","Danbury High School","*","*",12.0,"*","*","*"
"Darien School District","Darien High School","*","*","*","*","*","*"
"Derby School District","Derby High School","*","*","*","*","*","*"
"East Granby School District","East Granby High School","*","*","*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","*","*","*","*","*","*"
"East Hampton School District","East Hampton High School","*","*","*","*","*","*"
"East Hartford School District","Connecticut IB Academy","*","*","*","*","*","*"
"East Hartford School District","East Hartford High School","*","*","*","*","*","*"
"East Hartford School District","Stevens Alternate High school","N/A","N/A",31.9,"N/A","N/A","*"
"East Haven School District","East Haven High School","*","*",19.8,"*","*",2.5
"East Lyme School District","East Lyme High School","*","*","*","*","*","*"
"East Windsor School District","East Windsor High School","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","*","*","*","*","*","*"
"Ellington School District","Ellington High School","*","*","*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","N/A","*","*","N/A","*","*"
"Enfield School District","Enfield High School",13.9,11.4,13.7,"*","*","*"
"Enfield School District","Enrico Fermi High School",10.3,9.9,5.1,"*","*","*"
"Explorations District","Explorations","*","*","*","*","*","*"
