"Six-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,"Non-Graduates",,,
"District","School","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy",23,"*","*","*","*"
"Ansonia School District","Ansonia High School",205,7,3.4,26,12.7
"Avon School District","Avon High School",259,"*","*","*","*"
"Berlin School District","Berlin High School",263,"*","*","*","*"
"Bethel School District","Bethel High School",233,"*","*","*","*"
"Bloomfield School District","Bloomfield High School",120,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School",30,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield",8,"*","*","*","*"
"Bolton School District","Bolton High School",82,"*","*","*","*"
"Branford School District","Branford High School",269,"*","*","*","*"
"Bridgeport School District","Bassick High School",311,"*","*",97,31.2
"Bridgeport School District","Central High School",536,"*","*",87,16.2
"Bridgeport School District","Harding High School",332,"*","*",116,34.9
"Bristol School District","Bristol Central High School",311,"*","*",38,12.2
"Bristol School District","Bristol Eastern High School",303,"*","*",35,11.6
"Brookfield School District","Brookfield High School",238,"*","*","*","*"
"Canton School District","Canton High School",121,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering",38,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",86,"*","*",13,15.1
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",90,"*","*","*","*"
"Cheshire School District","Cheshire High School",355,"*","*","*","*"
"Clinton School District","The Morgan School",141,"*","*","*","*"
"Colchester School District","Bacon Academy",247,"*","*","*","*"
"Common Ground High School District","Common Ground High School",38,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School",166,"*","*",14,8.4
"Connecticut Technical High School System","Bullard-Havens Technical High School",196,"*","*",7,3.6
"Connecticut Technical High School System","E. C. Goodwin Technical High School",130,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School",119,"*","*",16,13.4
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",147,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School",116,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School",178,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School",113,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School",148,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School",168,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School",154,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School",166,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School",207,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School",141,"*","*",7,5.0
"Connecticut Technical High School System","W. F. Kaynor Technical High School",192,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School",132,"*","*","*","*"
"Coventry School District","Coventry High School",135,"*","*","*","*"
"Cromwell School District","Cromwell High School",139,"*","*","*","*"
"Danbury School District","Alternative Center For Excellence",34,"*","*",16,47.1
"Danbury School District","Danbury High School",733,"*","*",88,12.0
"Darien School District","Darien High School",311,"*","*","*","*"
"Derby School District","Derby High School",82,"*","*","*","*"
"East Granby School District","East Granby High School",68,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School",95,"*","*","*","*"
"East Hampton School District","East Hampton High School",129,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy",38,"*","*","*","*"
"East Hartford School District","East Hartford High School",367,"*","*","*","*"
"East Hartford School District","Stevens Alternate High school",116,"*","*",37,31.9
"East Haven School District","East Haven High School",237,6,2.5,47,19.8
"East Lyme School District","East Lyme High School",301,"*","*","*","*"
"East Windsor School District","East Windsor High School",91,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)",26,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College",40,"*","*","*","*"
"Ellington School District","Ellington High School",197,"*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School",13,"*","*","*","*"
"Enfield School District","Enfield High School",182,"*","*",25,13.7
"Enfield School District","Enrico Fermi High School",255,"*","*",13,5.1
"Explorations District","Explorations",30,"*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School",378,"*","*",10,2.6
"Fairfield School District","Fairfield Warde High School",313,"*","*",13,4.2
"Farmington School District","Farmington High School",318,"*","*","*","*"
"Glastonbury School District","Glastonbury High School",543,"*","*","*","*"
"Granby School District","Granby Memorial High School",193,"*","*","*","*"
"Greenwich School District","Greenwich High School",678,"*","*","*","*"
"Griswold School District","Griswold High School",166,"*","*","*","*"
"Groton School District","Robert E. Fitch High School",318,"*","*","*","*"
"Guilford School District","Guilford High School",276,"*","*","*","*"
"Hamden School District","Hamden High School",440,9,2.0,30,6.8
"Hartford School District","Bulkeley High School Upper School",175,"*","*",35,20.0
"Hartford School District","Capital Preparatory Magnet School",33,"*","*","*","*"
"Hartford School District","Classical Magnet School",88,"*","*","*","*"
"Hartford School District","Culinary Arts Academy",75,"*","*",19,25.3
"Hartford School District","Great Path Academy High School at MCC",68,"*","*","*","*"
"Hartford School District","HPHS Academy of Engineering and Green Technology",116,"*","*",36,31.0
"Hartford School District","HPHS Academy of Nursing and Health Science",141,"*","*",38,27.0
"Hartford School District","HPHS Law and Government Academy",124,"*","*",19,15.3
"Hartford School District","High School Inc.",103,"*","*",22,21.4
"Hartford School District","Journalism and Media Academy Magnet School",59,"*","*",18,30.5
"Hartford School District","OPPortunity High School",85,"*","*",23,27.1
"Hartford School District","Pathways Academy of Technology and Design",71,"*","*","*","*"
"Hartford School District","Sports and Medical Sciences Academy",88,"*","*",6,6.8
"Hartford School District","University High of Science and Engineering",94,"*","*","*","*"
"Killingly School District","Killingly High School",212,"*","*","*","*"
"Learn","Connecticut River Academy",29,"*","*","*","*"
"Learn","Marine Science Magnet High School of Southeastern Connecticut","*","*","*","*","*"
