"Six-Year Graduation Rates, 2011-12"
"All Districts, All Schools, High Needs Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","High Needs Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","High Needs","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-High Needs","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","High Needs",137,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-High Needs",62,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","High Needs",44,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-High Needs",239,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","High Needs",60,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-High Needs",195,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","High Needs",55,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-High Needs",180,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","High Needs",96,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-High Needs",68,"*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","High Needs","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Non-High Needs","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","High Needs",13,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-High Needs",57,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","High Needs",81,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-High Needs",172,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","High Needs","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-High Needs","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","High Needs",565,475,84.1
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","High Needs","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-High Needs","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","High Needs",159,133,83.6
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-High Needs",173,166,96.0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","High Needs",122,102,83.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-High Needs",167,157,94.0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","High Needs",30,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-High Needs",222,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","High Needs",16,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-High Needs",101,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","High Needs",49,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Non-High Needs",25,"*","*"
