"Six-Year Graduation Rates, Trend"
"All Districts, All Schools, High Needs Status"

"",,,"Graduates",,
"",,,"Six-Year Graduation Rate by Year",,
"District","School","High Needs Status","2010-11","2011-12","2012-13"
"Amistad Academy District","Amistad Academy","High Needs",69.2,"*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs",69.2,"*","*"
"Ansonia School District","Ansonia High School","High Needs",71.4,80.3,80.1
"Ansonia School District","Ansonia High School","Non-High Needs",89.3,91.9,94.4
"Avon School District","Avon High School","High Needs",96.8,93.2,97.7
"Avon School District","Avon High School","Non-High Needs",98.2,98.7,99.5
"Berlin School District","Berlin High School","High Needs",86.4,98.3,86.5
"Berlin School District","Berlin High School","Non-High Needs",96.8,98.5,98.6
"Bethel School District","Bethel High School","High Needs",88.1,94.5,86.7
"Bethel School District","Bethel High School","Non-High Needs",97.5,98.3,100.0
"Bloomfield School District","Bloomfield High School","High Needs",82.6,90.6,95.7
"Bloomfield School District","Bloomfield High School","Non-High Needs",86.5,97.1,98.0
"Bloomfield School District","Global Experience Magnet School","High Needs","N/A","N/A",100.0
"Bloomfield School District","Global Experience Magnet School","Non-High Needs","N/A","N/A",100.0
"Bloomfield School District","Learning Academy at Bloomfield","High Needs","N/A","N/A","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-High Needs","N/A","N/A","*"
"Bloomfield School District","The Big Picture High School","High Needs","*","*","N/A"
"Bloomfield School District","The Big Picture High School","Non-High Needs","*","*","N/A"
"Bolton School District","Bolton High School","High Needs",77.8,76.9,85.7
"Bolton School District","Bolton High School","Non-High Needs",98.4,100.0,98.4
"Branford School District","Branford High School","High Needs",85.5,96.3,93.8
"Branford School District","Branford High School","Non-High Needs",99.5,95.9,95.2
"Bridgeport School District","Bassick High School","High Needs",67.1,55.2,68.3
"Bridgeport School District","Bassick High School","Non-High Needs",66.7,"*","*"
"Bridgeport School District","Central High School","High Needs",80.3,84.1,83.5
"Bridgeport School District","Central High School","Non-High Needs",72.9,"N/A","*"
"Bridgeport School District","Harding High School","High Needs",50.1,67.7,64.0
"Bridgeport School District","Harding High School","Non-High Needs",42.9,"*","*"
"Bristol School District","Bristol Central High School","High Needs",67.5,83.6,76.5
"Bristol School District","Bristol Central High School","Non-High Needs",87.4,96.0,96.9
"Bristol School District","Bristol Eastern High School","High Needs",83.2,83.6,77.5
"Bristol School District","Bristol Eastern High School","Non-High Needs",89.5,94.0,93.3
"Brookfield School District","Brookfield High School","High Needs",94.4,93.3,92.3
"Brookfield School District","Brookfield High School","Non-High Needs",96.7,100.0,99.0
"Canton School District","Canton High School","High Needs",100.0,100.0,100.0
"Canton School District","Canton High School","Non-High Needs",96.0,99.0,100.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","High Needs","N/A","N/A",88.9
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-High Needs","N/A","N/A",95.0
"Capitol Region Education Council","Great Path Academy at MCC","High Needs",91.0,85.7,"N/A"
"Capitol Region Education Council","Great Path Academy at MCC","Non-High Needs",89.8,88.0,"N/A"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","High Needs",72.7,93.3,84.9
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-High Needs",89.7,83.8,84.8
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","High Needs",91.3,91.5,95.7
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-High Needs",92.4,100.0,97.7
"Cheshire School District","Cheshire High School","High Needs",93.8,98.6,93.5
"Cheshire School District","Cheshire High School","Non-High Needs",98.7,99.7,99.0
"Clinton School District","The Morgan School","High Needs",94.3,90.3,88.0
"Clinton School District","The Morgan School","Non-High Needs",95.4,95.5,95.6
"Colchester School District","Bacon Academy","High Needs",90.5,95.1,92.0
"Colchester School District","Bacon Academy","Non-High Needs",97.1,99.4,98.0
"Common Ground High School District","Common Ground High School","High Needs",85.2,95.8,93.3
"Common Ground High School District","Common Ground High School","Non-High Needs",100.0,100.0,100.0
"Connecticut Technical High School System","A. I. Prince Technical High School","High Needs",87.8,94.0,92.5
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-High Needs",94.5,95.0,"*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","High Needs",95.2,94.1,96.4
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-High Needs",96.1,100.0,96.4
"Connecticut Technical High School System","E. C. Goodwin Technical High School","High Needs",92.9,94.6,95.9
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-High Needs",97.3,"*",100.0
"Connecticut Technical High School System","Eli Whitney Technical High School","High Needs",73.7,92.4,86.2
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-High Needs",85.7,"*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","High Needs",94.4,94.1,97.8
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-High Needs",96.6,100.0,100.0
"Connecticut Technical High School System","Emmett O'Brien Technical High School","High Needs",84.6,98.6,98.4
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-High Needs",96.2,100.0,94.2
"Connecticut Technical High School System","H. C. Wilcox Technical High School","High Needs",91.4,98.0,100.0
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-High Needs",98.6,97.1,98.9
"Connecticut Technical High School System","H. H. Ellis Technical High School","High Needs",88.9,98.3,100.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-High Needs",89.2,94.4,100.0
"Connecticut Technical High School System","Henry Abbott Technical High School","High Needs",93.9,97.9,96.3
