"Six-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",26,0,0.0,8,30.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",182,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",254,0,0.0,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",261,0,0.0,13,5.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",246,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",165,"*","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",14,0,"*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",72,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",274,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",334,"*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",591,7,1.2,113,19.1
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",426,6,1.4,208,48.8
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",329,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",365,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",263,0,0.0,9,3.4
"Canton School District","=""0230011""","Canton High School","=""0236111""",117,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",116,0,0.0,11,9.5
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",61,0,0.0,10,16.4
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",102,0,0.0,8,7.8
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",364,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",144,0,0.0,6,4.2
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",249,"*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",38,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",151,0,0.0,11,7.3
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",190,0,0.0,8,4.2
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",101,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",122,0,0.0,22,18.0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",125,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",119,0,0.0,6,5.0
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",182,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",129,0,0.0,14,10.9
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",157,0,0.0,10,6.4
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",135,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",111,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",192,0,0.0,13,6.8
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",199,0,0.0,6,3.0
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",134,0,0.0,9,6.7
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",152,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",126,0,0.0,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",152,"*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",166,"*","*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",710,"*","*","*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""",326,"*","*","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""",120,"*","*","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",76,0,0.0,"*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",93,0,0.0,7,7.5
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",136,"*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",33,0,0.0,0,0.0
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",497,"*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",292,"*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",324,0,0.0,7,2.2
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",89,0,0.0,8,9.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",17,0,"*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",43,0,0.0,9,20.9
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",180,0,0.0,7,3.9
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",237,"*","*","*","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",272,0,0.0,28,10.3
"Explorations District","=""2720013""","Explorations","=""2726113""",30,0,0.0,9,30.0
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",350,"*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",299,"*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",333,"*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",542,"*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",192,0,0.0,"*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",631,"*","*","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",196,0,0.0,29,14.8
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",325,"*","*","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",266,0,0.0,9,3.4
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",567,0,0.0,61,10.8
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",275,"*","*","*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",31,0,0.0,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",88,0,0.0,"*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",95,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",129,0,0.0,24,18.6
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",133,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",103,"*","*","*","*"
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",53,0,0.0,27,50.9
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",97,0,0.0,14,14.4
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",106,0,0.0,7,6.6
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",72,0,0.0,"*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",191,"*","*","*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",158,0,0.0,9,5.7
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",225,"*","*","*","*"
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","*","*","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",91,0,0.0,"*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",315,0,0.0,7,2.2
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",486,"*","*","*","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",311,6,1.9,58,18.6
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",299,0,0.0,79,26.4
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",336,11,3.3,48,14.3
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",221,"*","*","*","*"
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",266,"*","*","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",363,"*","*","*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""",195,"*","*","*","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",368,"*","*","*","*"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",711,"*","*","*","*"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",310,"*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",238,0,0.0,13,5.5
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",109,0,0.0,17,15.6
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",77,0,0.0,26,33.8
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",170,"*","*","*","*"
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",40,"*","*","*","*"
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",306,"*","*","*","*"
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",33,0,0.0,"*","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",61,"*","*","*","*"
"New Haven School District","=""0930011""","Sound School","=""0936711""",61,0,0.0,"*","*"
