"Six-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Race/Ethnicity"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Race/Ethnicity","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Black",14,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Hispanic",12,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Black",49,40,81.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Hispanic",39,29,74.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Asian","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Indian or Alaska Native","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","White",88,72,81.8
"Avon School District","=""0040011""","Avon High School","=""0046111""","Black","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Hispanic",13,13,"*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Asian",19,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Indian or Alaska Native","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","White",213,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Black","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Hispanic",6,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Asian",9,9,"*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Indian or Alaska Native","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","White",244,232,95.1
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Black",6,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Hispanic",21,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Asian",17,17,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","White",202,194,96.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Black",154,132,85.7
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Hispanic","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Asian","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","White","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Black",10,10,"*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Hispanic","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Asian","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Black","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Hispanic","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Indian or Alaska Native","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","White",66,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Black",10,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Hispanic","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Asian",19,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Indian or Alaska Native","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","White",236,229,97.0
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Black",162,114,70.4
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Hispanic",152,94,61.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Asian",7,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","White",13,"*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Black",289,245,84.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Hispanic",199,147,73.9
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Asian","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Indian or Alaska Native","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","White",77,55,71.4
