"Six-Year Graduation Rates, 2012-13"
"All Districts, All Schools, English Learner Status"

"",,,,"Graduates",
"District","School","English Learner Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","ELL","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL","*","*","*"
"Ansonia School District","Ansonia High School","ELL",13,9,69.2
"Ansonia School District","Ansonia High School","Non-ELL",192,163,84.9
"Avon School District","Avon High School","ELL","*","*","*"
"Avon School District","Avon High School","Non-ELL","*","*","*"
"Berlin School District","Berlin High School","ELL","*","*","*"
"Berlin School District","Berlin High School","Non-ELL","*","*","*"
"Bethel School District","Bethel High School","ELL","*","*","*"
"Bethel School District","Bethel High School","Non-ELL","*","*","*"
"Bloomfield School District","Bloomfield High School","ELL","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-ELL",119,115,96.6
"Bloomfield School District","Global Experience Magnet School","Non-ELL",30,30,100.0
"Bloomfield School District","Learning Academy at Bloomfield","ELL","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-ELL",6,"*","*"
"Bolton School District","Bolton High School","Non-ELL",82,78,95.1
"Branford School District","Branford High School","ELL","*","*","*"
"Branford School District","Branford High School","Non-ELL","*","*","*"
"Bridgeport School District","Bassick High School","ELL",55,35,63.6
"Bridgeport School District","Bassick High School","Non-ELL",256,177,69.1
"Bridgeport School District","Central High School","ELL",49,38,77.6
"Bridgeport School District","Central High School","Non-ELL",487,410,84.2
"Bridgeport School District","Harding High School","ELL",65,35,53.8
"Bridgeport School District","Harding High School","Non-ELL",267,178,66.7
"Bristol School District","Bristol Central High School","ELL",13,10,76.9
"Bristol School District","Bristol Central High School","Non-ELL",298,261,87.6
"Bristol School District","Bristol Eastern High School","ELL",10,6,60.0
"Bristol School District","Bristol Eastern High School","Non-ELL",293,255,87.0
"Brookfield School District","Brookfield High School","ELL","*","*","*"
"Brookfield School District","Brookfield High School","Non-ELL","*","*","*"
"Canton School District","Canton High School","Non-ELL",121,121,100.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","ELL","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-ELL",33,30,90.9
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELL","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-ELL",84,71,84.5
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-ELL",90,87,96.7
"Cheshire School District","Cheshire High School","ELL","*","*","*"
"Cheshire School District","Cheshire High School","Non-ELL","*","*","*"
"Clinton School District","The Morgan School","ELL","*","*","*"
"Clinton School District","The Morgan School","Non-ELL","*","*","*"
"Colchester School District","Bacon Academy","ELL","*","*","*"
"Colchester School District","Bacon Academy","Non-ELL","*","*","*"
"Common Ground High School District","Common Ground High School","ELL","*","*","*"
"Common Ground High School District","Common Ground High School","Non-ELL","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","ELL",13,12,92.3
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-ELL",153,140,91.5
"Connecticut Technical High School System","Bullard-Havens Technical High School","ELL",15,14,93.3
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-ELL",181,175,96.7
"Connecticut Technical High School System","E. C. Goodwin Technical High School","ELL",14,13,92.9
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-ELL",116,113,97.4
"Connecticut Technical High School System","Eli Whitney Technical High School","ELL",24,19,79.2
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-ELL",95,84,88.4
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","ELL",9,9,100.0
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-ELL",138,136,98.6
"Connecticut Technical High School System","Emmett O'Brien Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-ELL",114,110,96.5
"Connecticut Technical High School System","H. C. Wilcox Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-ELL",176,175,99.4
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-ELL",113,113,100.0
"Connecticut Technical High School System","Henry Abbott Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-ELL",143,140,97.9
"Connecticut Technical High School System","Howell Cheney Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-ELL",164,160,97.6
"Connecticut Technical High School System","Norwich Technical High School","Non-ELL",154,152,98.7
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-ELL",166,165,99.4
"Connecticut Technical High School System","Platt Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-ELL",206,204,99.0
"Connecticut Technical High School System","Vinal Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Non-ELL",140,133,95.0
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-ELL",192,188,97.9
"Connecticut Technical High School System","Windham Technical High School","ELL",6,"*","*"
"Connecticut Technical High School System","Windham Technical High School","Non-ELL",126,126,100.0
"Coventry School District","Coventry High School","ELL","*","*","*"
"Coventry School District","Coventry High School","Non-ELL","*","*","*"
"Cromwell School District","Cromwell High School","ELL","*","*","*"
"Cromwell School District","Cromwell High School","Non-ELL","*","*","*"
"Danbury School District","Alternative Center For Excellence","ELL","*","*","*"
"Danbury School District","Alternative Center For Excellence","Non-ELL","*","*","*"
"Danbury School District","Danbury High School","ELL",132,95,72.0
"Danbury School District","Danbury High School","Non-ELL",601,547,91.0
"Darien School District","Darien High School","Non-ELL",311,306,98.4
"Derby School District","Derby High School","ELL","*","*","*"
