"Six-Year Graduation Rates, 2010-11"
"All Districts, All Schools, English Learner Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","English Learner Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-ELL",26,18,69.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-ELL","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELL","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-ELL","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","ELL","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-ELL","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELL","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-ELL","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELL","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-ELL","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","ELL","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Non-ELL",14,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-ELL",72,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-ELL","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","ELL","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-ELL",276,187,67.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELL",58,37,63.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-ELL",535,429,80.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELL",56,42,75.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-ELL",335,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELL",91,"*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-ELL",323,"*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELL",6,"*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-ELL","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELL","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-ELL","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELL","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-ELL","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Non-ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-ELL","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELL","*","*","*"
