"Six-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Special Education Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Special Education Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Special Education","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",183,153,83.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",22,19,86.4
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-Special Education",230,228,99.1
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education",29,29,100.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-Special Education",239,232,97.1
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Special Education",24,21,87.5
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-Special Education",212,209,98.6
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Special Education",21,16,76.2
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-Special Education",109,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Special Education",11,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Special Education","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-Special Education",70,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Special Education",12,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-Special Education",238,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Special Education",31,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-Special Education",275,193,70.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Special Education",36,19,52.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-Special Education",481,406,84.4
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Special Education",55,42,76.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-Special Education",276,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Special Education",56,"*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-Special Education",269,240,89.2
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Special Education",42,31,73.8
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-Special Education",260,226,86.9
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Special Education",43,35,81.4
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-Special Education",225,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Special Education",13,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-Special Education",106,106,100.0
"Canton School District","=""0230011""","Canton High School","=""0236111""","Special Education",15,15,"*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-Special Education",77,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Special Education",9,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Special Education","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-Special Education",320,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Special Education",35,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-Special Education",121,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Special Education",20,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-Special Education",223,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Special Education",24,"*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-Special Education","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Special Education","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-Special Education",159,145,91.2
