"Six-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,,,"Graduates",
"District","District Code","School","School Code","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",18,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",199,167,83.9
"Avon School District","=""0040011""","Avon High School","=""0046111""",283,277,97.9
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",255,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",235,229,97.4
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",164,153,93.3
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",17,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",70,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",253,243,96.0
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",307,170,55.4
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",565,475,84.1
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",357,241,67.5
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",332,299,90.1
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",289,259,89.6
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",252,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",117,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",74,64,86.5
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",97,87,89.7
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",78,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",395,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",120,113,94.2
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",240,"*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",30,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",170,160,94.1
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",203,193,95.1
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",129,122,94.6
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",125,115,92.0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",154,148,96.1
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",134,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",205,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",131,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",161,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",143,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",152,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",163,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",217,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",129,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",174,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",138,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",148,137,92.6
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",146,139,95.2
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",704,620,88.1
"Darien School District","=""0350011""","Darien High School","=""0356111""",307,"*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""",109,90,82.6
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",60,58,96.7
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",99,93,93.9
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",159,153,96.2
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",37,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",410,368,89.8
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",215,169,78.6
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",296,284,95.9
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",85,77,90.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",34,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",44,33,75.0
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",199,186,93.5
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",19,"*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",193,171,88.6
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",303,273,90.1
"Explorations District","=""2720013""","Explorations","=""2726113""",28,17,60.7
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",352,344,97.7
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",338,323,95.6
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",298,291,97.7
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",506,497,98.2
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",187,"*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",639,614,96.1
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",183,162,88.5
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",339,285,84.1
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",285,"*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",496,453,91.3
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",246,191,77.6
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",33,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",80,"*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",53,38,71.7
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",130,101,77.7
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",124,94,75.8
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",134,87,64.9
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",41,28,68.3
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",96,77,80.2
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",72,41,56.9
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",83,"*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",106,"*","*"
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",85,78,91.8
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",183,156,85.2
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",124,116,93.5
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",205,193,94.1
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",102,"*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",331,"*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",472,387,82.0
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",320,242,75.6
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",297,223,75.1
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",322,277,86.0
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",265,235,88.7
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",243,234,96.3
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",337,"*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""",210,187,89.0
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",367,319,86.9
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",635,447,70.4
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",327,"*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",231,"*","*"
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",134,126,94.0
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",73,45,61.6
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",155,142,91.6
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",47,39,83.0
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",248,156,62.9
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",43,"*","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",45,36,80.0
"New Haven School District","=""0930011""","Sound School","=""0936711""",84,78,92.9
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",417,302,72.4
