"Six-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Special Education Status"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Special Education Status","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education",18,0,"*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",175,0,0.0,26,14.9
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",24,0,0.0,6,25.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-Special Education",248,0,0.0,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education",35,0,0.0,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-Special Education",219,0,0.0,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Special Education",36,0,0.0,0,0.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-Special Education",209,0,0.0,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Special Education",26,0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-Special Education",141,0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Special Education",23,"*","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Non-Special Education","*","*","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Special Education","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-Special Education",64,0,0.0,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Special Education",6,0,"*",0,"*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-Special Education",225,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Special Education",28,0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-Special Education",261,0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Special Education",46,"*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-Special Education",507,0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Special Education",58,"*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-Special Education",306,0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Special Education",51,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-Special Education",285,0,0.0,27,9.5
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Special Education",47,0,0.0,6,12.8
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-Special Education",252,0,0.0,"*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Special Education",37,0,0.0,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-Special Education",235,0,0.0,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Special Education",17,0,"*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-Special Education",106,0,0.0,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Special Education",11,0,"*",0,"*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Non-Special Education",64,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Special Education",10,0,"*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-Special Education",91,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Special Education",6,0,"*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-Special Education","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Special Education","*","*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-Special Education",359,0,0.0,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Special Education",36,0,0.0,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-Special Education",101,0,0.0,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Special Education",19,0,"*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-Special Education",216,0,0.0,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Special Education",24,0,0.0,"*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-Special Education","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-Special Education",161,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Special Education",9,0,"*","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Non-Special Education","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Non-Special Education",120,0,0.0,7,5.8
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Special Education",9,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Non-Special Education",118,0,0.0,10,8.5
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Special Education",7,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Non-Special Education",124,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Special Education",30,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Non-Special Education",120,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Special Education",14,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Non-Special Education",194,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Special Education",11,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Non-Special Education",117,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Special Education",14,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Non-Special Education",134,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Special Education",27,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Non-Special Education",132,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Special Education",11,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Non-Special Education",143,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Special Education",9,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Non-Special Education",144,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Special Education",19,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Non-Special Education",205,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Special Education",12,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Non-Special Education",99,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Special Education",30,0,0.0,0,0.0
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Non-Special Education","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Non-Special Education",125,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Special Education",13,0,"*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Non-Special Education",124,0,0.0,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Special Education",24,"*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Non-Special Education",130,0,0.0,"*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Special Education",16,0,"*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Non-Special Education",633,0,0.0,"*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Special Education",71,"*","*","*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Non-Special Education",268,0,0.0,"*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Special Education",39,0,0.0,0,0.0
"Derby School District","=""0370011""","Derby High School","=""0376111""","Non-Special Education",99,0,0.0,"*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""","Special Education",10,0,"*","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Non-Special Education",51,0,0.0,"*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Special Education",9,"*","*",0,"*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Non-Special Education",90,0,0.0,6,6.7
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Special Education",9,0,"*",0,"*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Non-Special Education",153,0,0.0,"*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Special Education",6,0,"*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Non-Special Education",37,0,0.0,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Non-Special Education",363,0,0.0,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Special Education",47,"*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Non-Special Education",191,0,0.0,36,18.8
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Special Education",24,0,0.0,10,41.7
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Non-Special Education",251,0,0.0,"*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Special Education",45,0,0.0,"*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Non-Special Education",77,0,0.0,"*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Special Education",8,0,"*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Non-Special Education","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Special Education","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Non-Special Education",33,0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Special Education",11,0,"*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Non-Special Education",178,0,0.0,"*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Special Education",21,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Non-Special Education","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Special Education","*","*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Non-Special Education",172,0,0.0,16,9.3
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Special Education",21,0,0.0,6,28.6
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Non-Special Education",252,0,0.0,17,6.7
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Special Education",51,0,0.0,13,25.5
"Explorations District","=""2720013""","Explorations","=""2726113""","Non-Special Education",21,0,0.0,"*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Special Education",7,0,"*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Non-Special Education",301,0,0.0,"*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Special Education",51,"*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Non-Special Education",297,0,0.0,"*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Special Education",41,"*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Non-Special Education",274,0,0.0,"*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Special Education",24,"*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Non-Special Education",454,0,0.0,"*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Special Education",52,0,0.0,"*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Non-Special Education",167,0,0.0,"*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Special Education",20,0,0.0,0,0.0
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Non-Special Education",549,0,0.0,"*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Special Education",90,"*","*","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Non-Special Education",157,0,0.0,"*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Special Education",26,0,0.0,"*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Non-Special Education",306,0,0.0,"*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Special Education",33,"*","*","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Non-Special Education",251,0,0.0,0,0.0
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Special Education",34,0,0.0,"*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Non-Special Education",433,0,0.0,34,7.9
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Special Education",63,0,0.0,9,14.3
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Non-Special Education",203,0,0.0,39,19.2
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Special Education",43,0,0.0,16,37.2
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Non-Special Education",33,0,0.0,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Non-Special Education","*","*","*","*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Special Education","*","*","*","*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Non-Special Education",36,0,0.0,"*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Special Education",17,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Non-Special Education",97,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Special Education",33,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Non-Special Education",103,0,0.0,21,20.4
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Special Education",21,0,0.0,9,42.9
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Non-Special Education",106,0,0.0,"*","*"
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Special Education",28,"*","*","*","*"
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Non-Special Education",31,0,0.0,"*","*"
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Special Education",10,0,"*","*","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Non-Special Education",74,0,0.0,"*","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Special Education",22,0,0.0,"*","*"
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Non-Special Education",60,0,0.0,25,41.7
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Special Education",12,0,"*",6,"*"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Non-Special Education",72,0,0.0,"*","*"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Special Education",11,0,"*","*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Non-Special Education",94,0,0.0,"*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Special Education",12,0,"*","*","*"
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Non-Special Education","*","*","*","*","*"
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Special Education","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","Non-Special Education",156,0,0.0,"*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","Special Education",27,0,0.0,"*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","Non-Special Education",114,0,0.0,8,7.0
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","Special Education",10,0,"*",0,"*"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","Non-Special Education",182,0,0.0,"*","*"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","Special Education",23,0,0.0,"*","*"
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","Non-Special Education","*","*","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Non-Special Education","*","*","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Special Education","*","*","*","*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","Non-Special Education",288,0,0.0,"*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","Special Education",43,0,0.0,"*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""","Non-Special Education",408,0,0.0,70,17.2
"Manchester School District","=""0770011""","Manchester High School","=""0776111""","Special Education",64,0,0.0,15,23.4
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""","Non-Special Education",270,0,0.0,"*","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""","Special Education",50,"*","*","*","*"
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","Non-Special Education",247,0,0.0,"*","*"
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","Special Education",50,"*","*","*","*"
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","Non-Special Education",284,0,0.0,34,12.0
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","Special Education",38,0,0.0,11,28.9
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""","Non-Special Education",214,"*","*","*","*"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""","Special Education",51,"*","*","*","*"
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""","Non-Special Education",210,0,0.0,"*","*"
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""","Special Education",33,"*","*","*","*"
