"Six-Year Graduation Rates, 2012-13"
"All Districts, All Schools, High Needs Status"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","High Needs Status","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","High Needs","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-High Needs","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","High Needs",151,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-High Needs",54,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","High Needs",43,0,0.0,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-High Needs",216,"*","*",0,0.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","High Needs",52,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-High Needs",211,0,0.0,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","High Needs",60,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-High Needs",173,0,0.0,0,0.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","High Needs",69,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-High Needs",51,0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","High Needs",17,0,"*",0,"*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-High Needs",13,0,"*",0,"*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","High Needs","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-High Needs","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","High Needs",21,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-High Needs",61,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","High Needs",81,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-High Needs",188,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-High Needs","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","High Needs",149,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-High Needs",162,0,0.0,"*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","High Needs",138,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-High Needs",165,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","High Needs",39,0,0.0,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-High Needs",199,0,0.0,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","High Needs",29,0,0.0,0,0.0
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-High Needs",92,0,0.0,0,0.0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","High Needs",18,0,"*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-High Needs",20,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","High Needs",53,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-High Needs",33,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","High Needs",47,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-High Needs",43,0,0.0,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","High Needs",62,"*","*","*","*"
