"Six-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Special Education Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Special Education Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education",18,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",175,149,85.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",24,18,75.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-Special Education",248,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education",35,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-Special Education",219,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Special Education",36,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-Special Education",209,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Special Education",26,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-Special Education",141,133,94.3
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Special Education",23,20,87.0
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Non-Special Education","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Special Education","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-Special Education",64,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Special Education",6,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-Special Education",225,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Special Education",28,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-Special Education",261,147,56.3
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Special Education",46,23,50.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-Special Education",507,439,86.6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Special Education",58,36,62.1
