"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Gender"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",133,131,98.5,131,34,26.0,33,25.2,37,28.2,"*","*","*","*",27,20.6
"Achievement First Hartford Academy Inc. District","=""2880013""","M",120,117,97.5,117,34,29.1,21,17.9,29,24.8,25,21.4,8,6.8,33,28.2
"Amistad Academy District","=""2790013""","F",120,120,100.0,120,"*","*",29,24.2,44,36.7,30,25.0,"*","*","*","*"
"Amistad Academy District","=""2790013""","M",115,115,100.0,115,28,24.3,"*","*",34,29.6,25,21.7,"*","*","*","*"
"Andover School District","=""0010011""","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","M",29,28,96.6,28,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","F",278,276,99.3,276,68,24.6,54,19.6,94,34.1,52,18.8,8,2.9,60,21.7
"Ansonia School District","=""0020011""","M",259,255,98.5,254,66,26.0,44,17.3,75,29.5,57,22.4,12,4.7,69,27.2
"Area Cooperative Educational Services","=""2440014""","F",177,175,98.9,175,46,26.3,26,14.9,40,22.9,52,29.7,11,6.3,63,36.0
"Area Cooperative Educational Services","=""2440014""","M",267,256,95.9,252,78,31.0,42,16.7,52,20.6,71,28.2,9,3.6,80,31.7
"Ashford School District","=""0030011""","F",41,41,100.0,41,0,0.0,"*","*","*","*",24,58.5,11,26.8,35,85.4
"Ashford School District","=""0030011""","M",34,34,100.0,34,"*","*","*","*","*","*",19,55.9,6,17.6,25,73.5
"Avon School District","=""0040011""","F",426,423,99.3,423,10,2.4,21,5.0,51,12.1,181,42.8,160,37.8,341,80.6
"Avon School District","=""0040011""","M",409,407,99.5,406,14,3.4,17,4.2,61,15.0,147,36.2,167,41.1,314,77.3
"Barkhamsted School District","=""0050011""","F",23,22,95.7,22,0,0.0,"*","*","*","*",13,59.1,"*","*","*","*"
"Barkhamsted School District","=""0050011""","M",24,23,95.8,23,"*","*","*","*","*","*",12,52.2,"*","*","*","*"
"Berlin School District","=""0070011""","F",303,301,99.3,301,9,3.0,20,6.6,68,22.6,130,43.2,74,24.6,204,67.8
"Berlin School District","=""0070011""","M",377,375,99.5,375,13,3.5,27,7.2,75,20.0,152,40.5,108,28.8,260,69.3
"Bethany School District","=""0080011""","F",25,22,88.0,22,0,0.0,"*","*","*","*",11,50.0,9,40.9,20,90.9
"Bethany School District","=""0080011""","M",35,35,100.0,35,0,0.0,"*","*","*","*",19,54.3,10,28.6,29,82.9
"Bethel School District","=""0090011""","F",295,294,99.7,294,9,3.1,8,2.7,64,21.8,120,40.8,93,31.6,213,72.4
"Bethel School District","=""0090011""","M",329,325,98.8,325,13,4.0,18,5.5,58,17.8,134,41.2,102,31.4,236,72.6
"Bloomfield School District","=""0110011""","F",195,194,99.5,194,27,13.9,24,12.4,65,33.5,61,31.4,17,8.8,78,40.2
"Bloomfield School District","=""0110011""","M",205,202,98.5,201,35,17.4,41,20.4,59,29.4,54,26.9,12,6.0,66,32.8
"Bolton School District","=""0120011""","F",105,104,99.0,104,"*","*","*","*",24,23.1,47,45.2,24,23.1,71,68.3
"Bolton School District","=""0120011""","M",92,90,97.8,90,"*","*","*","*",17,18.9,36,40.0,27,30.0,63,70.0
"Bozrah School District","=""0130011""","F",25,25,100.0,25,0,0.0,0,0.0,"*","*",16,64.0,"*","*","*","*"
"Bozrah School District","=""0130011""","M",26,25,96.2,25,0,0.0,0,0.0,"*","*",16,64.0,"*","*","*","*"
"Branford School District","=""0140011""","F",359,354,98.6,354,13,3.7,26,7.3,85,24.0,145,41.0,85,24.0,230,65.0
"Branford School District","=""0140011""","M",324,316,97.5,316,21,6.6,27,8.5,72,22.8,139,44.0,57,18.0,196,62.0
"Bridgeport Achievement First District","=""2850013""","F",114,113,99.1,113,28,24.8,27,23.9,28,24.8,"*","*","*","*",30,26.5
"Bridgeport Achievement First District","=""2850013""","M",110,109,99.1,108,27,25.0,32,29.6,28,25.9,"*","*","*","*",21,19.4
"Bridgeport School District","=""0150011""","F",2173,2074,95.4,2051,699,34.1,462,22.5,502,24.5,327,15.9,61,3.0,388,18.9
"Bridgeport School District","=""0150011""","M",2312,2182,94.4,2148,831,38.7,449,20.9,444,20.7,331,15.4,93,4.3,424,19.7
"Bristol School District","=""0170011""","F",880,864,98.2,864,68,7.9,82,9.5,235,27.2,353,40.9,126,14.6,479,55.4
"Bristol School District","=""0170011""","M",890,877,98.5,877,91,10.4,102,11.6,198,22.6,325,37.1,161,18.4,486,55.4
