"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, Free/Reduced Price Meal Eligibility (2-"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""","Y",46,46,100.0,46,"*","*","*","*","*","*","*","*","*","*","*","*",213
"Amistad Academy District","=""2790013""","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",116,113,97.4,113,40,35.4,21,18.6,42,37.2,"*","*","*","*",10,8.8,209
"Ansonia School District","=""0020011""","N",49,47,95.9,46,6,13.0,9,19.6,16,34.8,7,15.2,8,17.4,15,32.6,246
"Area Cooperative Educational Services","=""2440014""","Y",27,21,77.8,17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",272,270,99.3,269,"*","*","*","*","*","*","*","*","*","*","*","*",292
"Berlin School District","=""0070011""","Y",34,33,97.1,33,"*","*","*","*",13,39.4,7,21.2,"*","*","*","*",248
"Berlin School District","=""0070011""","N",181,179,98.9,179,"*","*","*","*",54,30.2,44,24.6,"*","*","*","*",275
"Bethel School District","=""0090011""","Y",37,36,97.3,36,"*","*","*","*",12,33.3,10,27.8,9,25.0,19,52.8,262
"Bethel School District","=""0090011""","N",158,157,99.4,157,"*","*","*","*",40,25.5,37,23.6,67,42.7,104,66.2,283
"Bloomfield School District","=""0110011""","Y",72,68,94.4,67,16,23.9,14,20.9,26,38.8,"*","*","*","*",11,16.4,224
"Bloomfield School District","=""0110011""","N",75,75,100.0,75,6,8.0,14,18.7,22,29.3,23,30.7,10,13.3,33,44.0,250
"Bolton School District","=""0120011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",63,63,100.0,63,0,0.0,"*","*","*","*","*","*","*","*","*","*",279
"Branford School District","=""0140011""","Y",54,51,94.4,51,"*","*","*","*",22,43.1,11,21.6,9,17.6,20,39.2,255
"Branford School District","=""0140011""","N",164,158,96.3,158,7,4.4,10,6.3,51,32.3,38,24.1,52,32.9,90,57.0,271
"Bridgeport Achievement First District","=""2850013""","Y",34,34,100.0,33,"*","*","*","*","*","*","*","*","*","*","*","*",201
"Bridgeport Achievement First District","=""2850013""","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Y",1467,1274,86.8,1217,439,36.1,263,21.6,311,25.6,116,9.5,88,7.2,204,16.8,215
"Bristol School District","=""0170011""","Y",208,197,94.7,197,36,18.3,39,19.8,72,36.5,27,13.7,23,11.7,50,25.4,234
"Bristol School District","=""0170011""","N",352,344,97.7,344,19,5.5,24,7.0,125,36.3,89,25.9,87,25.3,176,51.2,266
"Brookfield School District","=""0180011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","N",206,202,98.1,201,0,0.0,"*","*","*","*","*","*","*","*","*","*",286
"Brooklyn School District","=""0190011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Y",18,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",108,107,99.1,107,"*","*","*","*","*","*","*","*","*","*","*","*",300
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Y",387,370,95.6,365,88,24.1,87,23.8,126,34.5,38,10.4,26,7.1,64,17.5,223
"Capitol Region Education Council","=""2410014""","N",246,235,95.5,233,19,8.2,42,18.0,64,27.5,45,19.3,63,27.0,108,46.4,261
"Cheshire School District","=""0250011""","Y",38,36,94.7,36,"*","*","*","*",13,36.1,11,30.6,7,19.4,18,50.0,262
"Cheshire School District","=""0250011""","N",307,304,99.0,301,"*","*","*","*",76,25.2,97,32.2,116,38.5,213,70.8,286
"Clinton School District","=""0270011""","Y",27,24,88.9,24,"*","*","*","*","*","*","*","*","*","*","*","*",215
"Clinton School District","=""0270011""","N",105,104,99.0,104,"*","*","*","*","*","*","*","*","*","*","*","*",280
"Colchester School District","=""0280011""","Y",37,36,97.3,36,"*","*",8,22.2,13,36.1,"*","*",7,19.4,"*","*",248
"Colchester School District","=""0280011""","N",184,182,98.9,181,"*","*","*","*",44,24.3,44,24.3,80,44.2,124,68.5,283
"Columbia School District","=""0300011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Y",22,22,100.0,22,"*","*","*","*","*","*","*","*",0,0.0,"*","*",224
"Common Ground High School District","=""2680013""","N",28,24,85.7,24,"*","*","*","*","*","*","*","*",7,29.2,"*","*",260
"Connecticut Technical High School System","=""9000016""","Y",1299,1295,99.7,1294,145,11.2,285,22.0,593,45.8,158,12.2,113,8.7,271,20.9,234
"Connecticut Technical High School System","=""9000016""","N",1387,1385,99.9,1383,60,4.3,169,12.2,639,46.2,297,21.5,218,15.8,515,37.2,254
"Cooperative Educational Services","=""2430014""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","N",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Y",15,15,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","N",101,100,99.0,100,"*","*","*","*",24,24.0,17,17.0,48,48.0,65,65.0,287
"Cromwell School District","=""0330011""","Y",21,21,100.0,21,"*","*","*","*",9,42.9,"*","*","*","*","*","*",221
"Cromwell School District","=""0330011""","N",126,125,99.2,125,"*","*","*","*",49,39.2,"*","*","*","*","*","*",272
"Danbury School District","=""0340011""","Y",330,326,98.8,325,90,27.7,69,21.2,115,35.4,40,12.3,11,3.4,51,15.7,218
"Danbury School District","=""0340011""","N",399,389,97.5,389,65,16.7,63,16.2,125,32.1,81,20.8,55,14.1,136,35.0,242
"Darien School District","=""0350011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","N",346,331,95.7,330,"*","*","*","*","*","*","*","*","*","*","*","*",297
"Derby School District","=""0370011""","Y",36,36,100.0,36,"*","*",7,19.4,14,38.9,"*","*","*","*","*","*",222
"Derby School District","=""0370011""","N",44,42,95.5,42,"*","*",8,19.0,10,23.8,"*","*","*","*","*","*",251
