"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, Race/Ethnicity"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Race/Ethnicity","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Black or African American",105,104,99.0,104,34,32.7,22,21.2,28,26.9,20,19.2,0,0.0,20,19.2,206
"Achievement First Hartford Academy Inc. District","=""2880013""","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Black or African American",60,60,100.0,60,"*","*",20,33.3,16,26.7,13,21.7,"*","*","*","*",218
"Amistad Academy District","=""2790013""","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","White","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","White",41,40,97.6,40,0,0.0,"*","*","*","*",18,45.0,18,45.0,36,90.0,296
"Andover School District","=""0010011""","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Black or African American",28,28,100.0,28,10,35.7,9,32.1,"*","*","*","*",0,0.0,"*","*",197
"Ansonia School District","=""0020011""","Hispanic/Latino of any race",59,59,100.0,59,"*","*",11,18.6,23,39.0,13,22.0,"*","*","*","*",223
"Ansonia School District","=""0020011""","White",93,92,98.9,92,"*","*",15,16.3,28,30.4,32,34.8,"*","*","*","*",235
"Ansonia School District","=""0020011""","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Black or African American",42,41,97.6,41,10,24.4,12,29.3,13,31.7,6,14.6,0,0.0,6,14.6,211
"Area Cooperative Educational Services","=""2440014""","Hispanic/Latino of any race",28,26,92.9,26,8,30.8,7,26.9,"*","*","*","*","*","*","*","*",213
"Area Cooperative Educational Services","=""2440014""","White",23,23,100.0,23,"*","*","*","*","*","*",14,60.9,"*","*","*","*",252
"Area Cooperative Educational Services","=""2440014""","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Black or African American","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","White",35,35,100.0,35,"*","*",0,0.0,"*","*",17,48.6,14,40.0,31,88.6,287
"Avon School District","=""0040011""","Asian",36,36,100.0,36,0,0.0,"*","*","*","*",11,30.6,18,50.0,29,80.6,292
"Avon School District","=""0040011""","Black or African American",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Hispanic/Latino of any race",27,27,100.0,27,"*","*","*","*","*","*",9,33.3,7,25.9,16,59.3,258
"Avon School District","=""0040011""","White",188,188,100.0,188,0,0.0,8,4.3,14,7.4,94,50.0,72,38.3,166,88.3,286
"Avon School District","=""0040011""","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","American Indian or Alaska Native","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","White",47,45,95.7,45,"*","*","*","*",7,15.6,25,55.6,8,17.8,33,73.3,270
"Berlin School District","=""0070011""","Asian",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Black or African American","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Hispanic/Latino of any race",23,23,100.0,23,"*","*",6,26.1,"*","*",10,43.5,"*","*","*","*",241
"Berlin School District","=""0070011""","White",215,214,99.5,214,"*","*","*","*",41,19.2,104,48.6,54,25.2,158,73.8,272
"Berlin School District","=""0070011""","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","American Indian or Alaska Native","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Asian",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Black or African American","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","White",46,43,93.5,43,0,0.0,"*","*","*","*",24,55.8,13,30.2,37,86.0,283
"Bethel School District","=""0090011""","Asian",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Black or African American",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Hispanic/Latino of any race",36,36,100.0,36,"*","*","*","*",9,25.0,17,47.2,6,16.7,23,63.9,257
"Bethel School District","=""0090011""","White",154,153,99.4,153,0,0.0,"*","*","*","*",68,44.4,62,40.5,130,85.0,289
"Bethel School District","=""0090011""","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Black or African American",92,92,100.0,92,"*","*",19,20.7,33,35.9,27,29.3,"*","*","*","*",229
"Bloomfield School District","=""0110011""","Hispanic/Latino of any race",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","White","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Two or More Races",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Black or African American","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","White",58,56,96.6,56,"*","*","*","*","*","*",25,44.6,21,37.5,46,82.1,280
"Bolton School District","=""0120011""","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Black or African American","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","White",25,25,100.0,25,0,0.0,0,0.0,"*","*",16,64.0,"*","*","*","*",280
"Branford School District","=""0140011""","Asian",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Black or African American","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Hispanic/Latino of any race",35,35,100.0,35,"*","*",8,22.9,6,17.1,16,45.7,"*","*","*","*",245
"Branford School District","=""0140011""","White",170,169,99.4,169,"*","*","*","*",37,21.9,80,47.3,34,20.1,114,67.5,265
"Branford School District","=""0140011""","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Black or African American",50,50,100.0,50,13,26.0,18,36.0,11,22.0,"*","*","*","*",8,16.0,208
"Bridgeport Achievement First District","=""2850013""","Hispanic/Latino of any race",39,38,97.4,38,6,15.8,11,28.9,11,28.9,10,26.3,0,0.0,10,26.3,220
