"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Special Education Status (SW"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","Special Education Status (SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",229,225,98.3,225,52,23.1,50,22.2,63,28.0,51,22.7,9,4.0,60,26.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",24,23,95.8,23,16,69.6,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Amistad Academy District","=""2790013""","N",218,218,100.0,218,29,13.3,50,22.9,78,35.8,55,25.2,6,2.8,61,28.0
"Amistad Academy District","=""2790013""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",452,448,99.1,448,83,18.5,83,18.5,156,34.8,107,23.9,19,4.2,126,28.1
"Ansonia School District","=""0020011""","Y",85,83,97.6,82,51,62.2,15,18.3,13,15.9,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N",320,320,100.0,320,46,14.4,54,16.9,84,26.3,117,36.6,19,5.9,136,42.5
"Area Cooperative Educational Services","=""2440014""","Y",125,111,88.8,107,78,72.9,14,13.1,8,7.5,"*","*","*","*",7,6.5
"Ashford School District","=""0030011""","N",69,69,100.0,69,0,0.0,"*","*","*","*",43,62.3,17,24.6,60,87.0
"Ashford School District","=""0030011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",761,757,99.5,756,10,1.3,18,2.4,88,11.6,314,41.5,326,43.1,640,84.7
