"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, All Students"

"",,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Amistad Academy District","=""2790013""",95,95,100.0,95,"*","*",27,28.4,26,27.4,25,26.3,"*","*","*","*",221
"Andover School District","=""0010011""",44,43,97.7,43,0,0.0,"*","*","*","*",20,46.5,19,44.2,39,90.7,296
"Ansonia School District","=""0020011""",185,184,99.5,184,32,17.4,36,19.6,60,32.6,49,26.6,7,3.8,56,30.4,226
"Area Cooperative Educational Services","=""2440014""",98,95,96.9,95,"*","*",23,24.2,24,25.3,26,27.4,"*","*","*","*",221
"Ashford School District","=""0030011""",39,39,100.0,39,"*","*",0,0.0,"*","*",19,48.7,15,38.5,34,87.2,285
"Avon School District","=""0040011""",273,273,100.0,273,"*","*","*","*",30,11.0,123,45.1,101,37.0,224,82.1,281
"Barkhamsted School District","=""0050011""",47,45,95.7,45,"*","*","*","*",7,15.6,25,55.6,8,17.8,33,73.3,270
"Berlin School District","=""0070011""",249,248,99.6,248,"*","*","*","*",49,19.8,120,48.4,57,23.0,177,71.4,269
"Bethany School District","=""0080011""",60,57,95.0,57,0,0.0,"*","*","*","*",30,52.6,19,33.3,49,86.0,286
"Bethel School District","=""0090011""",213,212,99.5,212,"*","*","*","*",29,13.7,91,42.9,79,37.3,170,80.2,283
"Bloomfield School District","=""0110011""",124,124,100.0,124,"*","*",25,20.2,44,35.5,37,29.8,"*","*","*","*",229
"Bolton School District","=""0120011""",69,67,97.1,67,7,10.4,"*","*","*","*",30,44.8,23,34.3,53,79.1,275
"Bozrah School District","=""0130011""",29,29,100.0,29,0,0.0,0,0.0,"*","*",20,69.0,"*","*","*","*",279
"Branford School District","=""0140011""",224,223,99.6,223,8,3.6,21,9.4,50,22.4,106,47.5,38,17.0,144,64.6,261
"Bridgeport Achievement First District","=""2850013""",91,90,98.9,90,19,21.1,29,32.2,23,25.6,"*","*","*","*",19,21.1,214
"Bridgeport School District","=""0150011""",1566,1557,99.4,1557,454,29.2,407,26.1,391,25.1,268,17.2,37,2.4,305,19.6,210
"Bristol School District","=""0170011""",646,644,99.7,644,43,6.7,79,12.3,131,20.3,298,46.3,93,14.4,391,60.7,255
"Brookfield School District","=""0180011""",191,188,98.4,188,7,3.7,8,4.3,20,10.6,81,43.1,72,38.3,153,81.4,284
"Brooklyn School District","=""0190011""",102,102,100.0,102,"*","*","*","*",17,16.7,47,46.1,30,29.4,77,75.5,277
"Canaan School District","=""0210011""",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",53,52,98.1,52,"*","*","*","*",9,17.3,26,50.0,9,17.3,35,67.3,260
"Canton School District","=""0230011""",137,137,100.0,137,"*","*","*","*",12,8.8,56,40.9,55,40.1,111,81.0,284
"Capitol Region Education Council","=""2410014""",319,314,98.4,314,31,9.9,52,16.6,75,23.9,117,37.3,39,12.4,156,49.7,245
"Chaplin School District","=""0240011""",22,22,100.0,22,"*","*","*","*",7,31.8,12,54.5,"*","*","*","*",254
"Cheshire School District","=""0250011""",347,346,99.7,346,"*","*","*","*",42,12.1,160,46.2,128,37.0,288,83.2,286
"Chester School District","=""0260011""",35,35,100.0,35,0,0.0,0,0.0,8,22.9,15,42.9,12,34.3,27,77.1,283
"Clinton School District","=""0270011""",176,176,100.0,176,"*","*","*","*",35,19.9,82,46.6,46,26.1,128,72.7,271
"Colchester School District","=""0280011""",202,201,99.5,201,"*","*","*","*",33,16.4,105,52.2,52,25.9,157,78.1,279
"Colebrook School District","=""0290011""",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",57,57,100.0,57,"*","*","*","*",10,17.5,27,47.4,15,26.3,42,73.7,270
"Cooperative Educational Services","=""2430014""",52,52,100.0,52,11,21.2,"*","*","*","*",20,38.5,9,17.3,29,55.8,245
"Cornwall School District","=""0310011""",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",115,114,99.1,114,0,0.0,6,5.3,17,14.9,52,45.6,39,34.2,91,79.8,282
"Cromwell School District","=""0330011""",176,176,100.0,176,7,4.0,17,9.7,42,23.9,73,41.5,37,21.0,110,62.5,262
"Danbury School District","=""0340011""",867,859,99.1,859,100,11.6,159,18.5,221,25.7,295,34.3,84,9.8,379,44.1,239
"Darien School District","=""0350011""",356,354,99.4,354,"*","*","*","*",45,12.7,153,43.2,142,40.1,295,83.3,286
"Deep River School District","=""0360011""",44,44,100.0,44,0,0.0,"*","*","*","*",23,52.3,14,31.8,37,84.1,281
"Derby School District","=""0370011""",108,108,100.0,108,8,7.4,21,19.4,30,27.8,39,36.1,10,9.3,49,45.4,242
"East Granby School District","=""0400011""",73,73,100.0,73,"*","*","*","*",11,15.1,28,38.4,30,41.1,58,79.5,286
"East Haddam School District","=""0410011""",69,69,100.0,69,"*","*","*","*","*","*",33,47.8,27,39.1,60,87.0,285
"East Hampton School District","=""0420011""",134,130,97.0,130,"*","*","*","*",20,15.4,63,48.5,32,24.6,95,73.1,269
"East Hartford School District","=""0430011""",515,515,100.0,515,92,17.9,94,18.3,159,30.9,144,28.0,26,5.0,170,33.0,228
"East Haven School District","=""0440011""",205,205,100.0,205,14,6.8,21,10.2,60,29.3,87,42.4,23,11.2,110,53.7,250
"East Lyme School District","=""0450011""",206,205,99.5,205,"*","*","*","*",28,13.7,95,46.3,74,36.1,169,82.4,284
"East Windsor School District","=""0470011""",81,81,100.0,81,"*","*","*","*",18,22.2,33,40.7,24,29.6,57,70.4,272
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""",121,120,99.2,120,"*","*","*","*",8,6.7,54,45.0,51,42.5,105,87.5,290
"Education Connection","=""2420014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",217,217,100.0,217,"*","*","*","*",24,11.1,104,47.9,79,36.4,183,84.3,282
"Elm City College Preparatory School District","=""2890013""",69,69,100.0,69,19,27.5,16,23.2,16,23.2,18,26.1,0,0.0,18,26.1,213
"Enfield School District","=""0490011""",394,393,99.7,393,14,3.6,40,10.2,94,23.9,179,45.5,66,16.8,245,62.3,260
"Essex School District","=""0500011""",57,57,100.0,57,"*","*","*","*","*","*",27,47.4,24,42.1,51,89.5,289
"Fairfield School District","=""0510011""",768,765,99.6,765,19,2.5,32,4.2,100,13.1,335,43.8,279,36.5,614,80.3,282
"Farmington School District","=""0520011""",313,310,99.0,310,9,2.9,6,1.9,23,7.4,120,38.7,152,49.0,272,87.7,297
"Franklin School District","=""0530011""",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""",446,444,99.6,444,7,1.6,17,3.8,35,7.9,177,39.9,208,46.8,385,86.7,293
"Granby School District","=""0560011""",124,124,100.0,124,"*","*",6,4.8,"*","*",46,37.1,66,53.2,112,90.3,303
"Greenwich School District","=""0570011""",691,687,99.4,687,24,3.5,37,5.4,81,11.8,303,44.1,242,35.2,545,79.3,279
"Griswold School District","=""0580011""",125,125,100.0,125,"*","*","*","*",25,20.0,60,48.0,27,21.6,87,69.6,267
"Groton School District","=""0590011""",310,307,99.0,307,19,6.2,34,11.1,58,18.9,139,45.3,57,18.6,196,63.8,260
"Guilford School District","=""0600011""",294,293,99.7,293,10,3.4,20,6.8,42,14.3,152,51.9,69,23.5,221,75.4,269
"Hamden School District","=""0620011""",416,413,99.3,413,57,13.8,48,11.6,81,19.6,168,40.7,59,14.3,227,55.0,247
"Hampton School District","=""0630011""",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""",1469,1454,99.0,1454,372,25.6,299,20.6,344,23.7,354,24.3,85,5.8,439,30.2,221
"Hartland School District","=""0650011""",22,22,100.0,22,"*","*",0,0.0,"*","*",9,40.9,7,31.8,16,72.7,273
"Hebron School District","=""0670011""",107,107,100.0,107,"*","*","*","*",19,17.8,49,45.8,30,28.0,79,73.8,270
"Highville Charter School District","=""2860013""",40,40,100.0,40,13,32.5,9,22.5,10,25.0,"*","*","*","*",8,20.0,212
"Integrated Day Charter School District","=""2640013""",33,31,93.9,31,"*","*",10,32.3,"*","*",11,35.5,"*","*","*","*",234
"Jumoke Academy District","=""2610013""",76,76,100.0,76,16,21.1,"*","*",25,32.9,18,23.7,"*","*","*","*",220
"Kent School District","=""0680011""",27,27,100.0,27,0,0.0,0,0.0,"*","*",13,48.1,"*","*","*","*",298
"Killingly School District","=""0690011""",159,155,97.5,155,10,6.5,21,13.5,39,25.2,73,47.1,12,7.7,85,54.8,247
"Learn","=""2450014""",86,84,97.7,84,"*","*","*","*",13,15.5,46,54.8,15,17.9,61,72.6,266
"Lebanon School District","=""0710011""",63,62,98.4,62,"*","*","*","*",11,17.7,36,58.1,8,12.9,44,71.0,263
"Ledyard School District","=""0720011""",168,166,98.8,166,"*","*","*","*",25,15.1,75,45.2,54,32.5,129,77.7,280
"Lisbon School District","=""0730011""",45,45,100.0,45,"*","*","*","*",10,22.2,14,31.1,11,24.4,25,55.6,258
"Litchfield School District","=""0740011""",69,69,100.0,69,"*","*","*","*","*","*",23,33.3,40,58.0,63,91.3,302
"Madison School District","=""0760011""",204,196,96.1,196,"*","*","*","*",38,19.4,105,53.6,43,21.9,148,75.5,273
"Manchester School District","=""0770011""",475,470,98.9,470,69,14.7,83,17.7,106,22.6,165,35.1,47,10.0,212,45.1,238
"Mansfield School District","=""0780011""",139,136,97.8,136,7,5.1,9,6.6,19,14.0,57,41.9,44,32.4,101,74.3,274
"Marlborough School District","=""0790011""",91,91,100.0,91,"*","*","*","*",10,11.0,40,44.0,34,37.4,74,81.3,284
"Meriden School District","=""0800011""",642,638,99.4,638,104,16.3,129,20.2,167,26.2,200,31.3,38,6.0,238,37.3,230
"Middletown School District","=""0830011""",360,359,99.7,359,38,10.6,62,17.3,82,22.8,136,37.9,41,11.4,177,49.3,245
"Milford School District","=""0840011""",457,454,99.3,454,12,2.6,29,6.4,61,13.4,236,52.0,116,25.6,352,77.5,274
"Monroe School District","=""0850011""",227,227,100.0,227,"*","*","*","*",12,5.3,98,43.2,108,47.6,206,90.7,296
"Montville School District","=""0860011""",184,184,100.0,184,"*","*","*","*",36,19.6,89,48.4,39,21.2,128,69.6,268
"Naugatuck School District","=""0880011""",301,301,100.0,301,37,12.3,48,15.9,90,29.9,114,37.9,12,4.0,126,41.9,236
"New Beginnings Inc., Family Academy District","=""2800013""",45,45,100.0,45,12,26.7,"*","*",18,40.0,8,17.8,"*","*","*","*",221
"New Britain School District","=""0890011""",788,777,98.6,777,238,30.6,164,21.1,193,24.8,156,20.1,26,3.3,182,23.4,212
"New Canaan School District","=""0900011""",343,341,99.4,341,"*","*","*","*",27,7.9,133,39.0,174,51.0,307,90.0,300
"New Fairfield School District","=""0910011""",151,148,98.0,148,"*","*","*","*",35,23.6,68,45.9,33,22.3,101,68.2,265
"New Hartford School District","=""0920011""",68,68,100.0,68,"*","*","*","*",14,20.6,34,50.0,17,25.0,51,75.0,273
"New Haven School District","=""0930011""",1465,1459,99.6,1459,389,26.7,374,25.6,332,22.8,271,18.6,93,6.4,364,24.9,217
"New London School District","=""0950011""",280,277,98.9,277,50,18.1,60,21.7,57,20.6,78,28.2,32,11.6,110,39.7,233
"New Milford School District","=""0960011""",334,332,99.4,332,17,5.1,22,6.6,76,22.9,157,47.3,60,18.1,217,65.4,261
"Newington School District","=""0940011""",309,308,99.7,308,13,4.2,25,8.1,73,23.7,140,45.5,57,18.5,197,64.0,261
"Newtown School District","=""0970011""",340,339,99.7,339,6,1.8,21,6.2,53,15.6,200,59.0,59,17.4,259,76.4,269
"Norfolk School District","=""0980011""",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""",144,143,99.3,143,"*","*","*","*",31,21.7,74,51.7,19,13.3,93,65.0,259
"North Canaan School District","=""1000011""",20,20,100.0,20,0,0.0,"*","*","*","*",11,55.0,"*","*","*","*",264
