"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, Special Education Status (SWD)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Special Education Status (SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",131,127,96.9,127,23,18.1,25,19.7,54,42.5,14,11.0,11,8.7,25,19.7,230
"Ansonia School District","=""0020011""","Y",34,33,97.1,32,23,71.9,"*","*","*","*",0,0.0,0,0.0,0,0.0,179
"Area Cooperative Educational Services","=""2440014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Y",30,22,73.3,18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",261,260,99.6,259,"*","*","*","*",49,18.9,66,25.5,135,52.1,201,77.6,295
"Avon School District","=""0040011""","Y",26,25,96.2,25,"*","*","*","*",9,36.0,6,24.0,"*","*","*","*",234
"Berlin School District","=""0070011""","N",186,185,99.5,185,"*","*","*","*",61,33.0,48,25.9,69,37.3,117,63.2,279
"Berlin School District","=""0070011""","Y",29,27,93.1,27,"*","*",12,44.4,6,22.2,"*","*","*","*","*","*",217
"Bethel School District","=""0090011""","N",177,175,98.9,175,"*","*","*","*","*","*","*","*","*","*","*","*",285
"Bethel School District","=""0090011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","N",126,124,98.4,123,13,10.6,22,17.9,45,36.6,29,23.6,14,11.4,43,35.0,243
"Bloomfield School District","=""0110011""","Y",21,19,90.5,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",71,71,100.0,71,"*","*","*","*","*","*","*","*","*","*","*","*",278
"Bolton School District","=""0120011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","N",179,173,96.6,173,"*","*","*","*",60,34.7,47,27.2,59,34.1,106,61.3,278
"Branford School District","=""0140011""","Y",39,36,92.3,36,9,25.0,10,27.8,13,36.1,"*","*","*","*","*","*",217
"Bridgeport Achievement First District","=""2850013""","N",36,36,100.0,35,"*","*","*","*","*","*","*","*","*","*","*","*",202
"Bridgeport Achievement First District","=""2850013""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","N",1226,1081,88.2,1035,302,29.2,237,22.9,297,28.7,114,11.0,85,8.2,199,19.2,221
"Bridgeport School District","=""0150011""","Y",242,193,79.8,182,137,75.3,26,14.3,14,7.7,"*","*","*","*","*","*",180
"Bristol School District","=""0170011""","N",468,456,97.4,456,21,4.6,40,8.8,171,37.5,115,25.2,109,23.9,224,49.1,264
"Bristol School District","=""0170011""","Y",92,85,92.4,85,34,40.0,23,27.1,26,30.6,"*","*","*","*","*","*",203
"Brookfield School District","=""0180011""","N",202,200,99.0,200,0,0.0,"*","*","*","*",60,30.0,83,41.5,143,71.5,289
"Brookfield School District","=""0180011""","Y",22,20,90.9,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",108,106,98.1,106,"*","*",0,0.0,"*","*","*","*","*","*","*","*",304
"Canton School District","=""0230011""","Y",18,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","N",526,511,97.1,508,54,10.6,101,19.9,183,36.0,82,16.1,88,17.3,170,33.5,247
"Capitol Region Education Council","=""2410014""","Y",107,94,87.9,90,53,58.9,28,31.1,7,7.8,"*","*","*","*","*","*",186
"Cheshire School District","=""0250011""","N",302,301,99.7,300,0,0.0,6,2.0,74,24.7,100,33.3,120,40.0,220,73.3,288
"Cheshire School District","=""0250011""","Y",43,39,90.7,37,"*","*",6,16.2,15,40.5,8,21.6,"*","*","*","*",239
"Clinton School District","=""0270011""","N",121,119,98.3,119,"*","*","*","*","*","*","*","*","*","*","*","*",272
"Clinton School District","=""0270011""","Y",11,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","N",197,195,99.0,195,"*","*","*","*",51,26.2,46,23.6,86,44.1,132,67.7,283
"Colchester School District","=""0280011""","Y",24,23,95.8,22,"*","*","*","*",6,27.3,"*","*","*","*","*","*",218
"Columbia School District","=""0300011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","N",39,35,89.7,35,"*","*","*","*","*","*","*","*","*","*","*","*",245
"Common Ground High School District","=""2680013""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","N",2424,2419,99.8,2417,162,6.7,382,15.8,1135,47.0,423,17.5,315,13.0,738,30.5,246
"Connecticut Technical High School System","=""9000016""","Y",262,261,99.6,260,43,16.5,72,27.7,97,37.3,32,12.3,16,6.2,48,18.5,229
"Cooperative Educational Services","=""2430014""","Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","N",93,92,98.9,92,0,0.0,"*","*",23,25.0,"*","*",49,53.3,"*","*",298
"Coventry School District","=""0320011""","Y",23,23,100.0,22,6,27.3,"*","*",11,50.0,0,0.0,"*","*","*","*",223
"Cromwell School District","=""0330011""","N",132,132,100.0,132,"*","*","*","*","*","*","*","*","*","*","*","*",271
"Cromwell School District","=""0330011""","Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","N",643,634,98.6,634,111,17.5,107,16.9,231,36.4,119,18.8,66,10.4,185,29.2,236
"Danbury School District","=""0340011""","Y",86,81,94.2,80,44,55.0,25,31.3,"*","*","*","*",0,0.0,"*","*",189
"Darien School District","=""0350011""","N",295,291,98.6,291,0,0.0,"*","*","*","*",79,27.1,167,57.4,246,84.5,304
"Darien School District","=""0350011""","Y",57,46,80.7,45,"*","*","*","*",20,44.4,11,24.4,"*","*","*","*",249
