"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, English Learner Status (EL)"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Grade","English Learner Status (EL)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"N",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"N",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*","*","*",237
"Amistad Academy District","=""2790013""",08,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"N",44,43,97.7,43,0,0.0,"*","*","*","*",20,46.5,19,44.2,39,90.7,296
"Ansonia School District","=""0020011""",05,"N",182,181,99.5,181,29,16.0,36,19.9,60,33.1,49,27.1,7,3.9,56,30.9,227
"Ansonia School District","=""0020011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",08,"N",183,183,100.0,183,"*","*","*","*","*","*","*","*","*","*","*","*",223
"Ansonia School District","=""0020011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",10,"N",161,156,96.9,155,"*","*","*","*","*","*","*","*","*","*","*","*",221
"Ansonia School District","=""0020011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",05,"N",98,95,96.9,95,"*","*",23,24.2,24,25.3,26,27.4,"*","*","*","*",221
"Area Cooperative Educational Services","=""2440014""",08,"N",302,299,99.0,299,79,26.4,40,13.4,65,21.7,97,32.4,18,6.0,115,38.5,232
"Area Cooperative Educational Services","=""2440014""",08,"Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",10,"N",31,23,74.2,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"N",39,39,100.0,39,"*","*",0,0.0,"*","*",19,48.7,15,38.5,34,87.2,285
"Ashford School District","=""0030011""",08,"N",36,36,100.0,36,"*","*","*","*","*","*",24,66.7,"*","*","*","*",260
"Avon School District","=""0040011""",05,"N",265,265,100.0,265,"*","*","*","*","*","*","*","*","*","*","*","*",283
"Avon School District","=""0040011""",05,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",10,"N",284,282,99.3,281,"*","*","*","*","*","*","*","*","*","*","*","*",291
"Avon School District","=""0040011""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",05,"N",47,45,95.7,45,"*","*","*","*",7,15.6,25,55.6,8,17.8,33,73.3,270
"Berlin School District","=""0070011""",05,"N",244,243,99.6,243,"*","*","*","*",46,18.9,120,49.4,57,23.5,177,72.8,270
