"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, Free/Reduced Price Meal Eligibility (2-l"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Amistad Academy District","=""2790013""","Y",64,64,100.0,64,"*","*","*","*","*","*","*","*","*","*","*","*",229
"Amistad Academy District","=""2790013""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",138,138,100.0,138,45,32.6,28,20.3,37,26.8,28,20.3,0,0.0,28,20.3,217
"Ansonia School District","=""0020011""","N",49,49,100.0,49,11,22.4,"*","*",14,28.6,18,36.7,"*","*","*","*",236
"Area Cooperative Educational Services","=""2440014""","Y",196,193,98.5,193,71,36.8,33,17.1,42,21.8,41,21.2,6,3.1,47,24.4,218
"Area Cooperative Educational Services","=""2440014""","N",120,120,100.0,120,18,15.0,9,7.5,25,20.8,56,46.7,12,10.0,68,56.7,248
"Ashford School District","=""0030011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",261,258,98.9,258,"*","*","*","*","*","*","*","*","*","*","*","*",279
"Berlin School District","=""0070011""","Y",32,32,100.0,32,6,18.8,"*","*",8,25.0,14,43.8,"*","*","*","*",237
"Berlin School District","=""0070011""","N",184,184,100.0,184,6,3.3,"*","*",19,10.3,97,52.7,"*","*","*","*",275
"Bethel School District","=""0090011""","Y",56,55,98.2,55,6,10.9,0,0.0,14,25.5,29,52.7,6,10.9,35,63.6,254
"Bethel School District","=""0090011""","N",160,159,99.4,159,"*","*","*","*",27,17.0,87,54.7,34,21.4,121,76.1,270
"Bloomfield School District","=""0110011""","Y",60,60,100.0,60,21,35.0,"*","*",12,20.0,18,30.0,"*","*","*","*",231
"Bloomfield School District","=""0110011""","N",69,69,100.0,69,"*","*",8,11.6,20,29.0,30,43.5,"*","*","*","*",250
"Bolton School District","=""0120011""","Y",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",39,39,100.0,39,0,0.0,"*","*","*","*",19,48.7,11,28.2,30,76.9,274
"Bozrah School District","=""0130011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Y",55,53,96.4,53,6,11.3,"*","*",9,17.0,30,56.6,"*","*","*","*",246
"Branford School District","=""0140011""","N",186,185,99.5,185,10,5.4,11,5.9,25,13.5,99,53.5,40,21.6,139,75.1,270
"Bridgeport Achievement First District","=""2850013""","Y",77,76,98.7,76,"*","*","*","*","*","*","*","*","*","*","*","*",230
"Bridgeport Achievement First District","=""2850013""","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Y",1451,1425,98.2,1425,"*","*","*","*","*","*","*","*","*","*","*","*",211
"Bridgeport School District","=""0150011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Y",261,253,96.9,253,45,17.8,28,11.1,56,22.1,107,42.3,17,6.7,124,49.0,241
"Bristol School District","=""0170011""","N",303,303,100.0,303,16,5.3,14,4.6,49,16.2,157,51.8,67,22.1,224,73.9,269
"Brookfield School District","=""0180011""","Y",24,24,100.0,24,"*","*",0,0.0,"*","*",14,58.3,"*","*","*","*",263
"Brookfield School District","=""0180011""","N",177,175,98.9,175,"*","*",8,4.6,"*","*",79,45.1,"*","*","*","*",279
"Brooklyn School District","=""0190011""","Y",37,35,94.6,35,"*","*","*","*","*","*",20,57.1,7,20.0,27,77.1,265
"Brooklyn School District","=""0190011""","N",71,71,100.0,71,"*","*","*","*","*","*",44,62.0,17,23.9,61,85.9,278
"Canaan School District","=""0210011""","N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N",46,46,100.0,46,"*","*","*","*","*","*","*","*","*","*","*","*",255
"Canton School District","=""0230011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",123,123,100.0,123,"*","*","*","*","*","*","*","*","*","*","*","*",276
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y",21,21,100.0,21,"*","*","*","*","*","*","*","*",0,0.0,"*","*",219
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Y",319,316,99.1,316,83,26.3,44,13.9,66,20.9,110,34.8,13,4.1,123,38.9,231
"Capitol Region Education Council","=""2410014""","N",330,328,99.4,328,14,4.3,26,7.9,46,14.0,150,45.7,92,28.0,242,73.8,271
"Cheshire School District","=""0250011""","Y",25,25,100.0,25,"*","*",6,24.0,"*","*",12,48.0,"*","*","*","*",245
"Cheshire School District","=""0250011""","N",330,327,99.1,327,"*","*",11,3.4,"*","*",176,53.8,"*","*","*","*",279
"Clinton School District","=""0270011""","Y",35,35,100.0,35,"*","*","*","*",12,34.3,13,37.1,"*","*","*","*",247
