"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, High Needs (F/R, EL or SWD)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Amistad Academy District","=""2790013""","Y",64,64,100.0,64,"*","*","*","*","*","*","*","*","*","*","*","*",229
"Amistad Academy District","=""2790013""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",148,148,100.0,148,50,33.8,"*","*",40,27.0,"*","*",0,0.0,"*","*",216
"Ansonia School District","=""0020011""","N",39,39,100.0,39,6,15.4,"*","*",11,28.2,18,46.2,"*","*","*","*",245
"Area Cooperative Educational Services","=""2440014""","Y",206,203,98.5,203,79,38.9,33,16.3,42,20.7,42,20.7,7,3.4,49,24.1,218
"Area Cooperative Educational Services","=""2440014""","N",110,110,100.0,110,10,9.1,9,8.2,25,22.7,55,50.0,11,10.0,66,60.0,252
"Ashford School District","=""0030011""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Y",42,42,100.0,42,"*","*","*","*",7,16.7,14,33.3,"*","*","*","*",237
"Avon School District","=""0040011""","N",233,230,98.7,230,"*","*","*","*",17,7.4,119,51.7,"*","*","*","*",286
"Berlin School District","=""0070011""","Y",54,54,100.0,54,12,22.2,"*","*",15,27.8,17,31.5,"*","*","*","*",230
"Berlin School District","=""0070011""","N",162,162,100.0,162,0,0.0,"*","*","*","*",94,58.0,52,32.1,146,90.1,283
"Bethel School District","=""0090011""","Y",71,69,97.2,69,12,17.4,"*","*",17,24.6,32,46.4,"*","*","*","*",247
"Bethel School District","=""0090011""","N",145,145,100.0,145,0,0.0,"*","*","*","*",84,57.9,34,23.4,118,81.4,276
"Bloomfield School District","=""0110011""","Y",64,64,100.0,64,23,35.9,"*","*",13,20.3,18,28.1,"*","*","*","*",229
"Bloomfield School District","=""0110011""","N",65,65,100.0,65,"*","*",7,10.8,19,29.2,30,46.2,"*","*","*","*",253
"Bolton School District","=""0120011""","Y",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",36,36,100.0,36,0,0.0,"*","*","*","*",18,50.0,11,30.6,29,80.6,276
"Bozrah School District","=""0130011""","Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Y",78,76,97.4,76,"*","*","*","*",13,17.1,36,47.4,"*","*","*","*",238
"Branford School District","=""0140011""","N",163,162,99.4,162,"*","*","*","*",21,13.0,93,57.4,40,24.7,133,82.1,277
"Bridgeport Achievement First District","=""2850013""","Y",80,79,98.8,79,"*","*","*","*","*","*","*","*","*","*","*","*",229
"Bridgeport Achievement First District","=""2850013""","N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Y",1452,1425,98.1,1425,637,44.7,241,16.9,244,17.1,274,19.2,29,2.0,303,21.3,211
"Bristol School District","=""0170011""","Y",294,286,97.3,286,57,19.9,32,11.2,61,21.3,117,40.9,19,6.6,136,47.6,239
"Bristol School District","=""0170011""","N",270,270,100.0,270,"*","*","*","*",44,16.3,147,54.4,65,24.1,212,78.5,274
"Brookfield School District","=""0180011""","Y",52,52,100.0,52,13,25.0,"*","*","*","*",23,44.2,"*","*","*","*",245
"Brookfield School District","=""0180011""","N",149,147,98.7,147,0,0.0,"*","*","*","*",70,47.6,"*","*","*","*",288
"Brooklyn School District","=""0190011""","Y",40,38,95.0,38,"*","*","*","*","*","*",21,55.3,7,18.4,28,73.7,261
"Brooklyn School District","=""0190011""","N",68,68,100.0,68,"*","*","*","*","*","*",43,63.2,17,25.0,60,88.2,281
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
