"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""",253,248,98.0,248,68,27.4,54,21.8,66,26.6,51,20.6,9,3.6,60,24.2
"Amistad Academy District","=""2790013""",235,235,100.0,235,43,18.3,53,22.6,78,33.2,55,23.4,6,2.6,61,26.0
"Andover School District","=""0010011""",44,43,97.7,43,0,0.0,"*","*","*","*",20,46.5,19,44.2,39,90.7
"Ansonia School District","=""0020011""",537,531,98.9,530,134,25.3,98,18.5,169,31.9,109,20.6,20,3.8,129,24.3
"Area Cooperative Educational Services","=""2440014""",445,431,96.9,427,124,29.0,68,15.9,92,21.5,123,28.8,20,4.7,143,33.5
"Ashford School District","=""0030011""",75,75,100.0,75,"*","*","*","*",8,10.7,43,57.3,17,22.7,60,80.0
"Avon School District","=""0040011""",835,830,99.4,829,24,2.9,38,4.6,112,13.5,328,39.6,327,39.4,655,79.0
"Barkhamsted School District","=""0050011""",47,45,95.7,45,"*","*","*","*",7,15.6,25,55.6,8,17.8,33,73.3
"Berlin School District","=""0070011""",680,676,99.4,676,22,3.3,47,7.0,143,21.2,282,41.7,182,26.9,464,68.6
"Bethany School District","=""0080011""",60,57,95.0,57,0,0.0,"*","*","*","*",30,52.6,19,33.3,49,86.0
"Bethel School District","=""0090011""",624,619,99.2,619,22,3.6,26,4.2,122,19.7,254,41.0,195,31.5,449,72.5
"Bloomfield School District","=""0110011""",400,396,99.0,395,62,15.7,65,16.5,124,31.4,115,29.1,29,7.3,144,36.5
"Bolton School District","=""0120011""",197,194,98.5,194,13,6.7,6,3.1,41,21.1,83,42.8,51,26.3,134,69.1
"Bozrah School District","=""0130011""",51,50,98.0,50,0,0.0,0,0.0,6,12.0,32,64.0,12,24.0,44,88.0
"Branford School District","=""0140011""",682,670,98.2,670,34,5.1,53,7.9,157,23.4,284,42.4,142,21.2,426,63.6
"Bridgeport Achievement First District","=""2850013""",224,222,99.1,221,55,24.9,59,26.7,56,25.3,43,19.5,8,3.6,51,23.1
"Bridgeport School District","=""0150011""",4484,4256,94.9,4199,1530,36.4,911,21.7,946,22.5,658,15.7,154,3.7,812,19.3
"Bristol School District","=""0170011""",1769,1741,98.4,1741,159,9.1,184,10.6,433,24.9,678,38.9,287,16.5,965,55.4
"Brookfield School District","=""0180011""",616,607,98.5,606,20,3.3,23,3.8,101,16.7,236,38.9,226,37.3,462,76.2
"Brooklyn School District","=""0190011""",211,209,99.1,209,6,2.9,11,5.3,27,12.9,111,53.1,54,25.8,165,78.9
"Canaan School District","=""0210011""",20,20,100.0,20,0,0.0,"*","*","*","*",15,75.0,"*","*","*","*"
"Canterbury School District","=""0220011""",116,115,99.1,115,"*","*","*","*",20,17.4,70,60.9,10,8.7,80,69.6
"Canton School District","=""0230011""",403,399,99.0,399,10,2.5,18,4.5,43,10.8,177,44.4,151,37.8,328,82.2
