"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, Gender"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",81,81,100.0,81,23,28.4,21,25.9,22,27.2,"*","*","*","*",15,18.5,208
"Achievement First Hartford Academy Inc. District","=""2880013""","M",65,64,98.5,64,19,29.7,15,23.4,18,28.1,"*","*","*","*",12,18.8,206
"Amistad Academy District","=""2790013""","F",48,48,100.0,48,"*","*",14,29.2,13,27.1,17,35.4,"*","*","*","*",230
"Amistad Academy District","=""2790013""","M",47,47,100.0,47,"*","*",13,27.7,13,27.7,8,17.0,"*","*","*","*",212
"Andover School District","=""0010011""","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","M",29,28,96.6,28,0,0.0,"*","*","*","*","*","*","*","*","*","*",298
"Ansonia School District","=""0020011""","F",98,98,100.0,98,"*","*",24,24.5,35,35.7,22,22.4,"*","*","*","*",226
"Ansonia School District","=""0020011""","M",87,86,98.9,86,18,20.9,"*","*",25,29.1,27,31.4,"*","*","*","*",225
"Area Cooperative Educational Services","=""2440014""","F",34,34,100.0,34,"*","*",8,23.5,9,26.5,11,32.4,"*","*","*","*",231
"Area Cooperative Educational Services","=""2440014""","M",64,61,95.3,61,"*","*",15,24.6,15,24.6,15,24.6,"*","*","*","*",216
"Ashford School District","=""0030011""","F",27,27,100.0,27,0,0.0,0,0.0,"*","*",15,55.6,"*","*","*","*",284
"Ashford School District","=""0030011""","M",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","F",146,146,100.0,146,"*","*","*","*",16,11.0,66,45.2,52,35.6,118,80.8,279
"Avon School District","=""0040011""","M",127,127,100.0,127,"*","*","*","*",14,11.0,57,44.9,49,38.6,106,83.5,284
"Barkhamsted School District","=""0050011""","F",23,22,95.7,22,0,0.0,"*","*","*","*",13,59.1,"*","*","*","*",274
"Barkhamsted School District","=""0050011""","M",24,23,95.8,23,"*","*","*","*","*","*",12,52.2,"*","*","*","*",266
"Berlin School District","=""0070011""","F",113,113,100.0,113,"*","*","*","*",24,21.2,61,54.0,20,17.7,81,71.7,268
"Berlin School District","=""0070011""","M",136,135,99.3,135,"*","*","*","*",25,18.5,59,43.7,37,27.4,96,71.1,270
"Bethany School District","=""0080011""","F",25,22,88.0,22,0,0.0,"*","*","*","*",11,50.0,9,40.9,20,90.9,292
"Bethany School District","=""0080011""","M",35,35,100.0,35,0,0.0,"*","*","*","*",19,54.3,10,28.6,29,82.9,283
"Bethel School District","=""0090011""","F",96,96,100.0,96,"*","*","*","*",18,18.8,37,38.5,38,39.6,75,78.1,283
"Bethel School District","=""0090011""","M",117,116,99.1,116,"*","*","*","*",11,9.5,54,46.6,41,35.3,95,81.9,283
"Bloomfield School District","=""0110011""","F",61,61,100.0,61,"*","*",11,18.0,21,34.4,19,31.1,"*","*","*","*",231
"Bloomfield School District","=""0110011""","M",63,63,100.0,63,"*","*",14,22.2,23,36.5,18,28.6,"*","*","*","*",228
"Bolton School District","=""0120011""","F",39,38,97.4,38,"*","*","*","*","*","*",18,47.4,11,28.9,29,76.3,271
"Bolton School District","=""0120011""","M",30,29,96.7,29,"*","*",0,0.0,"*","*",12,41.4,12,41.4,24,82.8,280
"Bozrah School District","=""0130011""","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","M",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","F",111,111,100.0,111,"*","*","*","*",18,16.2,53,47.7,25,22.5,78,70.3,264
"Branford School District","=""0140011""","M",113,112,99.1,112,"*","*","*","*",32,28.6,53,47.3,13,11.6,66,58.9,258
"Bridgeport Achievement First District","=""2850013""","F",49,49,100.0,49,12,24.5,12,24.5,12,24.5,"*","*","*","*",13,26.5,214
"Bridgeport Achievement First District","=""2850013""","M",42,41,97.6,41,7,17.1,17,41.5,11,26.8,"*","*","*","*",6,14.6,214
"Bridgeport School District","=""0150011""","F",786,782,99.5,782,213,27.2,207,26.5,207,26.5,136,17.4,19,2.4,155,19.8,212
"Bridgeport School District","=""0150011""","M",780,775,99.4,775,241,31.1,200,25.8,184,23.7,132,17.0,18,2.3,150,19.4,208
"Bristol School District","=""0170011""","F",329,329,100.0,329,18,5.5,32,9.7,74,22.5,165,50.2,40,12.2,205,62.3,257
"Bristol School District","=""0170011""","M",317,315,99.4,315,25,7.9,47,14.9,57,18.1,133,42.2,53,16.8,186,59.0,253
"Brookfield School District","=""0180011""","F",93,91,97.8,91,"*","*","*","*",12,13.2,40,44.0,32,35.2,72,79.1,280
"Brookfield School District","=""0180011""","M",98,97,99.0,97,"*","*","*","*",8,8.2,41,42.3,40,41.2,81,83.5,288
"Brooklyn School District","=""0190011""","F",56,56,100.0,56,0,0.0,"*","*","*","*",27,48.2,20,35.7,47,83.9,286
"Brooklyn School District","=""0190011""","M",46,46,100.0,46,"*","*","*","*",10,21.7,20,43.5,10,21.7,30,65.2,265
"Canaan School District","=""0210011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","F",20,20,100.0,20,0,0.0,0,0.0,"*","*",13,65.0,"*","*","*","*",271
"Canterbury School District","=""0220011""","M",33,32,97.0,32,"*","*","*","*","*","*",13,40.6,"*","*","*","*",253
"Canton School District","=""0230011""","F",58,58,100.0,58,"*","*","*","*","*","*",20,34.5,29,50.0,49,84.5,291
"Canton School District","=""0230011""","M",79,79,100.0,79,"*","*","*","*","*","*",36,45.6,26,32.9,62,78.5,279
"Capitol Region Education Council","=""2410014""","F",144,142,98.6,142,10,7.0,24,16.9,40,28.2,53,37.3,15,10.6,68,47.9,244
"Capitol Region Education Council","=""2410014""","M",175,172,98.3,172,21,12.2,28,16.3,35,20.3,64,37.2,24,14.0,88,51.2,245
"Chaplin School District","=""0240011""","F",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","M",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","F",189,188,99.5,188,"*","*","*","*",25,13.3,87,46.3,66,35.1,153,81.4,284
"Cheshire School District","=""0250011""","M",158,158,100.0,158,"*","*","*","*",17,10.8,73,46.2,62,39.2,135,85.4,287
"Chester School District","=""0260011""","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","M",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","F",88,88,100.0,88,"*","*","*","*",18,20.5,38,43.2,23,26.1,61,69.3,268
"Clinton School District","=""0270011""","M",88,88,100.0,88,"*","*","*","*",17,19.3,44,50.0,23,26.1,67,76.1,274
"Colchester School District","=""0280011""","F",98,98,100.0,98,"*","*","*","*",14,14.3,56,57.1,22,22.4,78,79.6,276
"Colchester School District","=""0280011""","M",104,103,99.0,103,"*","*","*","*",19,18.4,49,47.6,30,29.1,79,76.7,281
"Colebrook School District","=""0290011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","F",32,32,100.0,32,"*","*",0,0.0,"*","*",18,56.3,6,18.8,24,75.0,264
"Columbia School District","=""0300011""","M",25,25,100.0,25,0,0.0,"*","*","*","*",9,36.0,9,36.0,18,72.0,278
"Cooperative Educational Services","=""2430014""","F",24,24,100.0,24,"*","*","*","*","*","*",8,33.3,"*","*","*","*",253
"Cooperative Educational Services","=""2430014""","M",28,28,100.0,28,8,28.6,0,0.0,"*","*",12,42.9,"*","*","*","*",238
"Cornwall School District","=""0310011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","F",62,62,100.0,62,0,0.0,"*","*","*","*",29,46.8,20,32.3,49,79.0,280
"Coventry School District","=""0320011""","M",53,52,98.1,52,0,0.0,"*","*","*","*",23,44.2,19,36.5,42,80.8,284
"Cromwell School District","=""0330011""","F",91,91,100.0,91,"*","*","*","*",32,35.2,30,33.0,18,19.8,48,52.7,258
"Cromwell School District","=""0330011""","M",85,85,100.0,85,"*","*","*","*",10,11.8,43,50.6,19,22.4,62,72.9,266
"Danbury School District","=""0340011""","F",435,431,99.1,431,52,12.1,79,18.3,109,25.3,152,35.3,39,9.0,191,44.3,239
"Danbury School District","=""0340011""","M",432,428,99.1,428,48,11.2,80,18.7,112,26.2,143,33.4,45,10.5,188,43.9,240
"Darien School District","=""0350011""","F",175,173,98.9,173,0,0.0,"*","*","*","*",77,44.5,78,45.1,155,89.6,294
"Darien School District","=""0350011""","M",181,181,100.0,181,"*","*","*","*",29,16.0,76,42.0,64,35.4,140,77.3,278
"Deep River School District","=""0360011""","F",23,23,100.0,23,0,0.0,"*","*","*","*",10,43.5,11,47.8,21,91.3,294
"Deep River School District","=""0360011""","M",21,21,100.0,21,0,0.0,"*","*","*","*",13,61.9,"*","*","*","*",266
"Derby School District","=""0370011""","F",51,51,100.0,51,"*","*",14,27.5,17,33.3,15,29.4,"*","*","*","*",229
"Derby School District","=""0370011""","M",57,57,100.0,57,"*","*","*","*",13,22.8,24,42.1,9,15.8,33,57.9,254
"East Granby School District","=""0400011""","F",35,35,100.0,35,"*","*","*","*","*","*",11,31.4,16,45.7,27,77.1,286
"East Granby School District","=""0400011""","M",38,38,100.0,38,"*","*","*","*","*","*",17,44.7,14,36.8,31,81.6,286
"East Haddam School District","=""0410011""","F",35,35,100.0,35,"*","*","*","*","*","*",16,45.7,12,34.3,28,80.0,277
"East Haddam School District","=""0410011""","M",34,34,100.0,34,0,0.0,0,0.0,"*","*",17,50.0,"*","*","*","*",294
"East Hampton School District","=""0420011""","F",61,58,95.1,58,"*","*","*","*",8,13.8,26,44.8,19,32.8,45,77.6,276
"East Hampton School District","=""0420011""","M",73,72,98.6,72,"*","*","*","*",12,16.7,37,51.4,13,18.1,50,69.4,263
"East Hartford School District","=""0430011""","F",253,253,100.0,253,42,16.6,39,15.4,86,34.0,77,30.4,9,3.6,86,34.0,229
"East Hartford School District","=""0430011""","M",262,262,100.0,262,50,19.1,55,21.0,73,27.9,67,25.6,17,6.5,84,32.1,226
"East Haven School District","=""0440011""","F",110,110,100.0,110,7,6.4,14,12.7,31,28.2,47,42.7,11,10.0,58,52.7,249
"East Haven School District","=""0440011""","M",95,95,100.0,95,7,7.4,7,7.4,29,30.5,40,42.1,12,12.6,52,54.7,252
"East Lyme School District","=""0450011""","F",107,106,99.1,106,0,0.0,"*","*","*","*",50,47.2,38,35.8,88,83.0,284
"East Lyme School District","=""0450011""","M",99,99,100.0,99,"*","*","*","*",13,13.1,45,45.5,36,36.4,81,81.8,285
"East Windsor School District","=""0470011""","F",37,37,100.0,37,0,0.0,"*","*","*","*",15,40.5,10,27.0,25,67.6,268
"East Windsor School District","=""0470011""","M",44,44,100.0,44,"*","*","*","*",8,18.2,18,40.9,14,31.8,32,72.7,276
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","F",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","M",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","F",63,63,100.0,63,"*","*","*","*","*","*",31,49.2,22,34.9,53,84.1,284
"Easton School District","=""0460011""","M",58,57,98.3,57,0,0.0,"*","*","*","*",23,40.4,29,50.9,52,91.2,296
"Education Connection","=""2420014""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","F",104,104,100.0,104,"*","*","*","*",8,7.7,50,48.1,41,39.4,91,87.5,284
"Ellington School District","=""0480011""","M",113,113,100.0,113,"*","*","*","*",16,14.2,54,47.8,38,33.6,92,81.4,280
"Elm City College Preparatory School District","=""2890013""","F",38,38,100.0,38,"*","*",9,23.7,"*","*",9,23.7,0,0.0,9,23.7,218
"Elm City College Preparatory School District","=""2890013""","M",31,31,100.0,31,11,35.5,"*","*","*","*",9,29.0,0,0.0,9,29.0,208
"Enfield School District","=""0490011""","F",189,188,99.5,188,6,3.2,22,11.7,47,25.0,83,44.1,30,16.0,113,60.1,258
"Enfield School District","=""0490011""","M",205,205,100.0,205,8,3.9,18,8.8,47,22.9,96,46.8,36,17.6,132,64.4,262
"Essex School District","=""0500011""","F",31,31,100.0,31,"*","*","*","*","*","*",15,48.4,12,38.7,27,87.1,288
"Essex School District","=""0500011""","M",26,26,100.0,26,"*","*",0,0.0,"*","*",12,46.2,12,46.2,24,92.3,289
"Fairfield School District","=""0510011""","F",381,379,99.5,379,12,3.2,15,4.0,56,14.8,162,42.7,134,35.4,296,78.1,280
"Fairfield School District","=""0510011""","M",387,386,99.7,386,7,1.8,17,4.4,44,11.4,173,44.8,145,37.6,318,82.4,284
"Farmington School District","=""0520011""","F",148,148,100.0,148,"*","*","*","*",12,8.1,55,37.2,74,50.0,129,87.2,296
"Farmington School District","=""0520011""","M",165,162,98.2,162,"*","*","*","*",11,6.8,65,40.1,78,48.1,143,88.3,297
"Franklin School District","=""0530011""","F",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","M",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","F",233,232,99.6,232,"*","*","*","*",16,6.9,89,38.4,114,49.1,203,87.5,294
"Glastonbury School District","=""0540011""","M",213,212,99.5,212,"*","*","*","*",19,9.0,88,41.5,94,44.3,182,85.8,292
"Granby School District","=""0560011""","F",61,61,100.0,61,0,0.0,"*","*","*","*",17,27.9,38,62.3,55,90.2,309
"Granby School District","=""0560011""","M",63,63,100.0,63,"*","*","*","*","*","*",29,46.0,28,44.4,57,90.5,296
"Greenwich School District","=""0570011""","F",364,362,99.5,362,7,1.9,20,5.5,38,10.5,176,48.6,121,33.4,297,82.0,281
"Greenwich School District","=""0570011""","M",327,325,99.4,325,17,5.2,17,5.2,43,13.2,127,39.1,121,37.2,248,76.3,278
"Griswold School District","=""0580011""","F",65,65,100.0,65,"*","*","*","*",17,26.2,25,38.5,18,27.7,43,66.2,269
"Griswold School District","=""0580011""","M",60,60,100.0,60,"*","*","*","*",8,13.3,35,58.3,9,15.0,44,73.3,264
"Groton School District","=""0590011""","F",152,152,100.0,152,9,5.9,16,10.5,33,21.7,69,45.4,25,16.4,94,61.8,260
"Groton School District","=""0590011""","M",158,155,98.1,155,10,6.5,18,11.6,25,16.1,70,45.2,32,20.6,102,65.8,260
"Guilford School District","=""0600011""","F",146,145,99.3,145,"*","*","*","*",23,15.9,69,47.6,31,21.4,100,69.0,265
"Guilford School District","=""0600011""","M",148,148,100.0,148,"*","*","*","*",19,12.8,83,56.1,38,25.7,121,81.8,273
"Hamden School District","=""0620011""","F",190,187,98.4,187,19,10.2,28,15.0,35,18.7,75,40.1,30,16.0,105,56.1,252
"Hamden School District","=""0620011""","M",226,226,100.0,226,38,16.8,20,8.8,46,20.4,93,41.2,29,12.8,122,54.0,243
"Hampton School District","=""0630011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
