"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, High Needs (F/R, EL or SWD)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""","Y",48,48,100.0,48,"*","*","*","*","*","*","*","*","*","*","*","*",212
"Amistad Academy District","=""2790013""","N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",124,121,97.6,120,43,35.8,24,20.0,43,35.8,"*","*","*","*",10,8.3,208
"Ansonia School District","=""0020011""","N",41,39,95.1,39,"*","*","*","*",15,38.5,7,17.9,8,20.5,15,38.5,255
"Area Cooperative Educational Services","=""2440014""","Y",30,22,73.3,18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Y",41,40,97.6,40,"*","*","*","*",16,40.0,8,20.0,"*","*","*","*",240
"Avon School District","=""0040011""","N",246,245,99.6,244,"*","*","*","*",42,17.2,64,26.2,132,54.1,196,80.3,298
"Berlin School District","=""0070011""","Y",53,51,96.2,51,"*","*","*","*",17,33.3,9,17.6,6,11.8,15,29.4,237
"Berlin School District","=""0070011""","N",162,161,99.4,161,0,0.0,"*","*",50,31.1,"*","*",64,39.8,"*","*",282
"Bethel School District","=""0090011""","Y",49,48,98.0,48,"*","*","*","*",16,33.3,11,22.9,10,20.8,21,43.8,254
"Bethel School District","=""0090011""","N",146,145,99.3,145,"*","*","*","*",36,24.8,36,24.8,66,45.5,102,70.3,288
"Bloomfield School District","=""0110011""","Y",78,74,94.9,73,16,21.9,16,21.9,29,39.7,"*","*","*","*",12,16.4,224
"Bloomfield School District","=""0110011""","N",69,69,100.0,69,6,8.7,12,17.4,19,27.5,22,31.9,10,14.5,32,46.4,252
"Bolton School District","=""0120011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",60,60,100.0,60,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",281
