"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Free/Reduced Price Meal Elig"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",253,248,98.0,248,68,27.4,54,21.8,66,26.6,51,20.6,9,3.6,60,24.2
"Amistad Academy District","=""2790013""","F",160,160,100.0,160,37,23.1,43,26.9,49,30.6,"*","*","*","*",31,19.4
"Amistad Academy District","=""2790013""","N",44,44,100.0,44,"*","*","*","*",15,34.1,17,38.6,"*","*","*","*"
"Amistad Academy District","=""2790013""","R",31,31,100.0,31,"*","*","*","*",14,45.2,10,32.3,0,0.0,10,32.3
"Andover School District","=""0010011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","F",320,317,99.1,317,95,30.0,67,21.1,105,33.1,43,13.6,7,2.2,50,15.8
"Ansonia School District","=""0020011""","N",157,155,98.7,154,29,18.8,18,11.7,43,27.9,51,33.1,13,8.4,64,41.6
"Ansonia School District","=""0020011""","R",60,59,98.3,59,10,16.9,13,22.0,21,35.6,15,25.4,0,0.0,15,25.4
"Area Cooperative Educational Services","=""2440014""","F",255,245,96.1,241,94,39.0,50,20.7,49,20.3,41,17.0,7,2.9,48,19.9
"Area Cooperative Educational Services","=""2440014""","N",156,153,98.1,153,22,14.4,15,9.8,33,21.6,70,45.8,13,8.5,83,54.2
"Area Cooperative Educational Services","=""2440014""","R",34,33,97.1,33,"*","*","*","*",10,30.3,12,36.4,0,0.0,12,36.4
"Ashford School District","=""0030011""","F",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",46,46,100.0,46,0,0.0,0,0.0,"*","*",29,63.0,"*","*","*","*"
"Ashford School District","=""0030011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","F",36,36,100.0,36,"*","*",7,19.4,8,22.2,11,30.6,"*","*","*","*"
"Avon School District","=""0040011""","N",787,782,99.4,781,17,2.2,31,4.0,102,13.1,312,39.9,319,40.8,631,80.8
"Avon School District","=""0040011""","R",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",44,42,95.5,42,"*","*","*","*",6,14.3,24,57.1,8,19.0,32,76.2
"Barkhamsted School District","=""0050011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","F",80,79,98.8,79,"*","*",13,16.5,25,31.6,26,32.9,"*","*","*","*"
"Berlin School District","=""0070011""","N",580,577,99.5,577,11,1.9,32,5.5,113,19.6,247,42.8,174,30.2,421,73.0
"Berlin School District","=""0070011""","R",20,20,100.0,20,"*","*","*","*","*","*",9,45.0,"*","*","*","*"
"Bethany School District","=""0080011""","F",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",53,50,94.3,50,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","F",88,86,97.7,86,"*","*","*","*",24,27.9,32,37.2,16,18.6,48,55.8
"Bethel School District","=""0090011""","N",480,477,99.4,477,11,2.3,20,4.2,85,17.8,194,40.7,167,35.0,361,75.7
"Bethel School District","=""0090011""","R",56,56,100.0,56,"*","*","*","*",13,23.2,28,50.0,12,21.4,40,71.4
"Bloomfield School District","=""0110011""","F",157,153,97.5,153,37,24.2,26,17.0,49,32.0,34,22.2,7,4.6,41,26.8
"Bloomfield School District","=""0110011""","N",203,203,100.0,203,16,7.9,31,15.3,63,31.0,73,36.0,20,9.9,93,45.8
"Bloomfield School District","=""0110011""","R",40,40,100.0,39,9,23.1,"*","*",12,30.8,8,20.5,"*","*","*","*"
"Bolton School District","=""0120011""","F",32,31,96.9,31,7,22.6,"*","*",6,19.4,12,38.7,"*","*","*","*"
"Bolton School District","=""0120011""","N",161,159,98.8,159,"*","*","*","*",35,22.0,68,42.8,47,29.6,115,72.3
"Bolton School District","=""0120011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","F",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N",42,41,97.6,41,0,0.0,0,0.0,"*","*",26,63.4,"*","*","*","*"
"Bozrah School District","=""0130011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","F",137,133,97.1,133,12,9.0,18,13.5,37,27.8,55,41.4,11,8.3,66,49.6
"Branford School District","=""0140011""","N",514,506,98.4,506,20,4.0,34,6.7,107,21.1,219,43.3,126,24.9,345,68.2
"Branford School District","=""0140011""","R",32,31,96.9,31,"*","*","*","*",13,41.9,10,32.3,"*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","F",160,159,99.4,159,41,25.8,43,27.0,42,26.4,"*","*","*","*",33,20.8
"Bridgeport Achievement First District","=""2850013""","N",40,40,100.0,40,"*","*",9,22.5,11,27.5,10,25.0,"*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","R",24,23,95.8,22,6,27.3,7,31.8,"*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","F",4483,4256,94.9,4199,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","F",656,637,97.1,637,108,17.0,98,15.4,173,27.2,207,32.5,51,8.0,258,40.5
"Bristol School District","=""0170011""","N",990,981,99.1,981,48,4.9,71,7.2,229,23.3,414,42.2,219,22.3,633,64.5
"Bristol School District","=""0170011""","R",124,123,99.2,123,"*","*","*","*",31,25.2,57,46.3,17,13.8,74,60.2
"Brookfield School District","=""0180011""","F",40,40,100.0,40,"*","*","*","*",12,30.0,16,40.0,7,17.5,23,57.5
"Brookfield School District","=""0180011""","N",557,548,98.4,547,16,2.9,18,3.3,89,16.3,208,38.0,216,39.5,424,77.5
"Brookfield School District","=""0180011""","R",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","F",51,49,96.1,49,"*","*","*","*",7,14.3,25,51.0,9,18.4,34,69.4
"Brooklyn School District","=""0190011""","N",149,149,100.0,149,"*","*","*","*",17,11.4,80,53.7,43,28.9,123,82.6
"Brooklyn School District","=""0190011""","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","F",27,27,100.0,27,"*","*","*","*","*","*",19,70.4,"*","*","*","*"
"Canterbury School District","=""0220011""","N",81,80,98.8,80,"*","*","*","*",15,18.8,48,60.0,7,8.8,55,68.8
"Canterbury School District","=""0220011""","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","F",39,37,94.9,37,"*","*",7,18.9,"*","*",14,37.8,7,18.9,21,56.8
"Canton School District","=""0230011""","N",354,353,99.7,353,7,2.0,10,2.8,37,10.5,157,44.5,142,40.2,299,84.7
"Canton School District","=""0230011""","R",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","F",34,33,97.1,33,12,36.4,7,21.2,7,21.2,7,21.2,0,0.0,7,21.2
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",35,35,100.0,35,"*","*",13,37.1,9,25.7,"*","*",0,0.0,"*","*"
