"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, Free/Reduced Price Meal Eligibility (3-"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""","F",39,39,100.0,39,10,25.6,14,35.9,13,33.3,"*","*","*","*","*","*",211
"Amistad Academy District","=""2790013""","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","F",198,192,193.9,192,74,77.1,38,39.6,62,64.6,"*","*","*","*",9,9.4,414
"Ansonia School District","=""0020011""","N",49,47,95.9,46,"*","*","*","*","*","*",7,15.2,8,17.4,15,32.6,246
"Ansonia School District","=""0020011""","R",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","F",26,21,80.8,17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",272,270,99.3,269,"*","*","*","*",53,19.7,70,26.0,133,49.4,203,75.5,292
"Avon School District","=""0040011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","F",28,27,96.4,27,"*","*","*","*","*","*","*","*","*","*","*","*",243
"Berlin School District","=""0070011""","N",181,179,98.9,179,"*","*","*","*",54,30.2,44,24.6,65,36.3,109,60.9,275
"Berlin School District","=""0070011""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","F",22,21,95.5,21,"*","*","*","*","*","*","*","*","*","*","*","*",254
"Bethel School District","=""0090011""","N",158,157,99.4,157,"*","*","*","*",40,25.5,37,23.6,67,42.7,104,66.2,283
"Bethel School District","=""0090011""","R",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","F",57,53,93.0,53,14,26.4,10,18.9,19,35.8,"*","*","*","*",10,18.9,224
"Bloomfield School District","=""0110011""","N",75,75,100.0,75,6,8.0,14,18.7,22,29.3,23,30.7,10,13.3,33,44.0,250
"Bloomfield School District","=""0110011""","R",15,15,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",63,63,100.0,63,0,0.0,"*","*",23,36.5,23,36.5,"*","*","*","*",279
"Bolton School District","=""0120011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","F",43,41,95.3,41,"*","*","*","*",16,39.0,10,24.4,6,14.6,16,39.0,251
"Branford School District","=""0140011""","N",164,158,96.3,158,7,4.4,10,6.3,51,32.3,38,24.1,52,32.9,90,57.0,271
"Branford School District","=""0140011""","R",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","F",30,30,100.0,30,11,36.7,7,23.3,9,30.0,"*","*","*","*","*","*",205
"Bridgeport Achievement First District","=""2850013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","F",1467,1274,86.8,1217,439,36.1,263,21.6,311,25.6,116,9.5,88,7.2,204,16.8,215
"Bristol School District","=""0170011""","F",175,164,93.7,164,36,22.0,29,17.7,62,37.8,18,11.0,19,11.6,37,22.6,231
"Bristol School District","=""0170011""","N",352,344,97.7,344,19,5.5,24,7.0,125,36.3,89,25.9,87,25.3,176,51.2,266
"Bristol School District","=""0170011""","R",33,33,100.0,33,0,0.0,10,30.3,10,30.3,"*","*","*","*",13,39.4,249
"Brookfield School District","=""0180011""","F",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","N",206,202,98.1,201,0,0.0,"*","*",59,29.4,"*","*",81,40.3,"*","*",286
"Brookfield School District","=""0180011""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",108,107,99.1,107,"*","*","*","*",13,12.1,34,31.8,57,53.3,91,85.0,300
"Canton School District","=""0230011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
