"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, English Learner Status (EL)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","English Learner Status (EL)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",251,246,98.0,246,66,26.8,54,22.0,66,26.8,51,20.7,9,3.7,60,24.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N",224,224,100.0,224,39,17.4,49,21.9,76,33.9,54,24.1,6,2.7,60,26.8
"Amistad Academy District","=""2790013""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N",44,43,97.7,43,0,0.0,"*","*","*","*",20,46.5,19,44.2,39,90.7
"Ansonia School District","=""0020011""","N",526,520,98.9,519,127,24.5,95,18.3,168,32.4,109,21.0,20,3.9,129,24.9
"Ansonia School District","=""0020011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N",431,417,96.8,413,114,27.6,66,16.0,90,21.8,123,29.8,20,4.8,143,34.6
"Area Cooperative Educational Services","=""2440014""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",75,75,100.0,75,"*","*","*","*",8,10.7,43,57.3,17,22.7,60,80.0
"Avon School District","=""0040011""","N",822,817,99.4,816,21,2.6,36,4.4,107,13.1,326,40.0,326,40.0,652,79.9
"Avon School District","=""0040011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",47,45,95.7,45,"*","*","*","*",7,15.6,25,55.6,8,17.8,33,73.3
"Berlin School District","=""0070011""","N",672,668,99.4,668,19,2.8,45,6.7,140,21.0,282,42.2,182,27.2,464,69.5
"Berlin School District","=""0070011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","N",610,605,99.2,605,16,2.6,26,4.3,116,19.2,252,41.7,195,32.2,447,73.9
"Bethel School District","=""0090011""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","N",397,393,99.0,392,61,15.6,63,16.1,124,31.6,115,29.3,29,7.4,144,36.7
"Bloomfield School District","=""0110011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",197,194,98.5,194,13,6.7,6,3.1,41,21.1,83,42.8,51,26.3,134,69.1
"Bozrah School District","=""0130011""","N",51,50,98.0,50,0,0.0,0,0.0,6,12.0,32,64.0,12,24.0,44,88.0
"Branford School District","=""0140011""","N",671,660,98.4,660,30,4.5,51,7.7,154,23.3,284,43.0,141,21.4,425,64.4
"Branford School District","=""0140011""","Y",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","N",196,195,99.5,194,48,24.7,47,24.2,53,27.3,38,19.6,8,4.1,46,23.7
"Bridgeport Achievement First District","=""2850013""","Y",28,27,96.4,27,7,25.9,12,44.4,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","N",3892,3689,94.8,3647,1145,31.4,807,22.1,898,24.6,643,17.6,154,4.2,797,21.9
"Bridgeport School District","=""0150011""","Y",590,567,96.1,552,385,69.7,104,18.8,48,8.7,15,2.7,0,0.0,15,2.7
"Bristol School District","=""0170011""","N",1709,1681,98.4,1681,136,8.1,168,10.0,415,24.7,675,40.2,287,17.1,962,57.2
"Bristol School District","=""0170011""","Y",60,60,100.0,60,23,38.3,"*","*",18,30.0,"*","*",0,0.0,"*","*"
"Brookfield School District","=""0180011""","N",603,594,98.5,593,16,2.7,22,3.7,99,16.7,231,39.0,225,37.9,456,76.9
"Brookfield School District","=""0180011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","N",211,209,99.1,209,6,2.9,11,5.3,27,12.9,111,53.1,54,25.8,165,78.9
"Canaan School District","=""0210011""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N",116,115,99.1,115,"*","*","*","*",20,17.4,70,60.9,10,8.7,80,69.6
"Canton School District","=""0230011""","N",401,397,99.0,397,9,2.3,18,4.5,43,10.8,176,44.3,151,38.0,327,82.4
"Canton School District","=""0230011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",76,75,98.7,75,23,30.7,23,30.7,17,22.7,12,16.0,0,0.0,12,16.0
"Capitol Region Education Council","=""2410014""","N",1546,1508,97.5,1501,211,14.1,234,15.6,367,24.5,456,30.4,233,15.5,689,45.9
"Capitol Region Education Council","=""2410014""","Y",55,55,100.0,55,24,43.6,17,30.9,"*","*","*","*",0,0.0,"*","*"
"Chaplin School District","=""0240011""","N",22,22,100.0,22,"*","*","*","*",7,31.8,12,54.5,"*","*","*","*"
"Cheshire School District","=""0250011""","N",1044,1035,99.1,1032,18,1.7,41,4.0,167,16.2,456,44.2,350,33.9,806,78.1
"Cheshire School District","=""0250011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","N",35,35,100.0,35,0,0.0,0,0.0,8,22.9,15,42.9,12,34.3,27,77.1
"Clinton School District","=""0270011""","N",451,447,99.1,447,16,3.6,25,5.6,80,17.9,194,43.4,132,29.5,326,72.9
"Clinton School District","=""0270011""","Y",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","N",607,604,99.5,603,10,1.7,38,6.3,110,18.2,255,42.3,190,31.5,445,73.8
"Colchester School District","=""0280011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","N",117,117,100.0,117,"*","*","*","*",20,17.1,61,52.1,23,19.7,84,71.8
"Common Ground High School District","=""2680013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","N",2585,2579,99.8,2576,162,6.3,415,16.1,1214,47.1,454,17.6,331,12.8,785,30.5
"Connecticut Technical High School System","=""9000016""","Y",101,101,100.0,101,43,42.6,39,38.6,"*","*","*","*",0,0.0,"*","*"
"Cooperative Educational Services","=""2430014""","N",120,119,99.2,119,"*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","N",30,30,100.0,30,0,0.0,"*","*","*","*",17,56.7,11,36.7,28,93.3
"Coventry School District","=""0320011""","N",369,365,98.9,364,7,1.9,22,6.0,60,16.5,155,42.6,120,33.0,275,75.5
"Cromwell School District","=""0330011""","N",460,458,99.6,458,18,3.9,34,7.4,128,27.9,183,40.0,95,20.7,278,60.7
"Cromwell School District","=""0330011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","N",2002,1982,99.0,1981,204,10.3,281,14.2,580,29.3,720,36.3,196,9.9,916,46.2
"Danbury School District","=""0340011""","Y",399,392,98.2,392,211,53.8,108,27.6,64,16.3,9,2.3,0,0.0,9,2.3
"Darien School District","=""0350011""","N",1080,1059,98.1,1058,"*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","N",43,43,100.0,43,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","N",279,276,98.9,276,44,15.9,56,20.3,69,25.0,79,28.6,28,10.1,107,38.8
"Derby School District","=""0370011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","N",193,191,99.0,191,"*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","N",258,253,98.1,253,8,3.2,15,5.9,62,24.5,107,42.3,61,24.1,168,66.4
"East Hampton School District","=""0420011""","N",389,382,98.2,381,9,2.4,27,7.1,74,19.4,159,41.7,112,29.4,271,71.1
