"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, High Needs (F/R, EL or SWD)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Amistad Academy District","=""2790013""","Y",81,81,100.0,81,"*","*","*","*","*","*","*","*","*","*","*","*",218
"Amistad Academy District","=""2790013""","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",135,134,99.3,134,26,19.4,33,24.6,48,35.8,"*","*","*","*",27,20.1,218
"Ansonia School District","=""0020011""","N",50,50,100.0,50,6,12.0,"*","*",12,24.0,26,52.0,"*","*","*","*",246
"Area Cooperative Educational Services","=""2440014""","Y",68,65,95.6,65,"*","*",17,26.2,16,24.6,12,18.5,"*","*","*","*",211
"Area Cooperative Educational Services","=""2440014""","N",30,30,100.0,30,"*","*",6,20.0,8,26.7,14,46.7,"*","*","*","*",245
"Ashford School District","=""0030011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",28,28,100.0,28,0,0.0,0,0.0,"*","*",14,50.0,"*","*","*","*",286
"Avon School District","=""0040011""","Y",39,39,100.0,39,"*","*",11,28.2,14,35.9,9,23.1,"*","*","*","*",230
"Avon School District","=""0040011""","N",234,234,100.0,234,0,0.0,"*","*",16,6.8,114,48.7,"*","*","*","*",290
"Barkhamsted School District","=""0050011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",37,35,94.6,35,0,0.0,"*","*","*","*","*","*","*","*","*","*",283
"Berlin School District","=""0070011""","Y",51,50,98.0,50,"*","*",13,26.0,16,32.0,17,34.0,"*","*","*","*",238
"Berlin School District","=""0070011""","N",198,198,100.0,198,"*","*","*","*",33,16.7,103,52.0,55,27.8,158,79.8,277
"Bethany School District","=""0080011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",50,47,94.0,47,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",292
"Bethel School District","=""0090011""","Y",66,66,100.0,66,"*","*","*","*",15,22.7,25,37.9,16,24.2,41,62.1,260
"Bethel School District","=""0090011""","N",147,146,99.3,146,0,0.0,"*","*","*","*",66,45.2,63,43.2,129,88.4,293
"Bloomfield School District","=""0110011""","Y",70,70,100.0,70,"*","*","*","*",24,34.3,18,25.7,0,0.0,18,25.7,220
"Bloomfield School District","=""0110011""","N",54,54,100.0,54,"*","*",8,14.8,20,37.0,19,35.2,"*","*","*","*",241
"Bolton School District","=""0120011""","Y",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",51,50,98.0,50,"*","*",0,0.0,"*","*",25,50.0,20,40.0,45,90.0,289
"Bozrah School District","=""0130011""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Y",80,80,100.0,80,"*","*",14,17.5,29,36.3,25,31.3,"*","*","*","*",237
"Branford School District","=""0140011""","N",144,143,99.3,143,"*","*","*","*",21,14.7,81,56.6,33,23.1,114,79.7,274
"Bridgeport Achievement First District","=""2850013""","Y",74,73,98.6,73,"*","*","*","*","*","*","*","*","*","*","*","*",210
"Bridgeport Achievement First District","=""2850013""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Y",1566,1557,99.4,1557,454,29.2,407,26.1,391,25.1,268,17.2,37,2.4,305,19.6,210
"Bristol School District","=""0170011""","Y",354,352,99.4,352,40,11.4,65,18.5,86,24.4,133,37.8,28,8.0,161,45.7,240
"Bristol School District","=""0170011""","N",292,292,100.0,292,"*","*","*","*",45,15.4,165,56.5,65,22.3,230,78.8,274
"Brookfield School District","=""0180011""","Y",39,37,94.9,37,"*","*","*","*",8,21.6,14,37.8,"*","*","*","*",242
"Brookfield School District","=""0180011""","N",152,151,99.3,151,"*","*","*","*",12,7.9,67,44.4,"*","*","*","*",295
"Brooklyn School District","=""0190011""","Y",31,31,100.0,31,"*","*",7,22.6,7,22.6,12,38.7,"*","*","*","*",252
"Brooklyn School District","=""0190011""","N",71,71,100.0,71,0,0.0,0,0.0,"*","*",35,49.3,"*","*","*","*",287
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Y",24,23,95.8,23,"*","*","*","*","*","*",10,43.5,"*","*","*","*",247
"Canterbury School District","=""0220011""","N",29,29,100.0,29,0,0.0,"*","*","*","*",16,55.2,6,20.7,22,75.9,270
"Canton School District","=""0230011""","Y",25,25,100.0,25,"*","*","*","*",6,24.0,7,28.0,"*","*","*","*",224
"Canton School District","=""0230011""","N",112,112,100.0,112,"*","*","*","*",6,5.4,49,43.8,"*","*","*","*",298
"Capitol Region Education Council","=""2410014""","Y",188,186,98.9,186,30,16.1,42,22.6,55,29.6,53,28.5,6,3.2,59,31.7,226
"Capitol Region Education Council","=""2410014""","N",131,128,97.7,128,"*","*","*","*",20,15.6,64,50.0,33,25.8,97,75.8,271
"Chaplin School District","=""0240011""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Y",54,54,100.0,54,"*","*","*","*",13,24.1,22,40.7,8,14.8,30,55.6,252
"Cheshire School District","=""0250011""","N",293,292,99.7,292,0,0.0,"*","*","*","*",138,47.3,120,41.1,258,88.4,292
"Chester School District","=""0260011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",291
"Clinton School District","=""0270011""","Y",47,47,100.0,47,"*","*","*","*",14,29.8,16,34.0,6,12.8,22,46.8,245
"Clinton School District","=""0270011""","N",129,129,100.0,129,"*","*","*","*",21,16.3,66,51.2,40,31.0,106,82.2,280
"Colchester School District","=""0280011""","Y",58,58,100.0,58,"*","*",8,13.8,16,27.6,28,48.3,"*","*","*","*",252
"Colchester School District","=""0280011""","N",144,143,99.3,143,"*","*","*","*",17,11.9,77,53.8,"*","*","*","*",289
"Colebrook School District","=""0290011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","N",44,44,100.0,44,"*","*","*","*","*","*","*","*","*","*","*","*",279
"Cooperative Educational Services","=""2430014""","Y",26,26,100.0,26,11,42.3,"*","*","*","*",8,30.8,"*","*","*","*",216
"Cooperative Educational Services","=""2430014""","N",26,26,100.0,26,0,0.0,"*","*","*","*",12,46.2,8,30.8,20,76.9,273
"Cornwall School District","=""0310011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Y",28,28,100.0,28,0,0.0,"*","*",10,35.7,10,35.7,"*","*","*","*",254
"Coventry School District","=""0320011""","N",87,86,98.9,86,0,0.0,"*","*",7,8.1,42,48.8,"*","*","*","*",291
"Cromwell School District","=""0330011""","Y",50,50,100.0,50,"*","*",10,20.0,12,24.0,19,38.0,"*","*","*","*",235
"Cromwell School District","=""0330011""","N",126,126,100.0,126,"*","*","*","*",30,23.8,54,42.9,34,27.0,88,69.8,272
"Danbury School District","=""0340011""","Y",568,561,98.8,561,96,17.1,139,24.8,157,28.0,139,24.8,30,5.3,169,30.1,225
