"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, Free/Reduced Price Meal Elig"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",253,248,98.0,248,68,27.4,54,21.8,66,26.6,51,20.6,9,3.6,60,24.2
"Amistad Academy District","=""2790013""","Y",191,191,100.0,191,39,20.4,48,25.1,63,33.0,"*","*","*","*",41,21.5
"Amistad Academy District","=""2790013""","N",44,44,100.0,44,"*","*","*","*",15,34.1,17,38.6,"*","*","*","*"
"Andover School District","=""0010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",380,376,98.9,376,105,27.9,80,21.3,126,33.5,58,15.4,7,1.9,65,17.3
"Ansonia School District","=""0020011""","N",157,155,98.7,154,29,18.8,18,11.7,43,27.9,51,33.1,13,8.4,64,41.6
"Area Cooperative Educational Services","=""2440014""","Y",288,278,96.5,274,102,37.2,53,19.3,59,21.5,53,19.3,7,2.6,60,21.9
"Area Cooperative Educational Services","=""2440014""","N",156,153,98.1,153,22,14.4,15,9.8,33,21.6,70,45.8,13,8.5,83,54.2
"Ashford School District","=""0030011""","Y",29,29,100.0,29,"*","*","*","*","*","*",14,48.3,"*","*","*","*"
"Ashford School District","=""0030011""","N",46,46,100.0,46,0,0.0,0,0.0,"*","*",29,63.0,"*","*","*","*"
"Avon School District","=""0040011""","Y",48,48,100.0,48,7,14.6,7,14.6,10,20.8,16,33.3,8,16.7,24,50.0
"Avon School District","=""0040011""","N",787,782,99.4,781,17,2.2,31,4.0,102,13.1,312,39.9,319,40.8,631,80.8
"Barkhamsted School District","=""0050011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y",100,99,99.0,99,11,11.1,15,15.2,30,30.3,35,35.4,8,8.1,43,43.4
"Berlin School District","=""0070011""","N",580,577,99.5,577,11,1.9,32,5.5,113,19.6,247,42.8,174,30.2,421,73.0
"Bethany School District","=""0080011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",53,50,94.3,50,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Y",144,142,98.6,142,11,7.7,6,4.2,37,26.1,60,42.3,28,19.7,88,62.0
"Bethel School District","=""0090011""","N",480,477,99.4,477,11,2.3,20,4.2,85,17.8,194,40.7,167,35.0,361,75.7
"Bloomfield School District","=""0110011""","Y",197,193,98.0,192,46,24.0,34,17.7,61,31.8,42,21.9,9,4.7,51,26.6
"Bloomfield School District","=""0110011""","N",203,203,100.0,203,16,7.9,31,15.3,63,31.0,73,36.0,20,9.9,93,45.8
"Bolton School District","=""0120011""","Y",36,35,97.2,35,8,22.9,"*","*",6,17.1,15,42.9,"*","*","*","*"
"Bolton School District","=""0120011""","N",161,159,98.8,159,"*","*","*","*",35,22.0,68,42.8,47,29.6,115,72.3
"Bozrah School District","=""0130011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N",42,41,97.6,41,0,0.0,0,0.0,"*","*",26,63.4,"*","*","*","*"
"Branford School District","=""0140011""","Y",168,164,97.6,164,14,8.5,19,11.6,50,30.5,65,39.6,16,9.8,81,49.4
"Branford School District","=""0140011""","N",514,506,98.4,506,20,4.0,34,6.7,107,21.1,219,43.3,126,24.9,345,68.2
"Bridgeport Achievement First District","=""2850013""","Y",184,182,98.9,181,47,26.0,50,27.6,45,24.9,33,18.2,6,3.3,39,21.5
"Bridgeport Achievement First District","=""2850013""","N",40,40,100.0,40,"*","*",9,22.5,11,27.5,10,25.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","Y",4483,4256,94.9,4199,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Y",780,760,97.4,760,111,14.6,113,14.9,204,26.8,264,34.7,68,8.9,332,43.7
"Bristol School District","=""0170011""","N",990,981,99.1,981,48,4.9,71,7.2,229,23.3,414,42.2,219,22.3,633,64.5
"Brookfield School District","=""0180011""","Y",59,59,100.0,59,"*","*","*","*",12,20.3,28,47.5,10,16.9,38,64.4
"Brookfield School District","=""0180011""","N",557,548,98.4,547,16,2.9,18,3.3,89,16.3,208,38.0,216,39.5,424,77.5
"Brooklyn School District","=""0190011""","Y",62,60,96.8,60,"*","*","*","*",10,16.7,31,51.7,11,18.3,42,70.0
"Brooklyn School District","=""0190011""","N",149,149,100.0,149,"*","*","*","*",17,11.4,80,53.7,43,28.9,123,82.6
