"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Free/Reduced Price Meal Eligibility ("

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Grade","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Y",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Y",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Achievement First Hartford Academy Inc. District","=""2880013""",10,"Y",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""",05,"Y",81,81,100.0,81,"*","*","*","*","*","*","*","*","*","*","*","*",218
"Amistad Academy District","=""2790013""",05,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"Y",64,64,100.0,64,"*","*","*","*","*","*","*","*","*","*","*","*",229
"Amistad Academy District","=""2790013""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",10,"Y",46,46,100.0,46,"*","*","*","*","*","*","*","*","*","*","*","*",213
"Amistad Academy District","=""2790013""",10,"N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",05,"Y",126,125,99.2,125,"*","*",31,24.8,47,37.6,23,18.4,"*","*","*","*",221
"Ansonia School District","=""0020011""",05,"N",59,59,100.0,59,12,20.3,"*","*",13,22.0,26,44.1,"*","*","*","*",235
"Ansonia School District","=""0020011""",08,"Y",138,138,100.0,138,45,32.6,28,20.3,37,26.8,28,20.3,0,0.0,28,20.3,217
"Ansonia School District","=""0020011""",08,"N",49,49,100.0,49,11,22.4,"*","*",14,28.6,18,36.7,"*","*","*","*",236
"Ansonia School District","=""0020011""",10,"Y",116,113,97.4,113,40,35.4,21,18.6,42,37.2,"*","*","*","*",10,8.8,209
"Ansonia School District","=""0020011""",10,"N",49,47,95.9,46,6,13.0,9,19.6,16,34.8,7,15.2,8,17.4,15,32.6,246
"Area Cooperative Educational Services","=""2440014""",05,"Y",66,64,97.0,64,"*","*",17,26.6,16,25.0,12,18.8,"*","*","*","*",211
"Area Cooperative Educational Services","=""2440014""",05,"N",32,31,96.9,31,"*","*",6,19.4,8,25.8,14,45.2,"*","*","*","*",242
"Area Cooperative Educational Services","=""2440014""",08,"Y",196,193,98.5,193,71,36.8,33,17.1,42,21.8,41,21.2,6,3.1,47,24.4,218
"Area Cooperative Educational Services","=""2440014""",08,"N",120,120,100.0,120,18,15.0,9,7.5,25,20.8,56,46.7,12,10.0,68,56.7,248
"Area Cooperative Educational Services","=""2440014""",10,"Y",27,21,77.8,17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"N",28,28,100.0,28,0,0.0,0,0.0,"*","*",14,50.0,"*","*","*","*",286
"Ashford School District","=""0030011""",08,"Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",05,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",05,"N",254,254,100.0,254,0,0.0,"*","*","*","*","*","*","*","*","*","*",285
