"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Gender"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Grade","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"F",81,81,100.0,81,23,28.4,21,25.9,22,27.2,"*","*","*","*",15,18.5,208
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"M",65,64,98.5,64,19,29.7,15,23.4,18,28.1,"*","*","*","*",12,18.8,206
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"F",30,29,96.7,29,"*","*","*","*","*","*",10,34.5,0,0.0,10,34.5,232
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"M",35,35,100.0,35,"*","*","*","*","*","*",10,28.6,6,17.1,16,45.7,232
"Achievement First Hartford Academy Inc. District","=""2880013""",10,"F",22,21,95.5,21,"*","*","*","*","*","*","*","*",0,0.0,"*","*",210
"Achievement First Hartford Academy Inc. District","=""2880013""",10,"M",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"F",48,48,100.0,48,"*","*",14,29.2,13,27.1,17,35.4,"*","*","*","*",230
"Amistad Academy District","=""2790013""",05,"M",47,47,100.0,47,"*","*",13,27.7,13,27.7,8,17.0,"*","*","*","*",212
"Amistad Academy District","=""2790013""",08,"F",39,39,100.0,39,6,15.4,"*","*",17,43.6,12,30.8,"*","*","*","*",234
"Amistad Academy District","=""2790013""",08,"M",43,43,100.0,43,9,20.9,"*","*",11,25.6,15,34.9,"*","*","*","*",235
"Amistad Academy District","=""2790013""",10,"F",33,33,100.0,33,6,18.2,"*","*",14,42.4,"*","*",0,0.0,"*","*",213
"Amistad Academy District","=""2790013""",10,"M",25,25,100.0,25,7,28.0,"*","*",10,40.0,"*","*","*","*","*","*",218
"Andover School District","=""0010011""",05,"F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"M",29,28,96.6,28,0,0.0,"*","*","*","*","*","*","*","*","*","*",298
"Ansonia School District","=""0020011""",05,"F",98,98,100.0,98,"*","*",24,24.5,35,35.7,22,22.4,"*","*","*","*",226
"Ansonia School District","=""0020011""",05,"M",87,86,98.9,86,18,20.9,"*","*",25,29.1,27,31.4,"*","*","*","*",225
"Ansonia School District","=""0020011""",08,"F",100,100,100.0,100,32,32.0,"*","*",29,29.0,21,21.0,"*","*","*","*",220
"Ansonia School District","=""0020011""",08,"M",87,87,100.0,87,24,27.6,"*","*",22,25.3,25,28.7,"*","*","*","*",224
"Ansonia School District","=""0020011""",10,"F",80,78,97.5,78,22,28.2,13,16.7,30,38.5,"*","*","*","*",13,16.7,221
"Ansonia School District","=""0020011""",10,"M",85,82,96.5,81,24,29.6,17,21.0,28,34.6,"*","*","*","*",12,14.8,219
"Area Cooperative Educational Services","=""2440014""",05,"F",34,34,100.0,34,"*","*",8,23.5,9,26.5,11,32.4,"*","*","*","*",231
"Area Cooperative Educational Services","=""2440014""",05,"M",64,61,95.3,61,"*","*",15,24.6,15,24.6,15,24.6,"*","*","*","*",216
"Area Cooperative Educational Services","=""2440014""",08,"F",136,136,100.0,136,36,26.5,18,13.2,31,22.8,41,30.1,10,7.4,51,37.5,232
"Area Cooperative Educational Services","=""2440014""",08,"M",180,177,98.3,177,53,29.9,24,13.6,36,20.3,56,31.6,8,4.5,64,36.2,228
"Area Cooperative Educational Services","=""2440014""",10,"F",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",10,"M",23,18,78.3,14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"F",27,27,100.0,27,0,0.0,0,0.0,"*","*",15,55.6,"*","*","*","*",284
"Ashford School District","=""0030011""",05,"M",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"F",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"M",22,22,100.0,22,"*","*","*","*","*","*","*","*",0,0.0,"*","*",255
"Avon School District","=""0040011""",05,"F",146,146,100.0,146,"*","*","*","*",16,11.0,66,45.2,52,35.6,118,80.8,279
"Avon School District","=""0040011""",05,"M",127,127,100.0,127,"*","*","*","*",14,11.0,57,44.9,49,38.6,106,83.5,284
"Avon School District","=""0040011""",08,"F",142,140,98.6,140,"*","*","*","*",9,6.4,77,55.0,42,30.0,119,85.0,279
"Avon School District","=""0040011""",08,"M",133,132,99.2,132,"*","*","*","*",15,11.4,56,42.4,48,36.4,104,78.8,278
"Avon School District","=""0040011""",10,"F",138,137,99.3,137,"*","*","*","*",26,19.0,38,27.7,66,48.2,104,75.9,290
"Avon School District","=""0040011""",10,"M",149,148,99.3,147,"*","*","*","*",32,21.8,34,23.1,70,47.6,104,70.7,289
"Barkhamsted School District","=""0050011""",05,"F",23,22,95.7,22,0,0.0,"*","*","*","*",13,59.1,"*","*","*","*",274
"Barkhamsted School District","=""0050011""",05,"M",24,23,95.8,23,"*","*","*","*","*","*",12,52.2,"*","*","*","*",266
"Berlin School District","=""0070011""",05,"F",113,113,100.0,113,"*","*","*","*",24,21.2,61,54.0,20,17.7,81,71.7,268
"Berlin School District","=""0070011""",05,"M",136,135,99.3,135,"*","*","*","*",25,18.5,59,43.7,37,27.4,96,71.1,270
"Berlin School District","=""0070011""",08,"F",87,87,100.0,87,"*","*","*","*",11,12.6,47,54.0,20,23.0,67,77.0,267
"Berlin School District","=""0070011""",08,"M",129,129,100.0,129,"*","*","*","*",16,12.4,64,49.6,35,27.1,99,76.7,271
"Berlin School District","=""0070011""",10,"F",103,101,98.1,101,"*","*","*","*",33,32.7,22,21.8,34,33.7,56,55.4,269
"Berlin School District","=""0070011""",10,"M",112,111,99.1,111,"*","*","*","*",34,30.6,29,26.1,36,32.4,65,58.6,272
"Bethany School District","=""0080011""",05,"F",25,22,88.0,22,0,0.0,"*","*","*","*",11,50.0,9,40.9,20,90.9,292
"Bethany School District","=""0080011""",05,"M",35,35,100.0,35,0,0.0,"*","*","*","*",19,54.3,10,28.6,29,82.9,283
"Bethel School District","=""0090011""",05,"F",96,96,100.0,96,"*","*","*","*",18,18.8,37,38.5,38,39.6,75,78.1,283
"Bethel School District","=""0090011""",05,"M",117,116,99.1,116,"*","*","*","*",11,9.5,54,46.6,41,35.3,95,81.9,283
"Bethel School District","=""0090011""",08,"F",105,105,100.0,105,"*","*","*","*",23,21.9,59,56.2,18,17.1,77,73.3,267
"Bethel School District","=""0090011""",08,"M",111,109,98.2,109,"*","*","*","*",18,16.5,57,52.3,22,20.2,79,72.5,266
"Bethel School District","=""0090011""",10,"F",94,93,98.9,93,"*","*","*","*",23,24.7,24,25.8,37,39.8,61,65.6,279
"Bethel School District","=""0090011""",10,"M",101,100,99.0,100,"*","*","*","*",29,29.0,23,23.0,39,39.0,62,62.0,279
"Bloomfield School District","=""0110011""",05,"F",61,61,100.0,61,"*","*",11,18.0,21,34.4,19,31.1,"*","*","*","*",231
"Bloomfield School District","=""0110011""",05,"M",63,63,100.0,63,"*","*",14,22.2,23,36.5,18,28.6,"*","*","*","*",228
"Bloomfield School District","=""0110011""",08,"F",67,67,100.0,67,12,17.9,"*","*",17,25.4,28,41.8,"*","*","*","*",245
"Bloomfield School District","=""0110011""",08,"M",62,62,100.0,62,14,22.6,"*","*",15,24.2,20,32.3,"*","*","*","*",236
"Bloomfield School District","=""0110011""",10,"F",67,66,98.5,66,8,12.1,9,13.6,27,40.9,14,21.2,8,12.1,22,33.3,243
"Bloomfield School District","=""0110011""",10,"M",80,77,96.3,76,14,18.4,19,25.0,21,27.6,16,21.1,6,7.9,22,28.9,232
"Bolton School District","=""0120011""",05,"F",39,38,97.4,38,"*","*","*","*","*","*",18,47.4,11,28.9,29,76.3,271
"Bolton School District","=""0120011""",05,"M",30,29,96.7,29,"*","*",0,0.0,"*","*",12,41.4,12,41.4,24,82.8,280
"Bolton School District","=""0120011""",08,"F",23,23,100.0,23,"*","*","*","*","*","*",13,56.5,"*","*","*","*",266
"Bolton School District","=""0120011""",08,"M",27,26,96.3,26,"*","*","*","*","*","*",11,42.3,"*","*","*","*",263
"Bolton School District","=""0120011""",10,"F",43,43,100.0,43,"*","*","*","*",15,34.9,16,37.2,9,20.9,25,58.1,271
"Bolton School District","=""0120011""",10,"M",35,35,100.0,35,"*","*","*","*",12,34.3,13,37.1,8,22.9,21,60.0,272
"Bozrah School District","=""0130011""",05,"F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",05,"M",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""",08,"F",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
