"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, Free/Reduced Price Meal Eligibility (3-l"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Amistad Academy District","=""2790013""","F",51,51,100.0,51,13,25.5,"*","*",18,35.3,12,23.5,"*","*","*","*",227
"Amistad Academy District","=""2790013""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","R",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","F",115,115,100.0,115,40,34.8,22,19.1,33,28.7,20,17.4,0,0.0,20,17.4,215
"Ansonia School District","=""0020011""","N",49,49,100.0,49,"*","*","*","*","*","*",18,36.7,"*","*","*","*",236
"Ansonia School District","=""0020011""","R",23,23,100.0,23,"*","*",6,26.1,"*","*",8,34.8,0,0.0,8,34.8,227
"Area Cooperative Educational Services","=""2440014""","F",170,167,98.2,167,65,38.9,31,18.6,36,21.6,29,17.4,6,3.6,35,21.0,216
"Area Cooperative Educational Services","=""2440014""","N",120,120,100.0,120,18,15.0,9,7.5,25,20.8,56,46.7,12,10.0,68,56.7,248
"Area Cooperative Educational Services","=""2440014""","R",26,26,100.0,26,"*","*","*","*",6,23.1,12,46.2,0,0.0,12,46.2,235
"Ashford School District","=""0030011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",261,258,98.9,258,12,4.7,9,3.5,24,9.3,126,48.8,87,33.7,213,82.6,279
"Avon School District","=""0040011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","F",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*","*","*",237
"Berlin School District","=""0070011""","N",184,184,100.0,184,6,3.3,8,4.3,19,10.3,97,52.7,54,29.3,151,82.1,275
"Berlin School District","=""0070011""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","F",33,32,97.0,32,"*","*",0,0.0,7,21.9,16,50.0,"*","*","*","*",251
"Bethel School District","=""0090011""","N",160,159,99.4,159,"*","*","*","*",27,17.0,87,54.7,34,21.4,121,76.1,270
"Bethel School District","=""0090011""","R",23,23,100.0,23,"*","*",0,0.0,7,30.4,13,56.5,"*","*","*","*",259
"Bloomfield School District","=""0110011""","F",49,49,100.0,49,16,32.7,"*","*",11,22.4,16,32.7,"*","*","*","*",235
"Bloomfield School District","=""0110011""","N",69,69,100.0,69,"*","*",8,11.6,20,29.0,30,43.5,"*","*","*","*",250
"Bloomfield School District","=""0110011""","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","F",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",39,39,100.0,39,0,0.0,"*","*","*","*",19,48.7,11,28.2,30,76.9,274
"Bolton School District","=""0120011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N",19,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","F",43,41,95.3,41,"*","*","*","*","*","*","*","*","*","*","*","*",243
"Branford School District","=""0140011""","N",186,185,99.5,185,10,5.4,11,5.9,25,13.5,99,53.5,40,21.6,139,75.1,270
"Branford School District","=""0140011""","R",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","F",67,66,98.5,66,16,24.2,"*","*",17,25.8,17,25.8,"*","*","*","*",229
"Bridgeport Achievement First District","=""2850013""","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","R",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","F",1451,1425,98.2,1425,"*","*","*","*","*","*","*","*","*","*","*","*",211
"Bridgeport School District","=""0150011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","F",217,210,96.8,210,43,20.5,25,11.9,44,21.0,87,41.4,11,5.2,98,46.7,238
"Bristol School District","=""0170011""","N",303,303,100.0,303,16,5.3,14,4.6,49,16.2,157,51.8,67,22.1,224,73.9,269
"Bristol School District","=""0170011""","R",44,43,97.7,43,"*","*","*","*",12,27.9,20,46.5,6,14.0,26,60.5,255
"Brookfield School District","=""0180011""","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","N",177,175,98.9,175,10,5.7,8,4.6,13,7.4,79,45.1,65,37.1,144,82.3,279
"Brookfield School District","=""0180011""","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","F",30,28,93.3,28,"*","*","*","*","*","*","*","*","*","*","*","*",264
"Brooklyn School District","=""0190011""","N",71,71,100.0,71,"*","*","*","*","*","*",44,62.0,17,23.9,61,85.9,278
"Brooklyn School District","=""0190011""","R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N",46,46,100.0,46,"*","*","*","*",8,17.4,31,67.4,"*","*","*","*",255
"Canterbury School District","=""0220011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",123,123,100.0,123,"*","*","*","*",14,11.4,72,58.5,31,25.2,103,83.7,276
"Canton School District","=""0230011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","F",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","F",262,259,98.9,259,73,28.2,35,13.5,51,19.7,90,34.7,10,3.9,100,38.6,229
"Capitol Region Education Council","=""2410014""","N",330,328,99.4,328,14,4.3,26,7.9,46,14.0,150,45.7,92,28.0,242,73.8,271
"Capitol Region Education Council","=""2410014""","R",57,57,100.0,57,10,17.5,"*","*",15,26.3,20,35.1,"*","*","*","*",238
"Cheshire School District","=""0250011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","N",330,327,99.1,327,8,2.4,11,3.4,36,11.0,176,53.8,96,29.4,272,83.2,279
"Cheshire School District","=""0250011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","F",29,29,100.0,29,"*","*","*","*","*","*","*","*","*","*","*","*",247
"Clinton School District","=""0270011""","N",125,124,99.2,124,"*","*","*","*",11,8.9,65,52.4,37,29.8,102,82.3,277
"Clinton School District","=""0270011""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","F",31,31,100.0,31,"*","*","*","*",6,19.4,18,58.1,"*","*","*","*",260
"Colchester School District","=""0280011""","N",152,151,99.3,151,"*","*","*","*",16,10.6,79,52.3,46,30.5,125,82.8,280
"Colchester School District","=""0280011""","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
