"CMT/CAPT Science Assessment, 2015-16"
"State of Connecticut, All Grades, Free/Reduced Price Meal Eligib"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"State of Connecticut",05,"F",13722,13634,99.4,13633,2825,20.7,2892,21.2,3528,25.9,3632,26.6,756,5.5,4388,32.2,225
"State of Connecticut",05,"N",23751,23623,99.5,23622,795,3.4,1373,5.8,3465,14.7,11037,46.7,6952,29.4,17989,76.2,275
"State of Connecticut",05,"R",1770,1760,99.4,1760,152,8.6,279,15.9,451,25.6,658,37.4,220,12.5,878,49.9,246
"State of Connecticut",08,"F",13045,12853,98.5,12852,4157,32.3,1954,15.2,2620,20.4,3593,28.0,528,4.1,4121,32.1,225
"State of Connecticut",08,"N",25041,24864,99.3,24860,1464,5.9,1371,5.5,3274,13.2,12731,51.2,6020,24.2,18751,75.4,270
"State of Connecticut",08,"R",1969,1954,99.2,1954,300,15.4,226,11.6,417,21.3,853,43.7,158,8.1,1011,51.7,245
"State of Connecticut",10,"F",12588,11674,92.7,11519,3053,26.5,2589,22.5,3701,32.1,1277,11.1,899,7.8,2176,18.9,222
"State of Connecticut",10,"N",26618,26113,98.1,26054,1197,4.6,1866,7.2,7111,27.3,6280,24.1,9600,36.8,15880,61.0,276
"State of Connecticut",10,"R",2071,2024,97.7,2017,248,12.3,334,16.6,768,38.1,382,18.9,285,14.1,667,33.1,243

