"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",253,248,98.0,248,68,27.4,54,21.8,66,26.6,51,20.6,9,3.6,60,24.2
"Amistad Academy District","=""2790013""","Y",193,193,100.0,193,40,20.7,49,25.4,63,32.6,"*","*","*","*",41,21.2
"Amistad Academy District","=""2790013""","N",42,42,100.0,42,"*","*","*","*",15,35.7,17,40.5,"*","*","*","*"
"Andover School District","=""0010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",407,403,99.0,402,119,29.6,87,21.6,131,32.6,58,14.4,7,1.7,65,16.2
"Ansonia School District","=""0020011""","N",130,128,98.5,128,15,11.7,11,8.6,38,29.7,51,39.8,13,10.2,64,50.0
"Area Cooperative Educational Services","=""2440014""","Y",304,290,95.4,286,112,39.2,53,18.5,59,20.6,54,18.9,8,2.8,62,21.7
"Area Cooperative Educational Services","=""2440014""","N",141,141,100.0,141,12,8.5,15,10.6,33,23.4,69,48.9,12,8.5,81,57.4
"Ashford School District","=""0030011""","Y",30,30,100.0,30,"*","*","*","*","*","*",14,46.7,"*","*","*","*"
"Ashford School District","=""0030011""","N",45,45,100.0,45,0,0.0,0,0.0,"*","*",29,64.4,"*","*","*","*"
"Avon School District","=""0040011""","Y",122,121,99.2,121,18,14.9,25,20.7,37,30.6,31,25.6,10,8.3,41,33.9
"Avon School District","=""0040011""","N",713,709,99.4,708,6,0.8,13,1.8,75,10.6,297,41.9,317,44.8,614,86.7
"Barkhamsted School District","=""0050011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",37,35,94.6,35,0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y",158,155,98.1,155,20,12.9,33,21.3,48,31.0,43,27.7,11,7.1,54,34.8
"Berlin School District","=""0070011""","N",522,521,99.8,521,"*","*","*","*",95,18.2,239,45.9,171,32.8,410,78.7
"Bethany School District","=""0080011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",50,47,94.0,47,0,0.0,0,0.0,"*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Y",186,183,98.4,183,20,10.9,15,8.2,48,26.2,68,37.2,32,17.5,100,54.6
"Bethel School District","=""0090011""","N",438,436,99.5,436,"*","*","*","*",74,17.0,186,42.7,163,37.4,349,80.0
"Bloomfield School District","=""0110011""","Y",212,208,98.1,207,50,24.2,38,18.4,66,31.9,44,21.3,9,4.3,53,25.6
"Bloomfield School District","=""0110011""","N",188,188,100.0,188,12,6.4,27,14.4,58,30.9,71,37.8,20,10.6,91,48.4
"Bolton School District","=""0120011""","Y",50,48,96.0,48,12,25.0,"*","*",11,22.9,17,35.4,"*","*","*","*"
"Bolton School District","=""0120011""","N",147,146,99.3,146,"*","*","*","*",30,20.5,66,45.2,47,32.2,113,77.4
"Bozrah School District","=""0130011""","Y",19,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N",32,32,100.0,32,0,0.0,0,0.0,"*","*",21,65.6,"*","*","*","*"
"Branford School District","=""0140011""","Y",241,234,97.1,234,28,12.0,38,16.2,75,32.1,74,31.6,19,8.1,93,39.7
"Branford School District","=""0140011""","N",441,436,98.9,436,6,1.4,15,3.4,82,18.8,210,48.2,123,28.2,333,76.4
"Bridgeport Achievement First District","=""2850013""","Y",190,188,98.9,187,49,26.2,52,27.8,46,24.6,34,18.2,6,3.2,40,21.4
"Bridgeport Achievement First District","=""2850013""","N",34,34,100.0,34,"*","*",7,20.6,10,29.4,9,26.5,"*","*","*","*"
"Bridgeport School District","=""0150011""","Y",4484,4256,94.9,4199,1530,36.4,911,21.7,946,22.5,658,15.7,154,3.7,812,19.3
"Bristol School District","=""0170011""","Y",898,876,97.6,876,147,16.8,147,16.8,234,26.7,278,31.7,70,8.0,348,39.7
"Bristol School District","=""0170011""","N",871,865,99.3,865,12,1.4,37,4.3,199,23.0,400,46.2,217,25.1,617,71.3
"Brookfield School District","=""0180011""","Y",130,126,96.9,125,18,14.4,16,12.8,31,24.8,45,36.0,15,12.0,60,48.0
"Brookfield School District","=""0180011""","N",486,481,99.0,481,"*","*","*","*",70,14.6,191,39.7,211,43.9,402,83.6
"Brooklyn School District","=""0190011""","Y",72,70,97.2,70,"*","*","*","*",12,17.1,33,47.1,11,15.7,44,62.9
"Brooklyn School District","=""0190011""","N",139,139,100.0,139,"*","*","*","*",15,10.8,78,56.1,43,30.9,121,87.1
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Y",45,44,97.8,44,"*","*","*","*",7,15.9,24,54.5,"*","*","*","*"
"Canterbury School District","=""0220011""","N",71,71,100.0,71,0,0.0,"*","*",13,18.3,46,64.8,"*","*","*","*"
