"Four-Year Graduation Rates, 2012-13"
"All Districts, All Students"

"",,,"Graduates",
"District","District Code","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""",23,16,69.6
"Ansonia School District","=""0020011""",212,160,75.5
"Avon School District","=""0040011""",263,252,95.8
"Berlin School District","=""0070011""",262,252,96.2
"Bethel School District","=""0090011""",234,217,92.7
"Bloomfield School District","=""0110011""",165,146,88.5
"Bolton School District","=""0120011""",81,"*","*"
"Branford School District","=""0140011""",271,250,92.3
"Bridgeport School District","=""0150011""",1229,827,67.3
"Bristol School District","=""0170011""",635,507,79.8
"Brookfield School District","=""0180011""",242,232,95.9
"Canton School District","=""0230011""",124,117,94.4
"Capitol Region Education Council","=""2410014""",246,209,85.0
"Cheshire School District","=""0250011""",384,362,94.3
"Clinton School District","=""0270011""",145,128,88.3
"Colchester School District","=""0280011""",253,236,93.3
"Common Ground High School District","=""2680013""",38,34,89.5
"Connecticut Technical High School System","=""9000016""",2483,2392,96.3
"Coventry School District","=""0320011""",138,125,90.6
"Cromwell School District","=""0330011""",145,133,91.7
"Danbury School District","=""0340011""",779,588,75.5
"Darien School District","=""0350011""",316,307,97.2
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",91,59,64.8
"East Granby School District","=""0400011""",71,"*","*"
"East Haddam School District","=""0410011""",100,96,96.0
"East Hampton School District","=""0420011""",132,127,96.2
"East Hartford School District","=""0430011""",556,432,77.7
"East Haven School District","=""0440011""",246,182,74.0
"East Lyme School District","=""0450011""",311,293,94.2
"East Windsor School District","=""0470011""",96,79,82.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",69,54,78.3
"Ellington School District","=""0480011""",198,182,91.9
"Elm City College Preparatory School District","=""2890013""",13,8,"*"
"Enfield School District","=""0490011""",445,389,87.4
"Explorations District","=""2720013""",32,21,65.6
"Fairfield School District","=""0510011""",708,656,92.7
"Farmington School District","=""0520011""",326,310,95.1
"Glastonbury School District","=""0540011""",552,536,97.1
"Granby School District","=""0560011""",197,192,97.5
"Greenwich School District","=""0570011""",691,655,94.8
"Griswold School District","=""0580011""",170,148,87.1
"Groton School District","=""0590011""",327,269,82.3
"Guilford School District","=""0600011""",281,262,93.2
"Hamden School District","=""0620011""",455,388,85.3
"Hartford School District","=""0640011""",1418,1009,71.2
"Killingly School District","=""0690011""",223,167,74.9
"Learn","=""2450014""",43,35,81.4
"Lebanon School District","=""0710011""",118,110,93.2
"Ledyard School District","=""0720011""",232,208,89.7
"Lisbon School District","=""0730011""",6,"*","*"
"Litchfield School District","=""0740011""",88,"*","*"
"Madison School District","=""0760011""",317,"*","*"
"Manchester School District","=""0770011""",479,358,74.7
"Meriden School District","=""0800011""",639,448,70.1
"Middletown School District","=""0830011""",379,307,81.0
"Milford School District","=""0840011""",525,446,85.0
"Monroe School District","=""0850011""",309,300,97.1
"Montville School District","=""0860011""",188,161,85.6
"Naugatuck School District","=""0880011""",335,261,77.9
"New Britain School District","=""0890011""",654,398,60.9
"New Canaan School District","=""0900011""",339,331,97.6
"New Fairfield School District","=""0910011""",258,247,95.7
"New Haven School District","=""0930011""",1315,939,71.4
"New London School District","=""0950011""",257,165,64.2
"New Milford School District","=""0960011""",392,340,86.7
"Newington School District","=""0940011""",376,339,90.2
"Newtown School District","=""0970011""",471,443,94.1
