"Four-Year Graduation Rates, 2012-13"
"All Districts, Gender"

"",,,,"Non-Graduates",,,
"District","District Code","Gender","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Female",12,"*","*","*","*"
"Amistad Academy District","=""2790013""","Male",11,"*","*","*","*"
"Ansonia School District","=""0020011""","Female",105,"*","*","*","*"
"Ansonia School District","=""0020011""","Male",107,"*","*","*","*"
"Avon School District","=""0040011""","Female",122,"*","*","*","*"
"Avon School District","=""0040011""","Male",141,"*","*","*","*"
"Berlin School District","=""0070011""","Female",139,"*","*","*","*"
"Berlin School District","=""0070011""","Male",123,0,0.0,"*","*"
"Bethel School District","=""0090011""","Female",118,"*","*","*","*"
"Bethel School District","=""0090011""","Male",116,"*","*","*","*"
"Bloomfield School District","=""0110011""","Female",82,"*","*","*","*"
"Bloomfield School District","=""0110011""","Male",83,"*","*","*","*"
"Bolton School District","=""0120011""","Female",45,0,0.0,"*","*"
"Bolton School District","=""0120011""","Male",36,0,0.0,"*","*"
"Branford School District","=""0140011""","Female",153,"*","*","*","*"
"Branford School District","=""0140011""","Male",118,"*","*","*","*"
"Bridgeport School District","=""0150011""","Female",617,48,7.8,121,19.6
"Bridgeport School District","=""0150011""","Male",612,87,14.2,146,23.9
"Bristol School District","=""0170011""","Female",297,20,6.7,32,10.8
"Bristol School District","=""0170011""","Male",338,34,10.1,42,12.4
"Brookfield School District","=""0180011""","Female",124,"*","*","*","*"
"Brookfield School District","=""0180011""","Male",118,"*","*","*","*"
"Canton School District","=""0230011""","Female",63,"*","*",0,0.0
"Canton School District","=""0230011""","Male",61,"*","*",0,0.0
"Capitol Region Education Council","=""2410014""","Female",138,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Male",108,"*","*","*","*"
"Cheshire School District","=""0250011""","Female",189,"*","*","*","*"
"Cheshire School District","=""0250011""","Male",195,"*","*","*","*"
"Clinton School District","=""0270011""","Female",70,"*","*","*","*"
"Clinton School District","=""0270011""","Male",75,"*","*","*","*"
"Colchester School District","=""0280011""","Female",128,"*","*","*","*"
"Colchester School District","=""0280011""","Male",125,"*","*","*","*"
"Common Ground High School District","=""2680013""","Female",16,0,"*","*","*"
"Common Ground High School District","=""2680013""","Male",22,"*","*",0,0.0
"Connecticut Technical High School System","=""9000016""","Female",896,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Male",1587,"*","*","*","*"
"Coventry School District","=""0320011""","Female",72,"*","*","*","*"
"Coventry School District","=""0320011""","Male",66,"*","*","*","*"
"Cromwell School District","=""0330011""","Female",78,"*","*","*","*"
"Cromwell School District","=""0330011""","Male",67,"*","*","*","*"
"Danbury School District","=""0340011""","Female",387,38,9.8,40,10.3
"Danbury School District","=""0340011""","Male",392,63,16.1,50,12.8
"Darien School District","=""0350011""","Female",159,"*","*","*","*"
"Darien School District","=""0350011""","Male",157,"*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Female","*","*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","*","*","*","*","*"
"Derby School District","=""0370011""","Female",44,"*","*","*","*"
"Derby School District","=""0370011""","Male",47,"*","*","*","*"
"East Granby School District","=""0400011""","Female",32,"*","*",0,0.0
"East Granby School District","=""0400011""","Male",39,"*","*",0,0.0
"East Haddam School District","=""0410011""","Female",51,"*","*","*","*"
