"Four-Year Graduation Rates, 2014-15"
"All Districts, Special Education Status"

"",,,,"Graduates",
"District","District Code","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Non-Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Special Education","*","*","*"
"Ansonia School District","=""0020011""","Non-Special Education",151,130,86.1
"Ansonia School District","=""0020011""","Special Education",21,14,66.7
"Avon School District","=""0040011""","Non-Special Education",215,211,98.1
"Avon School District","=""0040011""","Special Education",33,27,81.8
"Berlin School District","=""0070011""","Non-Special Education",178,172,96.6
"Berlin School District","=""0070011""","Special Education",32,25,78.1
"Bethel School District","=""0090011""","Non-Special Education",186,181,97.3
"Bethel School District","=""0090011""","Special Education",32,28,87.5
"Bloomfield School District","=""0110011""","Non-Special Education",146,137,93.8
"Bloomfield School District","=""0110011""","Special Education",30,17,56.7
"Bolton School District","=""0120011""","Non-Special Education",65,"*","*"
"Bolton School District","=""0120011""","Special Education",11,"*","*"
"Branford School District","=""0140011""","Non-Special Education",220,208,94.5
"Branford School District","=""0140011""","Special Education",33,20,60.6
"Bridgeport Achievement First District","=""2850013""","Non-Special Education","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Special Education","*","*","*"
"Bridgeport School District","=""0150011""","Non-Special Education",988,658,66.6
"Bridgeport School District","=""0150011""","Special Education",200,97,48.5
"Bristol School District","=""0170011""","Non-Special Education",545,465,85.3
"Bristol School District","=""0170011""","Special Education",102,61,59.8
"Brookfield School District","=""0180011""","Non-Special Education",208,203,97.6
"Brookfield School District","=""0180011""","Special Education",27,21,77.8
"Canton School District","=""0230011""","Non-Special Education",116,"*","*"
"Canton School District","=""0230011""","Special Education",16,"*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",292,270,92.5
"Capitol Region Education Council","=""2410014""","Special Education",31,22,71.0
"Cheshire School District","=""0250011""","Non-Special Education",347,347,100.0
"Cheshire School District","=""0250011""","Special Education",45,34,75.6
"Clinton School District","=""0270011""","Non-Special Education",141,131,92.9
"Clinton School District","=""0270011""","Special Education",21,15,71.4
"Colchester School District","=""0280011""","Non-Special Education",197,"*","*"
"Colchester School District","=""0280011""","Special Education",31,"*","*"
"Common Ground High School District","=""2680013""","Non-Special Education","*","*","*"
"Common Ground High School District","=""2680013""","Special Education","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-Special Education",2227,2174,97.6
"Connecticut Technical High School System","=""9000016""","Special Education",241,230,95.4
"Coventry School District","=""0320011""","Non-Special Education",98,"*","*"
"Coventry School District","=""0320011""","Special Education",19,"*","*"
"Cromwell School District","=""0330011""","Non-Special Education",108,"*","*"
"Cromwell School District","=""0330011""","Special Education",20,"*","*"
"Danbury School District","=""0340011""","Non-Special Education",688,540,78.5
"Danbury School District","=""0340011""","Special Education",84,55,65.5
"Darien School District","=""0350011""","Non-Special Education",292,288,98.6
"Darien School District","=""0350011""","Special Education",42,35,83.3
"Derby School District","=""0370011""","Non-Special Education",86,"*","*"
"Derby School District","=""0370011""","Special Education",16,"*","*"
"East Granby School District","=""0400011""","Non-Special Education",54,54,100.0
"East Granby School District","=""0400011""","Special Education",7,7,"*"
"East Haddam School District","=""0410011""","Non-Special Education",93,"*","*"
"East Haddam School District","=""0410011""","Special Education",20,"*","*"
"East Hampton School District","=""0420011""","Non-Special Education",114,"*","*"
"East Hampton School District","=""0420011""","Special Education",13,"*","*"
"East Hartford School District","=""0430011""","Non-Special Education",469,428,91.3
"East Hartford School District","=""0430011""","Special Education",97,70,72.2
"East Haven School District","=""0440011""","Non-Special Education",200,161,80.5
"East Haven School District","=""0440011""","Special Education",44,23,52.3
"East Lyme School District","=""0450011""","Non-Special Education",239,"*","*"
"East Lyme School District","=""0450011""","Special Education",35,"*","*"
"East Windsor School District","=""0470011""","Non-Special Education",70,63,90.0
"East Windsor School District","=""0470011""","Special Education",20,15,75.0
