"Four-Year Graduation Rates, 2014-15"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",
"District","District Code","Free/Reduced Price Meal Eligibility","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Eligible For Free Lunch",22,18,81.8
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","=""2790013""","Not Eligible For Lunch","*","*","*"
"Ansonia School District","=""0020011""","Eligible For Free Lunch",98,77,78.6
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",32,29,90.6
"Ansonia School District","=""0020011""","Not Eligible For Lunch",42,38,90.5
"Avon School District","=""0040011""","Eligible For Free Lunch",10,"*","*"
"Avon School District","=""0040011""","Eligible For Reduced Lunch",9,"*","*"
"Avon School District","=""0040011""","Not Eligible For Lunch",229,222,96.9
"Berlin School District","=""0070011""","Eligible For Free Lunch",27,21,77.8
"Berlin School District","=""0070011""","Eligible For Reduced Lunch",6,6,"*"
"Berlin School District","=""0070011""","Not Eligible For Lunch",177,170,96.0
"Bethel School District","=""0090011""","Eligible For Free Lunch",36,30,83.3
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",20,20,100.0
"Bethel School District","=""0090011""","Not Eligible For Lunch",162,159,98.1
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",82,68,82.9
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",32,"*","*"
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",62,"*","*"
"Bolton School District","=""0120011""","Eligible For Free Lunch","*","*","*"
"Bolton School District","=""0120011""","Eligible For Reduced Lunch","*","*","*"
"Bolton School District","=""0120011""","Not Eligible For Lunch",62,"*","*"
"Branford School District","=""0140011""","Eligible For Free Lunch",42,32,76.2
"Branford School District","=""0140011""","Eligible For Reduced Lunch",20,17,85.0
"Branford School District","=""0140011""","Not Eligible For Lunch",191,179,93.7
"Bridgeport Achievement First District","=""2850013""","Eligible For Free Lunch",24,22,91.7
"Bridgeport Achievement First District","=""2850013""","Eligible For Reduced Lunch","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Not Eligible For Lunch","*","*","*"
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",1137,723,63.6
"Bridgeport School District","=""0150011""","Eligible For Reduced Lunch","*","*","*"
"Bridgeport School District","=""0150011""","Not Eligible For Lunch","*","*","*"
"Bristol School District","=""0170011""","Eligible For Free Lunch",243,164,67.5
"Bristol School District","=""0170011""","Eligible For Reduced Lunch",85,69,81.2
"Bristol School District","=""0170011""","Not Eligible For Lunch",319,293,91.8
"Brookfield School District","=""0180011""","Eligible For Free Lunch",15,"*","*"
"Brookfield School District","=""0180011""","Eligible For Reduced Lunch",9,"*","*"
"Brookfield School District","=""0180011""","Not Eligible For Lunch",211,201,95.3
"Canton School District","=""0230011""","Eligible For Free Lunch","*","*","*"
"Canton School District","=""0230011""","Eligible For Reduced Lunch","*","*","*"
"Canton School District","=""0230011""","Not Eligible For Lunch",119,"*","*"
"Capitol Region Education Council","=""2410014""","Eligible For Free Lunch",133,"*","*"
"Capitol Region Education Council","=""2410014""","Eligible For Reduced Lunch",47,"*","*"
"Capitol Region Education Council","=""2410014""","Not Eligible For Lunch",143,135,94.4
"Cheshire School District","=""0250011""","Eligible For Free Lunch","*","*","*"
"Cheshire School District","=""0250011""","Eligible For Reduced Lunch","*","*","*"
"Cheshire School District","=""0250011""","Not Eligible For Lunch",353,345,97.7
"Clinton School District","=""0270011""","Eligible For Free Lunch",33,24,72.7
"Clinton School District","=""0270011""","Eligible For Reduced Lunch",10,7,"*"
"Clinton School District","=""0270011""","Not Eligible For Lunch",119,115,96.6
"Colchester School District","=""0280011""","Eligible For Free Lunch",32,"*","*"
"Colchester School District","=""0280011""","Eligible For Reduced Lunch",12,"*","*"
"Colchester School District","=""0280011""","Not Eligible For Lunch",184,176,95.7
"Common Ground High School District","=""2680013""","Eligible For Free Lunch",21,21,100.0
"Common Ground High School District","=""2680013""","Eligible For Reduced Lunch","*","*","*"
"Common Ground High School District","=""2680013""","Not Eligible For Lunch","*","*","*"
"Connecticut Technical High School System","=""9000016""","Eligible For Free Lunch",1157,1118,96.6
"Connecticut Technical High School System","=""9000016""","Eligible For Reduced Lunch",327,323,98.8
"Connecticut Technical High School System","=""9000016""","Not Eligible For Lunch",984,963,97.9
"Coventry School District","=""0320011""","Eligible For Free Lunch",21,16,76.2
