"Four-Year Graduation Rates, 2011-12"
"All Districts, English Learner Status"

"",,,,"Non-Graduates",,,
"District","District Code","English Learner Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Non-ELL",21,"*","*","*","*"
"Ansonia School District","=""0020011""","Non-ELL",195,"*","*","*","*"
"Ansonia School District","=""0020011""","ELL",10,"*","*","*","*"
"Avon School District","=""0040011""","Non-ELL","*","*","*","*","*"
"Avon School District","=""0040011""","ELL","*","*","*","*","*"
"Berlin School District","=""0070011""","Non-ELL","*","*","*","*","*"
"Berlin School District","=""0070011""","ELL","*","*","*","*","*"
"Bethel School District","=""0090011""","Non-ELL","*","*","*","*","*"
"Bethel School District","=""0090011""","ELL","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Non-ELL",196,29,14.8,14,7.1
"Bolton School District","=""0120011""","Non-ELL",73,"*","*","*","*"
"Branford School District","=""0140011""","Non-ELL","*","*","*","*","*"
"Branford School District","=""0140011""","ELL","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Non-ELL",1065,96,9.0,240,22.5
"Bridgeport School District","=""0150011""","ELL",208,22,10.6,70,33.7
"Bristol School District","=""0170011""","Non-ELL",610,"*","*","*","*"
"Bristol School District","=""0170011""","ELL",21,"*","*","*","*"
"Brookfield School District","=""0180011""","Non-ELL","*","*","*","*","*"
"Brookfield School District","=""0180011""","ELL","*","*","*","*","*"
"Canton School District","=""0230011""","Non-ELL",119,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Non-ELL",326,21,6.4,"*","*"
"Capitol Region Education Council","=""2410014""","ELL",9,0,"*","*","*"
"Cheshire School District","=""0250011""","Non-ELL","*","*","*","*","*"
"Cheshire School District","=""0250011""","ELL","*","*","*","*","*"
"Clinton School District","=""0270011""","Non-ELL","*","*","*","*","*"
"Clinton School District","=""0270011""","ELL","*","*","*","*","*"
"Colchester School District","=""0280011""","Non-ELL","*","*","*","*","*"
"Colchester School District","=""0280011""","ELL","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Non-ELL","*","*","*","*","*"
"Common Ground High School District","=""2680013""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-ELL",2428,7,0.3,86,3.5
"Connecticut Technical High School System","=""9000016""","ELL",103,0,0.0,10,9.7
"Coventry School District","=""0320011""","Non-ELL",153,10,6.5,11,7.2
"Cromwell School District","=""0330011""","Non-ELL","*","*","*","*","*"
"Cromwell School District","=""0330011""","ELL","*","*","*","*","*"
"Danbury School District","=""0340011""","Non-ELL",644,66,10.2,60,9.3
"Danbury School District","=""0340011""","ELL",113,26,23.0,24,21.2
"Darien School District","=""0350011""","Non-ELL","*","*","*","*","*"
"Darien School District","=""0350011""","ELL","*","*","*","*","*"
"Derby School District","=""0370011""","Non-ELL",97,"*","*","*","*"
"Derby School District","=""0370011""","ELL",9,"*","*","*","*"
"East Granby School District","=""0400011""","Non-ELL",61,"*","*","*","*"
"East Haddam School District","=""0410011""","Non-ELL","*","*","*","*","*"
"East Haddam School District","=""0410011""","ELL","*","*","*","*","*"
"East Hampton School District","=""0420011""","Non-ELL","*","*","*","*","*"
"East Hampton School District","=""0420011""","ELL","*","*","*","*","*"
"East Hartford School District","=""0430011""","Non-ELL",556,51,9.2,74,13.3
"East Hartford School District","=""0430011""","ELL",35,6,17.1,7,20.0
"East Haven School District","=""0440011""","Non-ELL",220,"*","*","*","*"
"East Haven School District","=""0440011""","ELL",10,"*","*","*","*"
"East Lyme School District","=""0450011""","Non-ELL",303,7,2.3,10,3.3
"East Windsor School District","=""0470011""","Non-ELL",89,6,6.7,6,6.7
