"Four-Year Graduation Rates, 2010-11"
"All Districts, High Needs Status"

"",,,,"Non-Graduates",,,
"District","District Code","High Needs Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","High Needs",16,"*","*","*","*"
"Amistad Academy District","=""2790013""","Non-High Needs",13,0,"*","*","*"
"Ansonia School District","=""0020011""","High Needs",104,"*","*","*","*"
"Ansonia School District","=""0020011""","Non-High Needs",84,"*","*","*","*"
"Avon School District","=""0040011""","High Needs",32,"*","*","*","*"
"Avon School District","=""0040011""","Non-High Needs",222,"*","*","*","*"
"Berlin School District","=""0070011""","High Needs",44,0,0.0,"*","*"
"Berlin School District","=""0070011""","Non-High Needs",217,"*","*","*","*"
"Bethel School District","=""0090011""","High Needs",46,"*","*","*","*"
"Bethel School District","=""0090011""","Non-High Needs",204,"*","*","*","*"
"Bloomfield School District","=""0110011""","High Needs",84,18,21.4,10,11.9
"Bloomfield School District","=""0110011""","Non-High Needs",103,9,8.7,11,10.7
"Bolton School District","=""0120011""","High Needs",10,0,"*","*","*"
"Bolton School District","=""0120011""","Non-High Needs",64,0,0.0,"*","*"
"Branford School District","=""0140011""","High Needs",70,"*","*","*","*"
"Branford School District","=""0140011""","Non-High Needs",214,"*","*","*","*"
"Bridgeport School District","=""0150011""","High Needs",1357,171,12.6,364,26.8
"Bridgeport School District","=""0150011""","Non-High Needs",80,18,22.5,15,18.8
"Bristol School District","=""0170011""","High Needs",243,39,16.0,55,22.6
"Bristol School District","=""0170011""","Non-High Needs",466,29,6.2,42,9.0
"Brookfield School District","=""0180011""","High Needs",20,"*","*","*","*"
"Brookfield School District","=""0180011""","Non-High Needs",245,"*","*","*","*"
"Canton School District","=""0230011""","High Needs",19,"*","*",0,"*"
"Canton School District","=""0230011""","Non-High Needs",101,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","High Needs",126,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Non-High Needs",173,"*","*","*","*"
"Cheshire School District","=""0250011""","High Needs",55,"*","*","*","*"
"Cheshire School District","=""0250011""","Non-High Needs",320,"*","*","*","*"
"Clinton School District","=""0270011""","High Needs",35,"*","*","*","*"
"Clinton School District","=""0270011""","Non-High Needs",110,"*","*","*","*"
"Colchester School District","=""0280011""","High Needs",42,"*","*","*","*"
"Colchester School District","=""0280011""","Non-High Needs",208,"*","*","*","*"
"Common Ground High School District","=""2680013""","High Needs",27,"*","*","*","*"
"Common Ground High School District","=""2680013""","Non-High Needs",11,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","High Needs",486,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-High Needs",1857,"*","*","*","*"
"Coventry School District","=""0320011""","High Needs",28,"*","*","*","*"
"Coventry School District","=""0320011""","Non-High Needs",125,"*","*","*","*"
"Cromwell School District","=""0330011""","High Needs",35,"*","*","*","*"
"Cromwell School District","=""0330011""","Non-High Needs",135,0,0.0,"*","*"
"Danbury School District","=""0340011""","High Needs",325,55,16.9,65,20.0
"Danbury School District","=""0340011""","Non-High Needs",433,20,4.6,33,7.6
"Darien School District","=""0350011""","High Needs",41,"*","*","*","*"
"Darien School District","=""0350011""","Non-High Needs",286,"*","*","*","*"
"Derby School District","=""0370011""","High Needs",56,10,17.9,12,21.4
